category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2663|24124,General Surface Protection|Surface Protection Films,A24,"Film Applicator 24""","Surface Shields A24 Film Applicator 24""",E:\IMAGES\ITEMS\product\A\2\Surface-Shields-A24-Film-Applicator.jpg,Surface Shields,"Surface Shields A24 Film Applicator 24""",Weight: 20 lbs,For faster and easier application of Carpet Shield and Floor Shield,,"Film Applicator 24""","Film Applicator 24"""
2663|24124,General Surface Protection|Surface Protection Films,A2436,"Multi-Use Film Applicator (24"", 30"" and 36"")","Surface Shields A24 Film Applicator 24""",E:\IMAGES\ITEMS\product\A\2\Surface-Shields-A24-Film-Applicator.jpg,Surface Shields,Surface Shields A2436 Professional Multi-Use Film Applicator,Weight: 21 lbs,"For even easier application... try the original multi-use applicator which can be used for three different roll widths (24"", 30"" and 36""). This applicator makes large area/commercial jobs quick and easy.",,"Multi-Use Film Applicator (24"", 30"" and 36"")","Multi-Use Film Applicator (24"", 30"" and 36"")"
564|19602,Masking Tape|Masking Tapes,BT2180C,Painter's Grade Blue Tape,,E:\IMAGES\ITEMS\product\B\T\Painters-Grade-Blue- 2.jpg,Surface Shields,"With a medium tack rubber adhesive, Painter's Grade Blue Tape will not leave a sticky residue. It's suitable for clean removal when exposed to direct or indirect sunlight and is 5 mil thick.",,,,2 in x 60 yds (48mm x 54.8m),Painter's Grade Blue Tape
564|19602,Masking Tape|Masking Tapes,BT3180C,Painter's Grade Blue Tape,,E:\IMAGES\ITEMS\product\B\T\Painters-Grade-Blue- 2.jpg,Surface Shields,"With a medium tack rubber adhesive, Painter's Grade Blue Tape will not leave a sticky residue. It's suitable for clean removal when exposed to direct or indirect sunlight and is 5 mil thick.",,,,3 in x 60 yds (72mm x 54.8m),Painter's Grade Blue Tape
24124,Surface Protection Films,CM2436B,"Blue Clean Mat 24"" x 36""","Tack Mat 120 Sheets, Cases of 4",E:\IMAGES\ITEMS\product\C\M\Surface-Shields-CM2436B-Blue-Clean-Mat-24-x.jpg,Surface Shields,"Tack Mat 120 Sheets, Cases of 4",,CLEAN MAT is a polyethylene film mat with a tacky surface that removes dust and dirt from footwear and prevents it from being tracked. Each mat contains 30 sheets which are tabbed for easy removal of each layer. Clean mat stays firmly in place and is easy to use and dispose of! (Do not adhere to carpeted surfaces),,"Blue Clean Mat 24"" x 36""","Blue Clean Mat 24"" x 36"""
23956,Tractor Accessories,CM3636B,"Blue Clean Mat 36"" x 36""","Tack Mat 120 Sheets, Cases of 4",E:\IMAGES\ITEMS\product\C\M\Surface-Shields-CM2436B-Blue-Clean-Mat-24-x.jpg,Surface Shields,"Surface Shields CM3636B Blue Clean Mat 36"" x 36""",,CLEAN MAT is a polyethylene film mat with a tacky surface that removes dust and dirt from footwear and prevents it from being tracked. Each mat contains 30 sheets which are tabbed for easy removal of each layer. Clean mat stays firmly in place and is easy to use and dispose of! (Do not adhere to carpeted surfaces),,"Blue Clean Mat 36"" x 36""","Blue Clean Mat 36"" x 36"""
628|24124,Carpet|Surface Protection Films,CS361000,"Carpet Shield 36"" x 1000' Carpet Protection","Surface Shields CS361000 Carpet Shield 36"" x 1000' Carpet Protection",E:\IMAGES\ITEMS\product\C\S\Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,Surface Shields,"Surface Shields CS361000 Carpet Shield 36"" x 1000' Carpet Protection",Self-adhering polyethylene film for all types of carpeting (clear),"Clear, self adhering protective film for all types of carpeting. Uniquely formulated adhesive system adheres to all carpet substrates. Special blend of polyethylene is highly resistant to tears or punctures. Reverse wound for easy application. Great protection during remodeling, painting, moving, model home tours and parties. New added solvent technology to go with only approved water based adhesive system for wool carpets.",,"Surface Shields CS361000 Carpet Shield 36"" x 1000' Carpet Protection","Carpet Shield 36"" x 1000' Carpet Protection"
628|24124,Carpet|Surface Protection Films,CS36200,"Carpet Shield 36"" x 200' Carpet Protection","Surface Shields CS361000 Carpet Shield 36"" x 1000' Carpet Protection",E:\IMAGES\ITEMS\product\C\S\Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,Surface Shields,"Surface Shields CS36200 Carpet Shield 36"" x 200' Carpet Protection",Self-adhering polyethylene film for all types of carpeting (clear),"Clear, self adhering protective film for all types of carpeting. Uniquely formulated adhesive system adheres to all carpet substrates. Special blend of polyethylene is highly resistant to tears or punctures. Reverse wound for easy application. Great protection during remodeling, painting, moving, model home tours and parties. New added solvent technology to go with only approved water based adhesive system for wool carpets.",,"Surface Shields CS36200 Carpet Shield 36"" x 200' Carpet Protection","Carpet Shield 36"" x 200' Carpet Protection"
628|24124,Carpet|Surface Protection Films,CS36500,"Carpet Shield 36"" x 500' Carpet Protection","Surface Shields CS361000 Carpet Shield 36"" x 1000' Carpet Protection",E:\IMAGES\ITEMS\product\C\S\Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,Surface Shields,"Surface Shields CS36500 Carpet Shield 36"" x 500' Carpet Protection",Self-adhering polyethylene film for all types of carpeting (clear),"Clear, self adhering protective film for all types of carpeting. Uniquely formulated adhesive system adheres to all carpet substrates. Special blend of polyethylene is highly resistant to tears or punctures. Reverse wound for easy application. Great protection during remodeling, painting, moving, model home tours and parties. New added solvent technology to go with only approved water based adhesive system for wool carpets.",,"Surface Shields CS36500 Carpet Shield 36"" x 500' Carpet Protection","Carpet Shield 36"" x 500' Carpet Protection"
2666|24124,Surface Protection Shields|Surface Protection Films,DSPRO2,Dust Shield Pro™,Multi purpose adjustable pole kit contains 2 poles with interlocking head assembly,E:\IMAGES\ITEMS\product\D\S\Surface-Shields-DSPRO2-Dust-Shield.jpg,Surface Shields,Dust Shield Pro™ - Extendable Dust Containment Poles,"These dent resistant poles, crafted of a heavy gauge aluminum, are designed to stand up to the toughest conditions. The 12 foot pole can be compacted to 57 inches and the 16 foot pole can be compacted down to 75 inches. Dust Shield Pro poles are simple to use and also include an easy to read instructional label just below the handle. They are sold as 2 packs in a retail friendly packaging.",,,Poles Adjust to 12',Dust Shield Pro™
