category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
21324,Axial Fans,HF686TC,FAN FORCED PORTABLE HEATER BULLDOG 19000/14000 BTU,,E:\IMAGES\ITEMS\product\H\F\tpi-corporation-hf686tc-fan-forced-portable-heater-bulldog-1900014000-btu.jpg,TPI Corporation,,"Forced air fan distributes and circulates heat with temperature rise to 75 degrees FFinned tubular steel heating element helps draw air flow and discharge heatSteel housing with handle for portability and swivel base for mounting to wall, floor, or ceilingIncludes a thermostat for adjustable temperature control from 35 to 85 degrees FSingle-phase wiring operates on 240V or 208V circuit",,,,FAN FORCED PORTABLE HEATER BULLDOG 19000/14000 BTU
21330,Floor and Table Fans,CACU-30P,"30"" FLOOR MOUNT FAN",,E:\IMAGES\ITEMS\product\C\A\tpi-corporation-cacu-30p-30-floor-mount-fan.jpg,TPI Corporation,,Meets OSHA standards.1 year limited manufacturer warranty.2 speed.Voltage: 120VPhase: 1,,,,"30"" FLOOR MOUNT FAN"
21330,Floor and Table Fans,F-18-TE,"18"" INDUSTRIAL FLOOR FAN - METAL CAGE 1/8 HP, 3-SPEED, 120V",,E:\IMAGES\ITEMS\product\F\1\tpi-corporation-f-18-te-18-industrial-floor-fan-metal-cage-18-hp-3-speed-120v.jpg,TPI Corporation,,"Floor-mount 3-speed workstation fan for precise direction of air flow1.5 amp, 120 volt, single phase, 1/8 horsepower, permanently lubricated, totally closed sleeve bearing motorThree speed settings for airflow rates up to 4,600 cubic feet per minute (CFM)Three aluminum paddle blades protected by powder-coated steel wire guards10 foot SJT type three-conductor cord with a three-prong plug for connecting to grounded electric outlets",,686000000000.0,,"18"" INDUSTRIAL FLOOR FAN - METAL CAGE 1/8 HP, 3-SPEED, 120V"
21330,Floor and Table Fans,HDH-30,"30"" FAN HEAD HEAVY DUTY, YELLOW 1/2HP 2 SPEED",,E:\IMAGES\ITEMS\product\H\D\tpi-corporation-hdh-30-30-fan-head-heavy-duty-yellow-12hp-2-speed.jpg,TPI Corporation,,"2-speed circulator fan head for use with any TPI industrial mount (not included)4 amp, 120V, single phase, 1/2 hp, permanently lubricated, totally enclosed ball bearing motor with permanent split capacitorTwo speed settings for airflow rates up to 9,850 cubic feet per minute (CFM)Four aluminum paddle blades attached to a steel hub and spider assembly for durability12' SJT type three-conductor cord with a three-prong plug for connecting to grounded electric outlets",,,,"30"" FAN HEAD HEAVY DUTY, YELLOW 1/2HP 2 SPEED"
21595,Direct Drive Tubeaxial Fans,CPB36D,"36"" COMMEERCIAL DIRECT DRIVE FAN 1/3 HP 2-SPEED",,E:\IMAGES\ITEMS\product\C\P\tpi-corporation-cpb36d-36-commeercial-direct-drive-fan-13-hp-2-speed.jpg,TPI Corporation,,Permanently lubricated motorRubber wheels for easy manuverability,,,,"36"" COMMEERCIAL DIRECT DRIVE FAN 1/3 HP 2-SPEED"
21595,Direct Drive Tubeaxial Fans,CPBS30D,"30"" DIRECT DRIVE 2 SPEED 1/3 HP FAN WITH COMMERCIAL CIRCULATOR SWIVEL BASE",,E:\IMAGES\ITEMS\product\C\P\tpi-corporation-cpbs30d-30-direct-drive-2-speed-13-hp-fan-with-commercial-circulator-swivel-base.jpg,TPI Corporation,,Permanently lubricated ball bearing motorSwivel stand20-gauge steel housingSpiral wire front and rear guards and aluminum bladeRolls on 5in rubber wheels,,,,"30"" DIRECT DRIVE 2 SPEED 1/3 HP FAN WITH COMMERCIAL CIRCULATOR SWIVEL BASE"
21324,Axial Fans,ICH-240C,240V FAN FORCED UTILITY HEATER/450874,,E:\IMAGES\ITEMS\product\I\C\tpi-corporation-ich-240c-240v-fan-forced-utility-heater450874.jpg,TPI Corporation,,(1) Heater Finned steel tubular heating element. Internal overheat thermostat. Temperature control thermostat. Phase: Single.,,,,240V FAN FORCED UTILITY HEATER/450874
28324,Rental Heaters,198TMC,ELECTRIC HEATER 5000 BTU 1500 WATTS 6110571,,E:\IMAGES\ITEMS\product\1\9\tpi-corporation-198tmc-electric-heater-5000-btu-1500-watts-6110571.jpg,TPI Corporation,,Combination radiant and forced air fan heater can be used separately or together Steel enclosure with handle for portability Includes a thermostat for adjustable temperature control Manual reset for overheat protection and tip-over switch for safety 120V wiring is compatible with most standard circuits,,,,ELECTRIC HEATER 5000 BTU 1500 WATTS 6110571
21368,Electric Process Heaters and Accessories,170-TS,TPI 170-TS 450881 CONFINED SPACE RADIANT HEAT PANEL 120V 170WATTS,,E:\IMAGES\ITEMS\product\1\7\tpi-corporation-170-ts-tpi-170-ts-450881-confined-space-radiant-heat-panel-120v-170watts.jpg,TPI Corporation,,,PI 170-TS 450881 CONFINED SPACE RADIANT HEAT PANEL 120V 170WATTS,68633445088.0,,TPI 170-TS 450881 CONFINED SPACE RADIANT HEAT PANEL 120V 170WATTS
21368,Electric Process Heaters and Accessories,178-TMC,TPI 178-TMC 445931 CERAMIC FAN FORCED HEATER 850/1500 WATTS 5120 MAX B,,E:\IMAGES\ITEMS\product\1\7\tpi-corporation-178-tmc-tpi-178-tmc-445931-ceramic-fan-forced-heater-8501500-watts-5120-max-b.jpg,TPI Corporation,,,TPI 178-TMC 445931 CERAMIC FAN FORCED HEATER 850/1500 WATTS 5120 MAX BTU 120V,68633444593.0,,TPI 178-TMC 445931 CERAMIC FAN FORCED HEATER 850/1500 WATTS 5120 MAX B
