category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
21749,Chalk Line Reels,CR201SPD,Chalk Rite Ii Chalk Box Tajima,,E:\IMAGES\ITEMS\product\C\R\tajima-cr201spd-chalk-rite-ii-chalk-box-tajima.jpg,Tajima,Chalk-Rite Ii,"Contractor-grade chalk snap-lines with 100 ft. (30M) of extra bold premium-grade braided line.Smooth gear-drive winding, up to 3 times faster than standard snap-lines.Compact, fits comfortably in the palm of your hand yet hol",,,100 Ft. Snap Line,Chalk Rite Ii Chalk Box Tajima
21753,Marking Chalk and Refills,PLC2B900,Chalk Micro,,E:\IMAGES\ITEMS\product\P\L\tajima-plc2b900-chalk-micro.jpg,Tajima,,"Ultra-fine powdered chalk with micro particles evenly cling to the snap-line Fade-resistant, makes a sharp and extremely bold marking line Cleans up more quickly and more thoroughly than standard chalk",,,Color: Blue; Size: 32Oz,Chalk Micro
21753,Marking Chalk and Refills,PLC2R900,Chalk Micro,,E:\IMAGES\ITEMS\product\P\L\tajima-plc2r900-chalk-micro.jpg,Tajima,,"Ultra-fine powdered chalk with micro particles evenly cling to the snap-line Fade-resistant, makes a sharp and extremely bold marking line Cleans up more quickly and more thoroughly than standard chalk",,,Color: Red; Size: 32Oz,Chalk Micro
21753,Marking Chalk and Refills,PLCB300,Chalk Micro,,E:\IMAGES\ITEMS\product\P\L\tajima-plcb300-chalk-micro.jpg,Tajima,,"Ultra-fine powdered chalk with micro particles evenly cling to the snap-line Fade-resistant, makes a sharp and extremely bold marking line Cleans up more quickly and more thoroughly than standard chalk",,,Color: Blue; Size: 10.5Oz,Chalk Micro
21753,Marking Chalk and Refills,PLCR300,Chalk Micro,,E:\IMAGES\ITEMS\product\P\L\tajima-plcr300-chalk-micro.jpg,Tajima,,"Ultra-fine powdered chalk with micro particles evenly cling to the snap-line Fade-resistant, makes a sharp and extremely bold marking line Cleans up more quickly and more thoroughly than standard chalk",,,Color: Red; Size: 10.5Oz,Chalk Micro
21749,Chalk Line Reels,PC-ITOL,Plumb-Rite™ Replacement Plumb Line,,E:\IMAGES\ITEMS\product\P\C\tajima-pc-itol-plumb-rite-replacement-plumb-line.jpg,Tajima,,"Heavy Gauge 0.05 inch (1.2 mm) thick braided nylon plumb line, 49 ft. (15 m)","Plumb-Rite™ Replacement Plumb Line       	             OEM replacement plumb line for Tajima Plumb-Rite™ Series plumb bob setters and bobs             0.05 inch (1.2 mm) thick braided nylon snap-line, 49 ft. (15 m) spool",,,Plumb-Rite™ Replacement Plumb Line
21749,Chalk Line Reels,PS-ITOS,Ink-Rite® Replacement Snap-Line,,E:\IMAGES\ITEMS\product\P\S\tajima-ps-itos-ink-rite-replacement-snap-line.jpg,Tajima,,"Thin gauge 0.024 inch (0.6 mm) braided nylon line, 130 ft. (40 m)","Ink-Rite® Replacement Snap-Line       	             OME replacement snap-line for Tajima Ink-Rite™ ink snap-line tool              Thin gauge 0.024 inch (0.6 mm) braided nylon snap-line, 130 ft. (40 m) spool",,,Ink-Rite® Replacement Snap-Line
21749,Chalk Line Reels,PLC3-BK300,Tajima Snap-Line Dye Semi-Permanent Snap-Line Chalk,,E:\IMAGES\ITEMS\product\P\L\tajima-plc3-bk300-tajima-snap-line-dye-semi-permanent-snap-line-chalk.jpg,Tajima,,"Black semi-permanent  snap-line chalk, 10.5 oz (300g)","Tajima Snap-Line Dye Semi-Permanent Snap-Line Chalk       	 			Wind resistant, water repellent, extra-strong chalk for long lasting marking lines  			Fade resistant, makes a sharp and extremely bold marking line 			Formulated to prevent caking and clumping on the line 			Available in black and dark color options 			Easy-pour, moisture-proof bottles with screw-cap  nozzles, 10.5oz.(300g) or 32oz.(907g)",,,Tajima Snap-Line Dye Semi-Permanent Snap-Line Chalk
21749,Chalk Line Reels,PLC2-W300,Tajima Micro Chalk Ultra-Fine Snap-Line Chalk,,E:\IMAGES\ITEMS\product\P\L\tajima-plc2-w300-tajima-micro-chalk-ultra-fine-snap-line-chalk.jpg,Tajima,,"White ultra-fine powdered chalk, 10.5 oz (300g)","Tajima Micro Chalk Ultra-Fine Snap-Line Chalk       	             Ultra-fine powdered chalk with micro particles evenly cling to the snap-line             Fade-resistant, makes a sharp and extremely bold marking line             Cleans up more quickly and more thoroughly than standard chalk             Available in white, yellow, blue and red color options 			  Easy-pour, moisture-proof bottles with screw-cap nozzles, 10.5oz.(300g) or 32oz.(907g)",,,Tajima Micro Chalk Ultra-Fine Snap-Line Chalk
21749,Chalk Line Reels,PSB2-180,Ink-Rite® Quick Dry Snap-Line Ink,,E:\IMAGES\ITEMS\product\P\S\tajima-psb2-180-ink-rite-quick-dry-snap-line-ink.jpg,Tajima,,"Black quick dry ink, 6 oz. (180 ml)","Ink-Rite® Quick Dry Snap-Line Ink       	             Quick drying ink makes an extremely bold, easy-to-follow marking line             Semi -Permanent marking line, scuff and smudge resistant, won't wash away             Available in black, red, white, and blue color options 			Easy-pour bottles with screw-cap nozzles, 6 oz. (180 ml) For Tajima Ink-Rite™ Series snap-lines",,,Ink-Rite® Quick Dry Snap-Line Ink
21749,Chalk Line Reels,CR101S-0,Chalk-Rite® Auto-Wind,,E:\IMAGES\ITEMS\product\C\R\tajima-cr101s-0-chalk-rite-auto-wind.jpg,Tajima,,"Extra Bold marking, auto-rewind chalk snap-line, 32 ft. line","Chalk-Rite® Auto-Wind       	             Unique, auto-rewind chalk snap-line with extra bold premium-grade braided snap-line             Auto rewinds up to 23 ft., manual rewind for line extensions up to 32 ft.             Felt-lined metering sleeve evenly and thoroughly coats the snap-line with chalk              At-a-glance transparent chalk canister holds up to 1.4 oz (40 g) of chalk 			Stainless steel mixing ball to prevent caking and keep chalk in prime condition 			Compact design, fits comfortably in the palm of your hand 			Also features a thumb line hold, easy-fill spout and a tool to facilitate line replacement   			Use Tajima Micro Chalk or Snap-Line Dye",,,Chalk-Rite® Auto-Wind
21749,Chalk Line Reels,PL-ITOL,Chalk-Rite® Replacement Snap-Line,,E:\IMAGES\ITEMS\product\P\L\tajima-pl-itol-chalk-rite-replacement-snap-line.jpg,Tajima,,"Extra Bold 1.0 mm braided line, 100 ft. (30 m) spool","Chalk-Rite® Replacement Snap-Line       	             OEM replacement snap-line for Tajima Chalk-Rite® Series snap-line tools              Extra Bold 1.0 mm braided nylon / polyester snap-line, 100 ft. (30 m) spool",,,Chalk-Rite® Replacement Snap-Line
21749,Chalk Line Reels,CR401S,Chalk-Rite® Dura Chalk Snap Line,,E:\IMAGES\ITEMS\product\C\R\tajima-cr401s-chalk-rite-dura-chalk-snap-line.jpg,Tajima,,"Extra bold marking, ultra-fast wind chalk snap line, 100 ft. line","Chalk-Rite® Dura Chalk Snap Line       	             Extra rugged die-cast aluminum case, thick tempered steel handle assembly, and handle stay.              Integrated Handle Release ™ to disengage the line spool when extending the line.              Ultra-fast rewind through a dependable 3-gear drive system.             1.0 mm premium braided nylon / polyester line with matching felt applicator. 			Large fill neck with positive locking cap that also features an end hook stay. 			Integrated gasket seal and protective elastomer non-slip grip. 			   			Use Tajima Micro Chalk or Snap Line Dye",,,Chalk-Rite® Dura Chalk Snap Line
21749,Chalk Line Reels,PL-ITOS,Chalk-Rite® Replacement Snap-Line,,E:\IMAGES\ITEMS\product\P\L\tajima-pl-itos-chalk-rite-replacement-snap-line.jpg,Tajima,,"Ultra Thin 0.019 inch (0.5 mm) braided line, 100 ft. (30 m) spool","Chalk-Rite® Replacement Snap-Line       	             OEM replacement snap-line for Tajima Chalk-Rite™ Series snap-line tools             Ultra Thin 0.019 inch (0.5 mm) braided snap-line, 100 ft. (30 m) spool             Extra Bold 0.0047 inch (1.2 mm) braided snap-line, 100 ft. (30 m) spool",,,Chalk-Rite® Replacement Snap-Line
21749,Chalk Line Reels,CR201R-PR,Chalk-Rite® II GearDrive Extra Bold,,E:\IMAGES\ITEMS\product\C\R\tajima-cr201r-pr-chalk-rite-ii-geardrive-extra-bold.jpg,Tajima,,"Extra Bold marking, fast wind chalk snap-line, 100 ft. line, dark red Snap-Line Dye, red","Chalk-Rite® II GearDrive Extra Bold       	             Contractor-grade chalk snap-lines with 100 ft. (30M) of extra bold premium-grade braided line.              Smooth gear-drive winding, up to 3 times faster than standard snap-lines.              Compact, fits comfortably in the palm of your hand yet holds up to 1.6 oz. (45 g) of chalk.             Durable, heavy-gauge die-cast aluminum case sealed with an elastomer gasket. 			Positive gear-lock line hold, automatically releases during rewind. 			Also features folding cranks, easy-fill spouts, and tools to facilitate line replacement. 			Includes trial-size bottles of Snap-Line Dye. 			   			Use Tajima Micro Chalk or Snap-Line Dye",,,Chalk-Rite® II GearDrive Extra Bold
21749,Chalk Line Reels,CR202B-P,Chalk-Rite® II  GearDrive Ultra Thin,,E:\IMAGES\ITEMS\product\C\R\tajima-cr202b-p-chalk-rite-ii-geardrive-ultra-thin.jpg,Tajima,,"Ultra Thin marking, fast wind chalk snap-line, 100 ft. line, with blue Micro Chalk","Chalk-Rite® II  GearDrive Ultra Thin       	             Contractor-grade chalk snap-line with 100 ft. (30M) of ultra thin premium-grade braided line.             Smooth gear-drive winding, up to 3 times faster than standard snap-lines.              Compact, fits comfortably in the palm of your hand yet holds up to 1.6 oz. (45 g) of chalk.             Durable, heavy-gauge die-cast aluminum case sealed with an elastomer gasket. 			Positive gear-lock line hold, automatically releases during rewind. 			Also features a folding crank, easy-fill spout, and a tool to facilitate line replacement. 			Includes a trial-size bottle of Micro Chalk.  			Use Tajima Micro Chalk or Snap-Line Dye",,,Chalk-Rite® II  GearDrive Ultra Thin
21749,Chalk Line Reels,CR301JF,Chalk-Rite® Jam Free,,E:\IMAGES\ITEMS\product\C\R\tajima-cr301jf-chalk-rite-jam-free.jpg,Tajima,,"Extra bold marking, fast wind chalk snap-line, 100 ft. line","Chalk-Rite® Jam Free        	             Fast-wind chalk snap-line with 100 ft. (30M) of extra bold 1.0 mm premium-grade braided line              Smooth 5-gear rewinds, up to 4 times faster than standard snap-lines.               Compact, fits comfortably in the palm of your hand yet holds up to 3.5 oz. (100 g) of chalk             Durable, translucent ABS case with protective, sure-grip elastomer cover 			Positive gear-lock line hold, automatically releases during rewind 			Also features a folding crank, large fill neck, and a tool to facilitate line replacement   			Use Tajima Micro Chalk or Snap-Line Dye",,,Chalk-Rite® Jam Free
21684,Drywall Specialty Tool Accessories,TBYD-180,Combination Drywall Rasp,,E:\IMAGES\ITEMS\product\T\B\tajima-tbyd-180-combination-drywall-rasp.jpg,Tajima,,"Combination Drywall Rasp, bi-directional with 3 grinding sections","Combination Drywall Rasp       	             Unique Tetra-Teeth™ are clog-free and grind in both directions. 			Three separate grinding sections for quick shaping and trimming, beveling or finishing, and spot grinding. 			Recessed Coarse Teeth contain the drywall edge, and the staggered teeth design prevents clogging and allows dust to collect in the handle for controlled disposal. 			Raised Fine Teeth are ideal for beveling or smoothing the drywall edge, and Siderail Teeth allow notching and detailed work. 			Sleek design, 7 inches long for fewer strokes to achieve the same results. 			Embedded elastomer grip on each side of the handle for sure-grip performance. 			Chrome-plated Tetra-Teeth™ for superior durability.",,,Combination Drywall Rasp
27969,Tape Measures,GK-G240,G-Saw™ 240 & G-Saw™ 210,,E:\IMAGES\ITEMS\product\G\K\tajima-gk-g240-g-saw-240-g-saw-210.jpg,Tajima,,"Folding handle contractor saw with 9.4 in (240 mm) long blade, 9 TPI","G-Saw™ 240 &amp; G-Saw™ 210       	             Aggressive-cut pull-stroke saws with locking fold-out handles             Razor-sharp 9 TPI blade with triple cutting-edge teeth, impulse hardened for durability 			Premium-grade thin spring steel blade for fast cross-cuts, flexes for ultra-close flush-cuts 			Comfortable, sure-grip elastomer handles with blade retainer clips 			In 9.4 inch (240 mm) and 8.2 inch (210 mm) blade length models  			G-Saw replacement blades GKB-G240, and GKB-G210",,,G-Saw™ 240 & G-Saw™ 210
19530,Caulk Guns,CNV-100LT,Convoy™ Lite,,E:\IMAGES\ITEMS\product\C\N\tajima-cnv-100lt-convoy-lite.jpg,Tajima,,"Convoy Lite feather weight caulk gun, 1/10 gallon","Convoy™ Lite       	       Ultra-light caulking gun, 37% less weight than comparable-sized guns       Unique barrel removes with a twist for fast and easy tube-changes 	  Smooth and even dispensing with Tajima's twin-thrust friction plates 	   Full release of the handle automatically disengages plunger, stops flow 	   Barrel access ports allow tube / nozzle angle rotation to match surface 	    Ladder hook and eyelet to attach to a safety strap",,,Convoy™ Lite
19530,Caulk Guns,CNV-J900PL2,Convoy™ Plus II J900,,E:\IMAGES\ITEMS\product\C\N\tajima-cnv-j900pl2-convoy-plus-ii-j900.jpg,Tajima,,"Convoy™ Plus II J900 caulk gun, 1 quart","Convoy™ Plus II J900       	              1 quart gun with a powerful twin-thrust dispensing system               13 1/2 inch long barrel and 360 degree rotating handle for maneuvering in tight spaces              Seal puncture tool and Auto Flow Stop to control material seepage /oozing              Special hardened steel shaft and thrust plates for consistent, non-slip performance               Rugged steel welded construction, strong yet lightweight GFRP handle               Ladder hook and eyelet to attach to a safety strap.",,,Convoy™ Plus II J900
19530,Caulk Guns,CNV-100PL2,Convoy™ Plus II 100,,E:\IMAGES\ITEMS\product\C\N\tajima-cnv-100pl2-convoy-plus-ii-100.jpg,Tajima,,"Convoy™ Plus II 100 caulk gun, 1/10 gallon","Convoy™ Plus II 100       	           1/10 gallon gun with a powerful twin-thrust dispensing system            Extra-long 10 ½ inch barrel and 360 degree rotating handle for maneuvering in tight spaces           Extra-long seal puncture tool and Auto Flow Stop to control material seepage /oozing           Special hardened steel shaft and thrust plates for consistent, non-slip performance            Rugged steel welded construction, strong yet lightweight GFRP handle            Ladder hook and eyelet to attach to a safety strap.",,,Convoy™ Plus II 100
19530,Caulk Guns,CNV-900SP18,Convoy® Super 18 1 Quart,,E:\IMAGES\ITEMS\product\C\N\tajima-cnv-900sp18-convoy-super-18-1-quart.jpg,Tajima,,"18:1 high thrust caulk gun, 1/10 gallon","Convoy® Super 18 1 Quart       	             1 quart  gun with an extra-long 13 ½ inch barrel              Premium-grade 18:1 extra-high thrust caulk guns              Enhanced SST™ thrust system for dependable, non-slip performance             Extra-long barrels for fast and hassle-free tube reloads             Extra-long seal puncture pins to for the new extra-long tube nozzles             Comfortable, ergonomic aluminum handles, full 360 degree rotation",,,Convoy® Super 18 1 Quart
