category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
720|24964,Circular Saw Blades|Circular Saw Blades,AC-10036,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 4"", Teeth: 36, Arbor: 20mm, Grind: ATB",Alumi-Cut Series
720|24964,Circular Saw Blades|Circular Saw Blades,AC-18560D,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",Alumi-Cut Series,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 71/4"", Teeth: 60, Arbor: 5/8""KO, Grind: TCG",Alumi-Cut Series
720|24964,Circular Saw Blades|Circular Saw Blades,AC-20360DN,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",Alumi-Cut Series,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 8"", Teeth: 60, Arbor: 5/8"", Grind: TCG",Alumi-Cut Series
720|24964,Circular Saw Blades|Circular Saw Blades,AC-21060DN,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",Alumi-Cut Series,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 8-1/4"", Teeth: 60, Arbor: 5/8""KO, Grind: TCG",Alumi-Cut Series
720|24964,Circular Saw Blades|Circular Saw Blades,AC-21660DN,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",Alumi-Cut Series,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 8-1/2"", Teeth: 60, Arbor: 5/8"", Grind: TCG",Alumi-Cut Series
720|24964,Circular Saw Blades|Circular Saw Blades,AC-25560DN,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",Alumi-Cut Series,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 10"", Teeth: 60, Arbor: 5/8"", Grind: TCG",Alumi-Cut Series
720|24964,Circular Saw Blades|Circular Saw Blades,AC-25580DN,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",Alumi-Cut Series,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 10"", Teeth: 80, Arbor: 5/8"", Grind: TCG",Alumi-Cut Series
720|24964,Circular Saw Blades|Circular Saw Blades,AC-255100DN,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",Alumi-Cut Series,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 10"", Teeth: 100, Arbor: 5/8"", Grind: TCG",Alumi-Cut Series
720|24964,Circular Saw Blades|Circular Saw Blades,AC-30580DN,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",Alumi-Cut Series,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 12"", Teeth: 80, Arbor: 1"", Grind: TCG",Alumi-Cut Series
720|24964,Circular Saw Blades|Circular Saw Blades,AC-305100DN,Alumi-Cut Series,TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.,E:\IMAGES\ITEMS\product\A\C\Alumi-Cut.jpg,"Tenryu America, Inc.",Alumi-Cut Series,"The Alumi-Cut Series offers true quality and affordability.  These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!  These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.  EACH BLADE FEATURES: Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts. Appropriate triple-chip grind pattern for non-ferrous metals. Quality carbide ground to precision.",,,"Dia.: 12"", Teeth: 100, Arbor: 1"", Grind: TCG",Alumi-Cut Series
