category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
21674.0,Knives,55-3030-1,Pipeknife Utility Cutter,,E:\IMAGES\ITEMS\product\5\5\the-pipe-knife-company-55-3030-1-pipeknife-utility-cutter.jpg,The Pipe Knife Company,Pipeknife Utility Cutter,Other uses for the long handled PipeKnife® utility tool include:Masonry work Insulation cutting and installing (keeps hands clear of insulation) EIFS applications Log home chinking maintenance Cactus and succulent trimming (Agaves) Farm and ranch cleaning (feeder beaters) Carpet installation Roofing Many other typical utility knife uses Look for PAT NO 300600 or PIPEKNIFE® on your tool to verify authenticity!!,"The PipeKnife® sealant cutout tools were invented by autoglass technicians to cut the urethane used to seal the windshield to the frame of the car. The design was specifically created to reach between the dash and windshield and provide extra reach and power to make the cut. The long-handled utility knife design also has room for extra blade storage in the barrel end of the knife.  The PipeKnife® was the original cutout tool, or long knife, commercialized for the AGR industry. It was invented and patented in 1987 and has proven to be the most popular sealant cutout tool in the autoglass replacement industry. The Original PipeKnife® is 14” in length and the 18” long PipeKnife®-XL is the most recent addition to the popular PipeKnife product line. Both PipeKnife® tools use standard 2-notch utility blades or will also hold the special serrated PipeKnife® blade (listed in accessories) or other long-length utility blades.  The PipeKnife® sealant cutout tools are also used extensively by caulking, waterproofing and concrete contractors to cut and remove sealant and caulk during flat glass window installs, concrete tilt-up joint and crack maintenance, and during building restoration work.",,Pipeknife Utility Cutter,Pipeknife Utility Cutter
21674.0,Knives,55-3030-3,"24"" Steel Pipeknife Utility  Cutter",,E:\IMAGES\ITEMS\product\5\5\the-pipe-knife-company-55-3030-3-24-steel-pipeknife-utility-cutter.jpg,The Pipe Knife Company,"24"" Steel Pipeknife Utility  Cutter",Cutting urethane for easy windshield removal Removing caulk and sealant from expansion joints and window cutouts Cutting fiberglass General contractor uses,"Complete line of long knives for the Auto Glass and Flat Glass Replacement technician.  The PipeKnife® Company offers a variety of flat long knives to cut urethane. The 9"", 14"", 18"" and 24"" flat long knives provide the technician with a product to meet every need when cutting urethane. Constructed from high-strength anodized aluminum or the new steel model, PipeKnife® flat long knives incorporate a stainless steel nut and screw to reduce stripped threads and improve the life of the long knives.",,"24"" Steel Pipeknife Utility  Cutter","24"" Steel Pipeknife Utility  Cutter"
20634.0,Interior Automotive Accessories,"1"" Cobra Replacement Blades","1"" Cobra Replacement Blades",,E:\IMAGES\ITEMS\product\1\-\the-pipe-knife-company-1-cobra-replacement-blades-1-cobra-replacement-blades.jpg,The Pipe Knife Company,,"1"" Blade Length. 		 			3/4"" Shank fits all Cold Knives. 		 			Includes box of 6 blades.",,,,"1"" Cobra Replacement Blades"
20634.0,Interior Automotive Accessories,Original Pipeknife,Original Pipeknife,,E:\IMAGES\ITEMS\product\O\r\the-pipe-knife-company-original-pipeknife-original-pipeknife.jpg,The Pipe Knife Company,,"The PipeKnife sealant cutout tools are also used extensively by caulking, waterproofing and concrete contractors to cut and remove sealant and caulk during flat glass window installs, concrete tilt-up joint and crack maintenance, and during building restoration work.",,,,Original Pipeknife
20634.0,Interior Automotive Accessories,"4 1/2"" Long Knife Straight Blade","4 1/2"" Long Knife Straight Blade",,E:\IMAGES\ITEMS\product\4\-\the-pipe-knife-company-4-12-long-knife-straight-blade-4-12-long-knife-straight-blade.jpg,The Pipe Knife Company,,"Made from high carbon steel, Reid Long Knife Blades last longer, cut faster, and work in tight spots better than average utility blades.",,,,"4 1/2"" Long Knife Straight Blade"
20634.0,Interior Automotive Accessories,"3/4"" Carbon Steel Blades","3/4"" Carbon Steel Blades",,E:\IMAGES\ITEMS\product\3\4\the-pipe-knife-company-34-carbon-steel-blades-34-carbon-steel-blades.jpg,The Pipe Knife Company,,"3/4"" Blade Length. 		 			3/4"" Shank fits all Cold Knives. 		 			Price shown is for a box of 6 blades",,,,"3/4"" Carbon Steel Blades"
20634.0,Interior Automotive Accessories,T Slot Blades,T Slot Blades,,E:\IMAGES\ITEMS\product\T\-\the-pipe-knife-company-t-slot-blades-t-slot-blades.jpg,The Pipe Knife Company,,"We stock many types of standard and specialty blades. They are interchangeable and can be used in all cutout knives. Blades include the Heavy-Duty angled serrated blade that can be resharpened, long serrated and heavy-duty utility blades that can reach into deep cracks and crevices, and the standard heavy-duty blade which comes in a very handy dispenser package of 10 blades.",,,,T Slot Blades
20634.0,Interior Automotive Accessories,"1 1/2"" Extended Shank Replacement Blades","1 1/2"" Extended Shank Replacement Blades",,E:\IMAGES\ITEMS\product\1\-\the-pipe-knife-company-1-12-extended-shank-replacement-blades-1-12-extended-shank-replacement-blades.jpg,The Pipe Knife Company,,"1 1/2"" Blade Length. 		 			3/4"" Shank fits all Cold Knives. 		 			Includes box of 6 blades",,,,"1 1/2"" Extended Shank Replacement Blades"
21674.0,Knives,"9"" Deluxe Long Knife","9"" Deluxe Long Knife",,E:\IMAGES\ITEMS\product\9\-\the-pipe-knife-company-9-deluxe-long-knife-9-deluxe-long-knife.jpg,The Pipe Knife Company,,"Built from solid, lightweight aluminum. 		 			Powdercoated for added durability and to prevent damage to automobiles. 		 			Deluxe models have hardwood handles, providing a comfortable grip and greater durability. 		 			The steel fastener holds blades tight with a #2 Phillips thumb screw, making blades changes quick and easy. 		 			Use with Reid's Long Knife Blades or any standard utility blade.",,,,"9"" Deluxe Long Knife"
28327.0,Fixed Blade Knives,Installation Sticks - Chisel End,Installation Sticks - Chisel End,,E:\IMAGES\ITEMS\product\I\n\the-pipe-knife-company-installation-sticks-chisel-end-installation-sticks-chisel-end.jpg,The Pipe Knife Company,,,,,,Installation Sticks - Chisel End
