category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
147|19521,Caulking|Caulks and Sealants,15101 529,Tremco Universal C/P Bronze,Universal Color Pack (Bronze).,E:\IMAGES\ITEMS\product\1\5\Tremco-Universal-CP.jpg,Tremco Inc,Universal Color Pack (Bronze).,,,,Bronze,Tremco Universal C/P Bronze
147|19521,Caulking|Caulks and Sealants,15103 529,Tremco Universal C/P Off White,Universal Color Pack (Off White).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Off.jpg,Tremco Inc,Universal Color Pack (Off White).,,,,Off White,Tremco Universal C/P Off White
147|19521,Caulking|Caulks and Sealants,15104 529,Tremco Universal C/P Redwood Tan.,Universal Color Pack (Redwood Tan).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Redwood.jpg,Tremco Inc,Universal Color Pack (Redwood Tan).,,,,Redwood Tan,Tremco Universal C/P Redwood Tan.
147|19521,Caulking|Caulks and Sealants,15105 529,Tremco Universal C/P Limestone.,Universal Color Pack (Limestone).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP.jpg,Tremco Inc,Universal Color Pack (Limestone).,,,,Limestone,Tremco Universal C/P Limestone.
147|19521,Caulking|Caulks and Sealants,15107 529,Tremco Universal C/P Buff,Universal Color Pack (Buff).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP- 1.jpg,Tremco Inc,Universal Color Pack (Buff).,,,,Buff,Tremco Universal C/P Buff
147|19521,Caulking|Caulks and Sealants,15111 529,Tremco Universal C/P Precast White,Universal Color Pack (Precast White).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Precast.jpg,Tremco Inc,Universal Color Pack (Precast White).,,,,Precast White,Tremco Universal C/P Precast White
147|19521,Caulking|Caulks and Sealants,15112 529,Tremco Universal C/P Desert Taupe,Universal Color Pack (Desert Taupe).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Desert.jpg,Tremco Inc,Universal Color Pack (Desert Taupe).,,,,Desert Taupe,Tremco Universal C/P Desert Taupe
147|19521,Caulking|Caulks and Sealants,15115 529,Tremco Universal C/P Adobe Accent,Universal Color Pack (Adobe Accent).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Adobe.jpg,Tremco Inc,Universal Color Pack (Adobe Accent).,,,,Adobe Accent,Tremco Universal C/P Adobe Accent
147|19521,Caulking|Caulks and Sealants,15117 529,Tremco Universal C/P Brick Red,Universal Color Pack (Brick Red).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Brick.jpg,Tremco Inc,Universal Color Pack (Brick Red).,,,,Brick Red,Tremco Universal C/P Brick Red
147|19521,Caulking|Caulks and Sealants,15119 529,Tremco Universal C/P River Rouge Red,Universal Color Pack (River Rouge Red).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-River-Rouge.jpg,Tremco Inc,Universal Color Pack (River Rouge Red).,,,,River Rouge Red,Tremco Universal C/P River Rouge Red
147|19521,Caulking|Caulks and Sealants,15120 529,Tremco Universal C/P Baptist Brick,Universal Color Pack (Baptist Brick).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Baptist.jpg,Tremco Inc,Universal Color Pack (Baptist Brick).,,,,Baptist Brick,Tremco Universal C/P Baptist Brick
147|19521,Caulking|Caulks and Sealants,15121 529,Tremco Universal C/P Rustic Red,Universal Color Pack (Rustic Red).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Rustic.jpg,Tremco Inc,Universal Color Pack (Rustic Red).,,,,Rustic Red,Tremco Universal C/P Rustic Red
147|19521,Caulking|Caulks and Sealants,15123 529,Tremco Universal C/P Antique Pink,Universal Color Pack (Antique Pink).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Antique.jpg,Tremco Inc,Universal Color Pack (Antique Pink).,,,,Antique Pink,Tremco Universal C/P Antique Pink
147|19521,Caulking|Caulks and Sealants,15132 529,Tremco Universal C/P Medium Gray,Universal Color Pack (Medium Gray).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Medium.jpg,Tremco Inc,Universal Color Pack (Medium Gray).,,,,Medium Gray,Tremco Universal C/P Medium Gray
147|19521,Caulking|Caulks and Sealants,15135 529,Tremco Universal C/P Natural White,Universal Color Pack (Natural White).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Natural.jpg,Tremco Inc,Universal Color Pack (Natural White).,,,,Natural White,Tremco Universal C/P Natural White
147|19521,Caulking|Caulks and Sealants,15136 529,Tremco Universal C/P Mountain Fog,Universal Color Pack (Mountain Fog).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Mountain.jpg,Tremco Inc,Universal Color Pack (Mountain Fog).,,,,Mountain Fog,Tremco Universal C/P Mountain Fog
147|19521,Caulking|Caulks and Sealants,15140 529,Tremco Universal C/P Geographic Beige,Universal Color Pack (Geographic Beige).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Geographic.jpg,Tremco Inc,Universal Color Pack (Geographic Beige).,,,,Geographic Beige,Tremco Universal C/P Geographic Beige
147|19521,Caulking|Caulks and Sealants,15141 529,Tremco Universal C/P Toast Tan,Universal Color Pack (Toast Tan).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Toast.jpg,Tremco Inc,Universal Color Pack (Toast Tan).,,,,Toast Tan,Tremco Universal C/P Toast Tan
147|19521,Caulking|Caulks and Sealants,15142 529,Tremco Universal C/P Sandlewood Beige,Universal Color Pack (Sandlewood Beige).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Sandlewood.jpg,Tremco Inc,Universal Color Pack (Sandlewood Beige).,,,,Sandlewood Beige,Tremco Universal C/P Sandlewood Beige
147|19521,Caulking|Caulks and Sealants,15144 529,Tremco Universal C/P Beach,Universal Color Pack (Beach).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP- 2.jpg,Tremco Inc,Universal Color Pack (Beach).,,,,Beach,Tremco Universal C/P Beach
147|19521,Caulking|Caulks and Sealants,15147 529,Tremco Universal C/P Amarillo White,Universal Color Pack (Amarillo White).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Amarillo.jpg,Tremco Inc,Universal Color Pack (Amarillo White).,,,,Amarillo White,Tremco Universal C/P Amarillo White
147|19521,Caulking|Caulks and Sealants,15148 529,Tremco Universal C/P Light Cream,Universal Color Pack (Light Cream).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Light.jpg,Tremco Inc,Universal Color Pack (Light Cream).,,,,Light Cream,Tremco Universal C/P Light Cream
147|19521,Caulking|Caulks and Sealants,15149 529,Tremco Universal C/P Dark Green,Universal Color Pack (Dark Green).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Dark.jpg,Tremco Inc,Universal Color Pack (Dark Green).,,,,Dark Green,Tremco Universal C/P Dark Green
147|19521,Caulking|Caulks and Sealants,15196 529,Tremco Universal C/P Aluminum Stone,Universal Color Pack (Aluminum Stone).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP-Aluminum.jpg,Tremco Inc,Universal Color Pack (Aluminum Stone).,,,,Aluminum,Tremco Universal C/P Aluminum Stone
147|19521,Caulking|Caulks and Sealants,15158 529,Tremco Universal C/P Ivory,Universal Color Pack (Ivory).,E:\IMAGES\ITEMS\product\5\2\Tremco-529-Universal-CP- 3.jpg,Tremco Inc,Universal Color Pack (Ivory).,,,,Ivory,Tremco Universal C/P Ivory
