category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
19799,Squeegee Replacement Blades and Refills,16478,Wooden Scrapper,"Strong socket-design construction. Tough, seal-coated hardwood handle for strength and durability. Ideal for scraping ice and debris from flat surfaces.",E:\IMAGES\ITEMS\product\1\6\16478-Orgill-Wooden.jpg,True Temper,"Strong socket-design construction. Tough, seal-coated hardwood handle for strength and durability. Ideal for scraping ice and debris from flat surfaces.",Width: 11 in. Height: 3 in. Length: 54 in. Weight: 1.16 lbs.,,,16478 Ames True Temper Inc Wooden Scrapper,Wooden Scrapper
2617|24002,Standard Shovels|Trenching Shovels,47024,Ames True Temper 4 Inch Wood Handle Trench Shovel,Trenching shovels professional closed back razor back 54 inch ash wood handle blade ins.=4 by 11.5 color=orange,E:\IMAGES\ITEMS\product\4\7\47024-Ames-True-Temper-4-Inch-Wood-Handle-Trench.jpg,True Temper,Trenching shovels professional closed back razor back 54 inch ash wood handle blade ins.=4 by 11.5 color=orange,"Best for digging and cleaning out trenches. Forward-turned step, industrial gauge steel blade designed to dig narrow trenches faster and easier. Extra-long Ash handle with 10-1/2 inch socket for deep trench clean out.",,,47024 Ames True Temper 4 Inch Wood Handle Trench Shovel,Ames True Temper 4 Inch Wood Handle Trench Shovel
2617|27943,Standard Shovels|Square Point Shovels,54246,Ames True Temper 13.5x14.5 Square Coal Shovel,"Ideal for scooping grain, snow, mulch or general purpose clean up. Wide flared tempered steel blade for durability. White Ash handle for strength. 28"" blade lift. Size No.2 blade.",E:\IMAGES\ITEMS\product\5\4\54246-Ames-True-Temper-135x145-Square-Coal.jpg,True Temper,"Ideal for scooping grain, snow, mulch or general purpose clean up. Wide flared tempered steel blade for durability. White Ash handle for strength. 28"" blade lift. Size No.2 blade.",Width: 14 in. Height: 10 in. Length: 60 in. Weight: 6 lbs.,,,54246 Ames True Temper 13.5x14.5 Square Coal Shovel,Ames True Temper 13.5x14.5 Square Coal Shovel
822|23985|28295,Forks and Rakes|Road and Asphalt Rakes|Rental Forks and Rakes,63125,"16x4"" Asphalt/Tar Rake","Use for spreading and leveling asphalt and tar. 14 tines with one-piece forged head, long steel shank to protect handle from heat. 14 Tines Ash Wood Handle",E:\IMAGES\ITEMS\product\6\3\63125-Ames-True-Temper-Inc-16x4-AsphaltTar.jpg,True Temper,"Use for spreading and leveling asphalt and tar. 14 tines with one-piece forged head, long steel shank to protect handle from heat. 14 Tines Ash Wood Handle",Width: 17 in. Height: 7 in. Length: 79 in. Weight: 5.4 lbs,,,"63125 Ames True Temper Inc 16x4"" Asphalt/Tar Rake","16x4"" Asphalt/Tar Rake"
2045|24010,Snow Shovels|Snow Shovels and Snow Pushers,1327800,Coal/Snow Shovel,"Ideal for scooping grain, snow, mulch or general purpose clean up. Wide flared tempered steel blade for durability. White Ash handle for strength. 28"" blade lift. Size No.2 blade. Use repair handle No.870.",E:\IMAGES\ITEMS\product\1\3\1327800-Ames-True-Temper-Inc-CoalSnow.jpg,True Temper,"Ideal for scooping grain, snow, mulch or general purpose clean up. Wide flared tempered steel blade for durability. White Ash handle for strength. 28"" blade lift. Size No.2 blade. Use repair handle No.870.",STEEL/WOOD HANDLE Blade In=13-1/2 x 14-1/2 Handle Lgth= 48in,,,1327800 Ames True Temper Inc Coal/Snow Shovel,Coal/Snow Shovel
2617|24000,Standard Shovels|Spade Shovels,354789,Ames True Temper Chrome Ceremonial Shovel,"Ceremonial Round Point Shovel, Blade Width 9 In, Blade Length 11 1/2 In, Blade Material Steel, Blade Type Forward Step, Handle Type D, Handle Material Hardwood, Handle Length 27 In, Color Chrome",E:\IMAGES\ITEMS\product\3\5\354789-Ames-True-Temper-Chrome-Ceremonial.jpg,True Temper,"Ceremonial Round Point Shovel, Blade Width 9 In, Blade Length 11 1/2 In, Blade Material Steel, Blade Type Forward Step, Handle Type D, Handle Material Hardwood, Handle Length 27 In, Color Chrome","Ceremonial Round-Point Shovel Has a steel blade and D-grip hardwood handle. Blade length: 11-1/2"" Blade Material: Steel Blade Width: 9"" Handle Length: 27"" Handle Material: Hardwood Handle Type: D Handle",,,354789 Ames True Temper Chrome Ceremonial Shovel,Ames True Temper Chrome Ceremonial Shovel
817|19544,Epoxy|Epoxy,3010600,Epoxy Kit for Replacement Handles,,E:\IMAGES\ITEMS\product\3\0\Ames-True-Temper-Inc-3010600-Epoxy-Kit-for-Replacement.jpg,True Temper,,Contains two materials to mix together Mix thoroughly to ensure a complete seal between head and handle Improperly mixed epoxy will not cure correctly Instructions included,"The epoxy kit is especially designed for installation of fiberglass or wooden tool handles. Can be used for sledge and other hammers, axes and splitting mauls. Follow included instructions correctly to replace handle.",,Ames True Temper Inc 3010600 Epoxy Kit for Replacement Handles,Epoxy Kit for Replacement Handles
825|21886|28298,"Bars|Nail Pullers, Wrecking and Pry Bars|Rental Bars",1168800,. 48 in. Stripping Bar,,E:\IMAGES\ITEMS\product\1\1\Ames-True-Temper-Inc-1168800-48-in-Stripping.jpg,True Temper,,"The 48-inch Stripping Bar with claw is quality heated steel for superior strength during prying. Hexagon steel construction for enhanced strength and durability. Double claw stripping bar, one chisel claw and one offset right angle claw for tearing and removing floor tile and walls.",,,Ames True Temper Inc. 1168800 48 in. Stripping Bar,. 48 in. Stripping Bar
825|21886|28298,"Bars|Nail Pullers, Wrecking and Pry Bars|Rental Bars",1168600,. 36 In. Stripping Bar,,E:\IMAGES\ITEMS\product\1\1\Ames-True-Temper-Inc-1168600-36-In-Stripping.jpg,True Temper,,"The 36-inch Stripping Bar with claw is quality heated steel for superior strength during prying. Hexagon steel construction for enhanced strength and durability. Double claw stripping bar, one chisel claw and one offset right angle claw for tearing and removing floor tile and walls.",,,Ames True Temper Inc. 1168600 36 In. Stripping Bar,. 36 In. Stripping Bar
825|21886|28298,"Bars|Nail Pullers, Wrecking and Pry Bars|Rental Bars",1170500,. 24in. Wrecking Bar,,E:\IMAGES\ITEMS\product\1\1\Ames-True-Temper-Inc-1170500-24in-Wrecking.jpg,True Temper,,"The True Temper Gooseneck Wrecking Bar is a 24-inch bar made of quality steel. This tool is used to lever, remove nails, pry boards, and generally break things. It also has a single curved end and flattened points with a small slot on both ends for removing nails. The tool construction is durable for longevity.",,,Ames True Temper Inc. 1170500 24in. Wrecking Bar,. 24in. Wrecking Bar
