category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
29034,Power Washers,EPT3-80HAT,"Gasoline Trash Pump 3"" 8HP","Tsurumi EPT3-80HAT Gasoline Trash Pump 3"" 8HP",E:\IMAGES\ITEMS\product\E\P\Tsurumi-EPT3-50HAT-Gasoline-Trash-Pump-3.jpg,"Tsurumi (America), Inc.","Gasoline Trash Pump 3"" 8HP",Suction Size (in.) : 3 NPT Male Discharge Size (in.) : 3 Engine Model: Honda GX-240 Shipping Weight(lbs.): 136 Shipping Dimensions(in.):28x20x26,"We've redesigned our portable trash pump series by increasing the size of the pump casing. Plus, we've installed an access door to the impeller that can be taken off the volute casing without you having to remove the suction hose. Powered by quality, dependable Honda and Robin Subaru gas engines.",,"Gasoline Trash Pump 3"" 8HP","Gasoline Trash Pump 3"" 8HP"
29034,Power Washers,EPT3-50HAT,"Gasoline Trash Pump 2"" 5.5HP","Tsurumi EPT3-50HAT Gasoline Trash Pump 2"" 5.5HP",E:\IMAGES\ITEMS\product\E\P\Tsurumi-EPT3-50HAT-Gasoline-Trash-Pump-2.jpg,"Tsurumi (America), Inc.","Gasoline Trash Pump 2"" 5.5HP",Suction Size (in.) : 2 NPT Male Discharge Size (in.) : 2 Engine Model: Honda GX-120 Shipping Weight(lbs.): 82 Shipping Dimensions(in.):23x18x17,"We've redesigned our portable trash pump series by increasing the size of the pump casing. Plus, we've installed an access door to the impeller that can be taken off the volute casing without you having to remove the suction hose. Powered by quality, dependable Honda and Robin Subaru gas engines.",,"Gasoline Trash Pump 2"" 5.5HP","Gasoline Trash Pump 2"" 5.5HP"
23613,Deep Well Submersible Pump Motors,HS2.4S-62,"2"" Submersible Trash Pump Electric 110 V - 1/2 HP","Tsurumi HS2.4S-62 2"" Submersible Trash Pump Electric 110 V - 1/2 HP",E:\IMAGES\ITEMS\product\H\S\Tsurumi-HS24S-62-2-Submersible-Trash-Pump-Electric-110-V-12.jpg,"Tsurumi (America), Inc.","Tsurumi HS2.4S-62 2"" Submersible Trash Pump Electric 110 V - 1/2 HP",Discharge Size(in.):2 Motor Output(HP):1/2 Voltage (V): 110 or 220 Cable Length(ft):20 Diameter(in):10 1/16 Height(in): 12 15/16 Weight (lbs): 25,Single-phase agitator pumps suspend solids when pumping sand and debris. Available in manual or automatic operation.,,"Tsurumi HS2.4S-62 2"" Submersible Trash Pump Electric 110 V - 1/2 HP","2"" Submersible Trash Pump Electric 110 V - 1/2 HP"
10|25166|28286,Centrifugal Pumps|Straight Pumps|Rental Pressure Washers and Pumps,TE3-50HAT,"2"" Centrifugal Pump 4HP Gas Engine","Tsurumi TE3-50HAT 2"" Centrifugal Pump 4HP Gas Engine",E:\IMAGES\ITEMS\product\T\E\Tsurumi-TE3-50HAT-2-Centrifugal-Pump-4HP-Gas.jpg,"Tsurumi (America), Inc.","Tsurumi TE3-50HAT 2"" Centrifugal Pump 4HP Gas Engine",Suction Size (in): 2 NPT male Discharge Size (in): 2  Engine Model: Honda GX-120 Shipping Weight (lbs): 55 Shipping Dimensions (in): 19x15x18,"Constructed for maximum durability, our dewatering pumps are compact and lightweight, built with the contractor in mind. Available with Honda and Robin Subaru gasoline engines.",,"Tsurumi TE3-50HAT 2"" Centrifugal Pump 4HP Gas Engine","2"" Centrifugal Pump 4HP Gas Engine"
29034,Power Washers,TS-301,Float Switch for HS2.4S-61,Tsurumi TS-301 Float Switch for HS2.4S-61,E:\IMAGES\ITEMS\product\T\S\Tsurumi-TS-301-Float-Switch-for-HS24S.jpg,"Tsurumi (America), Inc.",Tsurumi TS-301 Float Switch for HS2.4S-61,,Our TS series mechanical float switches are UL & CSA approved. The piggy-back style float switch allows fast and easy installation of your manual Tsurumi pump in applications requiring automatic operation.,,Tsurumi TS-301 Float Switch for HS2.4S-61,Float Switch for HS2.4S-61
2582|23617,Specialty Pumps|Pool and Spa Pump Motors,LH Series,"Three Phase Pumps, LH Series",High Head Pumps Providing Medium To High Flows. Ideal For Generating Plants And Mining Operations.,E:\IMAGES\ITEMS\product\L\H\Three-Phase-Pumps-LH.png,"Tsurumi (America), Inc.",High Head Pumps Providing Medium To High Flows. Ideal For Generating Plants And Mining Operations.,Discharge sizes from 4-8 inches and horsepower range from 20-150 hp Replaceable and adjustable high chrome wear rings provide increased wear resistance. Built in thermal and amperage protectors prevent motor failure in run-dry or surge conditions. High pressure dual silicon carbide mechanical seals operate in a separate oil chamber and are capable of withstanding operating depths of 328 feet. Seal pressure relief ports provide a flow path above the pump casing and allow water release from the pump and away from the shaft. This protects the mechanical seals from excessive pumping pressure or water hammer in high head pumping applications. Anti-wicking cable entrance and Tsurumi's exclusive oil lifter for added protection.,"Tsurumi'S Lh Series Handles Medium To High Flows At Higher Heads, Yet Its Top Discharge Flow-Through Design Welcomes Low Water Level Operation For Extended Periods. Complete With A High Chromium Semi-Open Impeller And Adjustable Wear Rings, Our Lh Pumps Provide You With Increased Wear Resistance Whether Your Application Is Effluent Transfer, Construction Site Drainage, Or Commercial/Industrial Dewatering.   ModelDischarge Bore (in.)Motor Output (HP)Shipping Weight (lbs.)Cable Length (ft.)Voltage (V)Weight (lbs.)Diameter (in.)Height (in.) LH422430N/A50208/230/460/57568016-9/1651-3/4 LH430440N/A50208/230/460/57573016-9/1653-3/8 LH61106150N/A50460/575264023-5/1670-3/8 LH615620N/A50208/230/460/57542013-7/1639 LH619625N/A50208/230/460/57561016-9/1652-1/4 LH622630N/A50208/230/460/57564016-9/1653-5/8 LH637650N/A50208/230/460/575109020-7/857 LH645660N/A50460/575112020-7/857 LH6756100N/A50460/575187021-5/866 LH6906120N/A50460/575242023-13/1670-3/8 LH81108150N/A50460/575275023-5/1670-3/8 LH837850N/A50208/230/460/575109020-7/858-9/16 LH845860N/A50460/575112020-7/858-9/16 LH855875N/A50460/575178021-5/867-9/16 LH8758100N/A50460/575187021-5/867-9/16 LH8908120N/A50460/575253023-5/1670-3/8",,"Three Phase Pumps, LH Series","Three Phase Pumps, LH Series"
2582|23617,Specialty Pumps|Pool and Spa Pump Motors,LHW Series,"Three Phase Pumps, LHW Series",Designed Specifically For Operation In High Head Applications.,E:\IMAGES\ITEMS\product\L\H\Three-Phase-Pumps-LHW.png,"Tsurumi (America), Inc.",Designed Specifically For Operation In High Head Applications.,Discharge Sizes From 2-4 Inches And Horsepower Range From 4-40 Hp Replaceable And Adjustable High Chrome Wear Rings Provide Increased Wear Resistance. Built In Thermal And Amperage Protectors Prevent Motor Failure In Run-Dry Or Surge Conditions. High Pressure Dual Silicon Carbide Mechanical Seals Operate In A Separate Oil Chamber And Are Capable Of Withstanding Operating Depths Of 328 Feet. Seal Pressure Relief Ports Provide A Flow Path Above The Pump Casing And Allow Water Release From The Pump And Away From The Shaft. This Protects The Mechanical Seals From Excessive Pumping Pressure Or Water Hammer In High Head Pumping Applications. Anti-Wicking Cable Entrance And Tsurumi'S Exclusive Oil Lifter For Added Protection.,Tsurumi'S Lhw Series Achieves Extremely High Head Capabilities. Our Dual Staged Enclosed Impellers Are Just One Of Many Features Found Engineered Into These Durable Pumps Which Can Help You Solve All Your Long Distance Water Transfer Needs.   ModelDischarge Bore (in.)Motor Output (HP)Shipping Weight (lbs.)Cable Length (ft.)Voltage (V)Weight (lbs.)Diameter (in.)Height (in.) LH23.0W24Consult Factory50208-230/460/5751017-5/1624-13/16 LH311W315N/A50208/230/460/57528610-5/840-5/16 LH322W330N/A50208/230/460/5756701348-5/8 LH33.034Consult Factory50208-230/460/575937-5/1625-3/8 LH430W440N/A50208/230/460/57571414-3/854-1/8,,"Three Phase Pumps, LHW Series","Three Phase Pumps, LHW Series"
2582|23617,Specialty Pumps|Pool and Spa Pump Motors,GSZ Series,"Three Phase Pumps, GSZ Series",High Volume Dewatering Pumps Available In 25 - 100 Hp Models.,E:\IMAGES\ITEMS\product\G\S\Three-Phase-Pumps-GSZ.png,"Tsurumi (America), Inc.",High Volume Dewatering Pumps Available In 25 - 100 Hp Models.,"Discharge Sizes From 6-10 Inches And Horsepower Ranges From 30-100 Hp. 4 Pole, 1800 Rpm Motors Or 6 Pole, 1200 Rpm Motors. Seal Pressure Relief Ports On 4 Pole, 1800 Rpm Models. Lower Impeller Tip Speeds Extend Parts Wear Life 2-3 Times. Rugged Cast Iron Construction. Dual Silicon Carbide Mechanical Seals. Internal Thermal Motor Protection And Tsurumi'S Exclusive Oil Lifter. Anti Wicking Cable Entrance.","Utilizing 4 Pole, 1800 Rpm Motors And 6 Pole, 1200 Rpm Motors The Gsz Series Offers Longer Wear Life On Parts Due To The Slower Impeller Tip Speed. Gsz Pumps Are The Most Formidable High Volume Slurry/Dewatering Pumps Offered Today.   ModelDischarge Size (in.)Motor Output (HP)PoleVoltage (V)Diameter (in.)Height (in.)Weight (lbs.) GSZ-45-48604-1800460/5753659 13/162420 GSZ-55-410754-1800460/57541 5/1668 5/162530 GSZ-75-4L101004-1800460/57541 5/1668 5/162640 GSZ2-22-68306-1200208/230/460/5753851 3/81540 GSZ2-37-4H6504-1800208/230/460/57535 7/1656 11/161870 GSZ2-37-4H8504-1800208/230/460/5753657 7/81870 GSZ2-37-68506-1200208/230/460/57539 15/1652 15/162200",,"Three Phase Pumps, GSZ Series","Three Phase Pumps, GSZ Series"
2582|23617,Specialty Pumps|Pool and Spa Pump Motors,KTV Series,"Three Phase Pumps, KTV Series","Light-Weight Construction, For Ease Of Portability Available In 1 Hp - 7 1/2 Hp Designs.",E:\IMAGES\ITEMS\product\K\T\Three-Phase-Pumps-KTV.png,"Tsurumi (America), Inc.","Light-Weight Construction, For Ease Of Portability Available In 1 Hp - 7 1/2 Hp Designs.","Discharge Sizes From 2-3 Inches And Horsepower Ranges From 1-7.5 Hp. Lightweight And Compact. Durable Construction Provides Low Maintenance And Easy Repair. Internal Thermal Motor Protection, Dual Silicon Carbide Mechanical Seals. Tsurumi'S Exclusive Oil Lifter.",Ktv And Ktve Pumps Are Wear Resistant And Designed For Those Light To Medium-Duty Applications. Our Ktve Series Incorporates A Level Sensor Eliminating The Need For Auto Control Panels And Externally Mounted Float Assemblies.   ModelDischarge Size (in.)Motor Output (HP)PoleVoltage (V)Diameter (in.)Height (in.)Weight (lbs.) KTV2-15222-3600208/230/460/5759 7/1615 9/1643 KTV2-22232-3600208/230/460/5759 7/1616 3/851 KTV2-37H252-3600208/230/460/57511 1/420 1/1677 KTV2-37H352-3600208/230/460/57511 1/420 1/1677 KTV2-5537.52-3600208/230/460/57511 13/1621 7/16102 KTV2-8212-3600208/230/460/5757 7/814 1/225 KTVE2.75212-3600208/230/460/5757 7/816 7/1628 KTVE21.5222-3600208/230/460/5759 7/1616 3/448 KTVE22.2232-3600208/230/460/5759 7/1616 3/455 KTVE33.7352-3600208/230/460/57511 1/423 1/1687,,"Three Phase Pumps, KTV Series","Three Phase Pumps, KTV Series"
2582|23617,Specialty Pumps|Pool and Spa Pump Motors,KRS Series,"Three Phase Pumps, KRS Series",High Volume Pumping Applications Available In 3 Hp - 50 Hp Designs.,E:\IMAGES\ITEMS\product\K\R\Three-Phase-Pumps-KRS.png,"Tsurumi (America), Inc.",High Volume Pumping Applications Available In 3 Hp - 50 Hp Designs.,"Discharge sizes from 3-14 inches and horsepower ranges from 3-50 hp. 4 pole, 1800 rpm motors reduce impeller tip speed and extend parts wear life. Rugged cast iron construction holds up to the most aggressive mining, aggregate, construction applications. Dual Silicon Carbide Mechanical seals in a separate oil bath.","The Cast Iron Construction Of Our Krs Series Extends Pump Life By Preventing Premature Wear And Failure From The Abrasive Materials Found In Mining, Aggregate, And Construction Applications. Available In A Variety Of Discharge Sizes And Horsepower, The Krs Pumps Are Engineered To Withstand Even The Most Rigorous Situations.   ModelDischarge Size (in.)Motor Output (HP)PoleVoltage (V)Diameter (in.)Height (in.)Weight (lbs.) KRS102210304-1800208/230/460/57520 1/249 15/16990 KRS123012404-1800208/230/460/57526 3/855 1/41540 KRS143714504-1800208/230/460/57526 3/855 1/41650 KRS2-8S8154-1800208/230/460/57518 9/1632 1/16383 KRS2-A3334-1800208/230/460/57513 3/823 5/8159 KRS2-A4454-1800208/230/460/57513 3/426 15/16194 KRS2-A66104-1800208/230/460/57516 5/1626 15/16286 KRS2-B3354-1800208/230/460/57513 3/426 15/16196 KRS2-B447.54-1800208/230/460/57513 3/426 9/16209 KRS2-B66154-1800208/230/460/57516 5/1629 3/16330 KRS8158204-1800208/230/460/57518 15/1637 3/8520 KRS8198254-1800208/230/460/57522 1/245 1/2850 KRS8228304-1800208/230/460/57522 1/245 1/2860 KRS822L8304-1800208/230/460/57522 1/245 1/2860",,"Three Phase Pumps, KRS Series","Three Phase Pumps, KRS Series"
