category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
822|21942|28295,Forks and Rakes|Forks|Rental Forks and Rakes,UT 72105,Spading Fork,"The Union Tools spading fork is a multipurpose tool that can be used for turning, digging, and loosening all types of soil. It can also be used to transfer loose material. The forged head contains 4 diamond-shaped tines for maximum strength and durability",E:\IMAGES\ITEMS\product\U\T\Union-Tools-Spading.jpg,Union Tools,Union Tools Spading Fork,"Forged, 4-tine head Strong, diamond-back tines work the soil with less effort 30-inch North American ash handle Strong Poly D-grip","The Union Tools spading fork is a multipurpose tool that can be used for turning, digging, and loosening all types of soil. It can also be used to transfer loose material. The forged head contains 4 diamond-shaped tines for maximum strength and durability.",,Union Tools Spading Fork,Spading Fork
823|23994|28296,Post Hole Digger|Post Hole Diggers|Rental Post Hole Diggers,UT 78002,Post Hole Digger,Union Tools Post Hole Digger,E:\IMAGES\ITEMS\product\U\T\Union-Tools-Post-Hole.jpg,Union Tools,Union Tools Post Hole Digger,"One-piece high carbon steel blades 5.5-inch point spread 48-inch North American ash handles Useful tool for digging perfect, deep holes below the frost line","Quality and performance make UnionTools the choice of both professionals and general consumers. If your next project involves installing a fence, post, mailbox, or basketball hoop, make sure you use the right tool for the job. This post hole digger is perfect for digging those necessary holes and footings and will help you do so without bending over or straining your back.",,Union Tools Post Hole Digger,Post Hole Digger
823|23994|28296,Post Hole Digger|Post Hole Diggers|Rental Post Hole Diggers,UT 78003,"UnionPro Post Hole Digger, Atlas Pattern","Union Tools UnionPro Post Hole Digger, Atlas Pattern",E:\IMAGES\ITEMS\product\U\T\Union-Tools-UnionPro-Post-Hole-Digger-Atlas.jpg,Union Tools,"Union Tools UnionPro Post Hole Digger, Atlas Pattern","Two-piece riveted high carbon steel blades with beveled digging edge 5.5-inch point spread 48-inch atlas pattern, fiberglass handles Useful tool for digging perfect, deep holes below the frost line","Quality and performance make UnionTools the choice of both professionals and general consumers. If your next project involves installing a fence, post, mailbox, or basketball hoop, make sure you use the right tool for the job. This post hole digger is perfect for digging those necessary holes and footings and will help you do so without bending over or straining your back.",,"Union Tools UnionPro Post Hole Digger, Atlas Pattern","UnionPro Post Hole Digger, Atlas Pattern"
823|23994|28296,Post Hole Digger|Post Hole Diggers|Rental Post Hole Diggers,UT 78570,Adjustable Auger,Union Tools Adjustable Auger,E:\IMAGES\ITEMS\product\U\T\Union-Tools-Adjustable.jpg,Union Tools,Union Tools Adjustable Auger,All steel construction Riveted blades adjust from 6 to 8.44 inches T-handles with end grips provides added leverage Used to loosen up dirt to dig post holes,"Digging post holes has never been easier than with True Temper adjustable auger. This all steel construction tool features riveted blades that adjusts from 6 to 8.44 inches. Also, a welded T-handle with grips gives the user leverage they need to loosen up dirt before digging post. This is a great tool for personal or professional use.",,Union Tools Adjustable Auger,Adjustable Auger
28300,Wheelbarrows,UT 77307,6 Cubic Foot Poly Wheelbarrow,Union Tools 6 Cubic Foot Poly Wheelbarrow,E:\IMAGES\ITEMS\product\U\T\Union-Tools-6-Cubic-Foot-Poly- 2.jpg,Union Tools,Union Tools 6 Cubic Foot Poly Wheelbarrow,6 cubic foot capacity Corrosion-proof poly tray 16 inch tubed tire 60 inch seal-coated hardwood handles,"With 6 cubic feet of hauling capacity, this UnionTools® wheelbarrow is ideal for homeowners, landscapers and light construction work. The 6 cubic foot poly tray will never rust or corrode and is designed to provide years of service. Around the house or on the job, this is the right wheelbarrow for the job.",,Union Tools 6 Cubic Foot Poly Wheelbarrow,6 Cubic Foot Poly Wheelbarrow
28300,Wheelbarrows,UT 77305,6 Cubic Foot Steel Wheelbarrow,Union Tools 6 Cubic Foot Steel Wheelbarrow,E:\IMAGES\ITEMS\product\U\T\Union-Tools-6-Cubic-Foot-Steel- 2.jpg,Union Tools,Union Tools 6 Cubic Foot Steel Wheelbarrow,6 cubic foot capacity Seamless steel tray 16 inch tubed tire 60 inch seal coated hardwood handles,"With 6 cubic feet of hauling capacity, this UnionTools® wheelbarrow is ideal for homeowners, landscapers and light construction work. The 6 cubic foot seamless steel tray is plenty tough and will provide years of service. Around the house or on the job, this is the right wheelbarrow for the job.",,Union Tools 6 Cubic Foot Steel Wheelbarrow,6 Cubic Foot Steel Wheelbarrow
28300,Wheelbarrows,UT 77306,6 Cubic Foot Steel Wheelbarrow with Knobby Tire,Union Tools 6 Cubic Foot Steel Wheelbarrow with Knobby Tire,E:\IMAGES\ITEMS\product\U\T\Union-Tools-6-Cubic-Foot-Steel-Wheelbarrow-with-Knobby- 1.jpg,Union Tools,Union Tools 6 Cubic Foot Steel Wheelbarrow with Knobby Tire,6 cubic foot capacity Seamless steel tray 16 inch tubed knobby tire 60 inch seal coated hardwood handles,"With 6 cubic feet of hauling capacity, this UnionTools® wheelbarrow is ideal for homeowners, landscapers and light construction work. The 6 cubic foot seamless steel tray is plenty tough and will provide years of service. Around the house or on the job, this is the right wheelbarrow for the job.",,Union Tools 6 Cubic Foot Steel Wheelbarrow with Knobby Tire,6 Cubic Foot Steel Wheelbarrow with Knobby Tire
28300,Wheelbarrows,UT 77000,6 Cubic Foot Steel Wheelbarrow with Steel Handles,Union Tools 6 Cubic Foot Steel Wheelbarrow with Steel Handles,E:\IMAGES\ITEMS\product\U\T\Union-Tools-6-Cubic-Foot-Steel-Wheelbarrow-with-Steel- 1.jpg,Union Tools,Union Tools 6 Cubic Foot Steel Wheelbarrow with Steel Handles,6 cubic foot capacity Seamless steel tray 16 inch tubed tire 60 inch steel handles,"With 6 cubic feet of hauling capacity, this UnionTools® wheelbarrow is ideal for homeowners, landscapers and light construction work. This 6 cubic foot seamless steel tray is plenty tough and will provide years of service. Around the house or on the job, this is the right wheelbarrow for the job.",,Union Tools 6 Cubic Foot Steel Wheelbarrow with Steel Handles,6 Cubic Foot Steel Wheelbarrow with Steel Handles
822|23983|28295,Forks and Rakes|Landscape and Bow Rakes|Rental Forks and Rakes,UT 63131,UnionPro 16-tine Bow Rake with Fiberglass Handle,Union Tools UnionPro 16-tine Bow Rake with Fiberglass Handle,E:\IMAGES\ITEMS\product\U\T\Union-Tools-UnionPro-16-tine-Bow-Rake-with-Fiberglass.jpg,Union Tools,Union Tools UnionPro 16-tine Bow Rake with Fiberglass Handle,Welded 16-tine tempered-steel head 54-inch fiberglass handle for strength and durability Steel ferrule for strongest blade and handle connection Multi-purpose tool ideal for raking and leveling,"This bow rake is a multi-purpose tool that is an essential part of any tool assortment. It's perfect for loosening or breaking up compacted soil, spreading mulch or other material evenly and leveling areas before planting. It can also be used to collect leaves, hay, grass or other garden debris.",,Union Tools UnionPro 16-tine Bow Rake with Fiberglass Handle,UnionPro 16-tine Bow Rake with Fiberglass Handle
822|23983|28295,Forks and Rakes|Landscape and Bow Rakes|Rental Forks and Rakes,UT 63110,14-curved tine Level Rake,Union Tools 14-curved tine Level Rake,E:\IMAGES\ITEMS\product\U\T\Union-Tools-14-curved-tine-Level.jpg,Union Tools,Union Tools 14-curved tine Level Rake,Forged 14-tine head Mid-grip sleeve provides extra grip and cushioning Fiberglass handle is stronger than wood Strong head connection for years of use,"The UnionTools level rake is designed to level materials, including gravel and soil . The one piece forged steel tines work hard to spread the material evenly. It is a medium-duty rake that is great for contractor and professional use, as well as serious homeowners.",,Union Tools 14-curved tine Level Rake,14-curved tine Level Rake
