category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1973|22660,Lubricant Products|Penetrants and Lubricants,10110WD,BLK LIQ 1 Gallon,WD-40 BLK LIQ 1 Gallon,E:\IMAGES\ITEMS\product\1\0\WD-40-BLK-LIQ-1.jpg,WD-40,,"Features / Specifications Penetrates, loosens and frees stuck, frozen or rusted parts Protects metal against moisture and corrosive elements Removes grease, grime, water deposits and much more Lubricates moving parts","With literally thousands of uses, WD-40® is the #1 multi-purpose problem solver. It cleans, protects, penetrates, lubricates and displaces moisture like no other product on earth. In sizes and applications for every need.",,WD-40 BLK LIQ 1 Gallon,BLK LIQ 1 Gallon
1973|22660,Lubricant Products|Penetrants and Lubricants,110078WD,Smart Straw 11 oz.,WD-40 Smart Straw 11 oz.,E:\IMAGES\ITEMS\product\1\1\WD-40-Smart-Straw-11.jpg,WD-40,,Features / Specifications WD-40® can with built-in straw Smart new design allows for one-handed operation. 360° Valve - Flip it up for precision stream and down for regular spray action.,"Protect, clean and lubricate thousands upon thousands of items - without ever losing the straw again! The WD-40® Smart Straw Aerosol features a permanently attached straw that sprays two ways. Flip it up for a precision stream and down for regular spray action. This design allows for one-handed application and puts an exciting twist on this true American original.",,WD-40 Smart Straw 11 oz.,Smart Straw 11 oz.
22660,Penetrants and Lubricants,110108,WD-48 Lubricating Spray 3oz.,"All of the handy uses in one small can, the WD-40 3 oz handy can is always ready to tackle your toughest jams. From small to medium sized jobs, never fear, your problem solver is here",E:\IMAGES\ITEMS\product\1\1\WD-48-Lubricating-Spray.jpg,WD-40,"All of the handy uses in one small can, the WD-40 3 oz handy can is always ready to tackle your toughest jams. From small to medium sized jobs, never fear, your problem solver is here","Brand: WD-40 Percentage VOC: 49.5 % Composition: Aliphatic Hydrocarbon, Petroleum Base Oil, LVP Aliphatic Hydrocarbon, Surfactant Pour Point: -63 deg C Container Size: 3 oz Form: Liquid Viscosity: 2.79 - 2.96 cst Flash Point: 122 deg F Standards: ASTM Specified Specific Gravity: .82 Container Type: Handy Can Application Method: Spray Special Features: Light Amber Mild Odor",,,3oz.,WD-48 Lubricating Spray 3oz.
22660,Penetrants and Lubricants,110054,WD-40 Smart Straw 8oz.,"Spray, Never lose the straw again Permanently attached straw flip upwards for precision stream and downwards for regular spray action 8 and 11 oz",E:\IMAGES\ITEMS\product\1\1\WD-40-Smart-Straw.jpg,WD-40,"Spray, Never lose the straw again Permanently attached straw flip upwards for precision stream and downwards for regular spray action 8 and 11 oz","Brand: WD-40 Pour Point: -63 deg C Application Method: Spray Percentage VOC: 49.5 % Container Size: 8 oz Composition: Aliphatic Hydrocarbon, Petroleum Base Oil, LVP Aliphatic Hydrocarbon, Surfactant Container Type: Aerosol Form: Liquid Specific Gravity: .82 Flash Point: 122 deg F Viscosity: 2.79 - 2.96 cst Standards: ASTM Specified Special Features: Light Amber Mild Odor",,,WD-40 Smart Straw 8oz.,WD-40 Smart Straw 8oz.
22660,Penetrants and Lubricants,10116,WD-40 Lubricating Spray 16oz.,WD-40 general lubricant for multi purpose moving parts,E:\IMAGES\ITEMS\product\1\0\WD-40-Lubricating-Spray.jpg,WD-40,WD-40 general lubricant for multi purpose moving parts,"Excellent corrosion prohibitor - protects metal against moisture and corrosive elements Removes grease, grime, water deposits, and much more Long lasting multi purpose lubricant for moving parts Displaces moisture - non-conductive Low surface tension - penetrates, loosens and frees stuck, frozen or rusted parts","Brand: WD-40 Specific Gravity: .817 Container Size: 16 oz Flash Point: 131 deg F Container Type: Aerosol Composition: Aliphatic Petroleum Distillates, Petroleum Base Oil, LVP Hydrocarbon Fluid, Carbon Dioxide Application Method: Spray Type: Multi-Purpose Percentage VOC: 49.5 % Special Features: Light Amber Usage: For Gears, Tools",,WD-40 Lubricating Spray 16oz.,WD-40 Lubricating Spray 16oz.
22660,Penetrants and Lubricants,110184,WD-40 Non Aersol Trigger Pro 20oz.,"Created especially for Industrial users, WD-40 Trigger Pro has the same great WD-40 formula, now in a Non-Aerosol can. Multi-purpose lubricant, remover, protector, moisture displacer and more. WD-40 non-aerosol formulas also dissolve adhesives, allowing e",E:\IMAGES\ITEMS\product\1\1\WD-40-Non-Aersol-Trigger-Pro.jpg,WD-40,"Created especially for Industrial users, WD-40 Trigger Pro has the same great WD-40 formula, now in a Non-Aerosol can. Multi-purpose lubricant, remover, protector, moisture displacer and more. WD-40 non-aerosol formulas also dissolve adhesives, allowing easy removal of labels, tape, stickers, and excess bonding materia","No overspray Heavy duty spray trigger withstands abuse and does not leak (compared to other non-aerosol lubricants on the market) Off position on the nozzle means no accidental spraying in your truck, tool box or storage cabinet","Brand: WD-40 Form: Liquid Percentage VOC: 49.5 % Flash Point: 131 deg F Composition: Aliphatic Hydrocarbon, Petroleum Base Oil Container Size: 20 oz Container Type: Non-Aerosol Can Specific Gravity: .817 Special Features: Light Amber Mild Odor Usage: For Gears, Hinges, Moving Parts, Sliding Doors, Tools",,WD-40 Non Aersol Trigger Pro 20oz.,WD-40 Non Aersol Trigger Pro 20oz.
22660,Penetrants and Lubricants,10000,WD40 10000 SPRAY APPLICATOR,,E:\IMAGES\ITEMS\product\1\0\wd-40-10000-wd40-10000-spray-applicator.jpg,WD-40,,,This multi-use product is best dispensed from the Heavy Duty Empty Plastic Spray Applicator.The one-pint heavy-duty sprayer is meant for use with WD-40 bulk liquid. The adjustable spray nozzle converts the liquid to steam or spray for all sorts of uses. The durable plastic is specially treated on the inside to add stability for use.It's the perfect applicator for heavy users of WD-40. One pint heavy-duty sprayer for use with WD-40 bulk liquid. Adjustable spray nozzle for stream or spray. Durable plastic. Specially treated on inside to add stability for use with penetrating quality of the formula.,7956710000.0,,WD40 10000 SPRAY APPLICATOR
22660,Penetrants and Lubricants,10100,WD40 10100 SPRAY APPLICATOR 4/PK,,E:\IMAGES\ITEMS\product\1\0\wd-40-10100-wd40-10100-spray-applicator-4pk.jpg,WD-40,,,This multi-use product is best dispensed from the Heavy Duty Empty Plastic Spray Applicator.The one-pint heavy-duty sprayer is meant for use with WD-40 bulk liquid. The adjustable spray nozzle converts the liquid to steam or spray for all sorts of uses. The durable plastic is specially treated on the inside to add stability for use.It's the perfect applicator for heavy users of WD-40. One pint heavy-duty sprayer for use with WD-40 bulk liquid. Adjustable spray nozzle for stream or spray. Durable plastic. Specially treated on inside to add stability for use with penetrating quality of the formula.,,,WD40 10100 SPRAY APPLICATOR 4/PK
22660,Penetrants and Lubricants,300004,WD40 300004 11OZ SPECIALIST PENETRANT 6/CS,,E:\IMAGES\ITEMS\product\3\0\wd-40-300004-wd40-300004-11oz-specialist-penetrant-6cs.jpg,WD-40,,,"A fast-acting penetrant that gets deep into crevices, threads and seams to break the bonds that hold stuck parts together.. WD-40® Specialist® Rust Release Penetrant Spray is a fast-acting penetrant that quickly goes to work on rusted nuts, bolts, threads, locks and chains, and also leaves behind a protective layer to help prevent rust and corrosion from re-forming. Containing Blu Torch® Technology, a proprietary blend of synthetic additives, it is safe to use on plastics, rubber and metal. Extra-penetrating Blu Torch technology Ideal for use on nuts, bolts, threads and locks 50-state VOC compliant",7956730000.0,,WD40 300004 11OZ SPECIALIST PENETRANT 6/CS
22660,Penetrants and Lubricants,300059,WD40 300059 SPECIALIST DIRT AND DUST RESISTANT DRY LUBE PTFE SPRAY 10O,,E:\IMAGES\ITEMS\product\3\0\wd-40-300059-wd40-300059-specialist-dirt-and-dust-resistant-dry-lube-ptfe-spray-10o.jpg,WD-40,,,"A dry lubricant that provides long-lasting lubrication and protection without attracting dirt and dust.  WD-40® Specialist® Dirt and Dust Resistant Dry Lube PTFE spray is ideal for reducing friction, providing long-lasting lubrication and corrosion protection with no oily residue. It dries quickly and resists dirt, dust and oil. Great for reducing friction and wear on blades and bits, door and window tracks, slides, conveyor belts, rollers, hinges, power tools and equipment. Effective in temperatures ranging from -100° F to 500° F. Safe on metals, plastic and rubber.  Won't attract dirt, dust or oil 50-state VOC compliant",7956730005.0,,WD40 300059 SPECIALIST DIRT AND DUST RESISTANT DRY LUBE PTFE SPRAY 10O
