category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
283|19526,Curing Compounds|Concrete Cleaners and Sealers,W.R. Meadows 1100-CLEAR 05,5-Gal Water Based Curing Compound,"W.R. Meadows 1100-CLEAR Resin-Based, Water Based Curing Compound",E:\IMAGES\ITEMS\product\W\R\WR-Meadows-1100-CLEAR-Resin-Based-Water-Based-Curing- 2.jpg,W.R. Meadows,"5-Gal and 55-Gal, Water Based Dissipating Curing Compound","FEATURES/BENEFITS When properly applied, 1100-CLEAR produces a premium-grade film, which optimizes water retention. Furnished as a ready-to-use, true water-based compound. Produces hard, dense concrete ... minimizes hair checking, thermal cracking, dusting, and other defects. Offers a compressive strength significantly greater than improperly cured or uncured concrete. Increases tensile strength for greater resistance to cracking and surface crazing. Improves resistance to abrasion and the corrosive actions of salts and chemicals. Minimizes excessive shrinkage. Can be applied quickly and easily with conventional commercial spray equipment. Formulations also available with red fugitive dye added. VOC compliant …VOC content is <100 g/L.","USES The 1100-CLEAR series has been used on both interior and exterior applications where paint, resilient tile, or resilient flooring may be applied later. Because of the wide variety of coatings, paints, adhesives, and toppings available, contact the manufacturer of the flooring system or subsequent coating or topping for application approval over resin-based curing compounds. A small test application is always recommended. DESCRIPTION The 1100-CLEAR series of water-based concrete curing compounds is formulated from hydrocarbon resins and may be used on interior, exterior, vertical, and horizontal concrete surfaces. Once applied, 1100-CLEAR forms a premium-grade membrane that retains an optimum amount of water in freshly placed concrete for complete hydration of the cement.  NOTE: After approximately four weeks, the membrane begins to chemically break down when exposed to UV rays.  The membrane will eventually dissipate from the surface. This process usually takes another 3 - 5 weeks under normal traffic, exposure to UV, and weathering conditions. PACKAGING 5 Gallon (18.93 L) Pails 55 Gallon (208.20 L) Drums COVERAGE Approximately 200 sq. ft./gal. (4.91 m²/L).  Coverage rate may vary depending on conditions (temperature, wind, etc.) at the jobsite, as well as the porosity and condition of the concrete. SPECIFICATIONS ASTM C 309, Type 1, Classes A & B (Type 1-D also available)",,5-Gal Water Based Curing Compound,5-Gal Water Based Curing Compound
283|19526,Curing Compounds|Concrete Cleaners and Sealers,1600-WHITE,"Water-Based, Wax-Based Concrete Curing Compound","W.R. Meadows 1600-WHITE Water-Based, Wax-Based Concrete Curing Compound",E:\IMAGES\ITEMS\product\W\R\WR-Meadows-1600-WHITE-Water-Based-Wax-Based-Concrete-Curing- 1.jpg,W.R. Meadows,"1600-WHITE Water-Based, Wax-Based Concrete Curing Compound - WR Meadows","FEATURES/BENEFITS When properly applied, provides a premium-grade film, which optimizes water retention. Protects by reflecting the sun's rays to keep the concrete surface cooler and prevent excessive heat buildup, which can cause thermal cracking. Furnished as a ready-to-use, true water-based compound. Produces hard, dense concrete ... minimizes hair checking, thermal cracking, dusting and other defects. Offers a compressive strength significantly greater than improperly or uncured concrete. Increases tensile strength for greater resistance to cracking and surface crazing. Improves resistance to the abrasion and corrosive actions of salts and chemicals ... minimizes shrinkage. Applies quickly and easily with conventional commercial spray equipment. VOC compliant … VOC content is <100 g/L.","USES 1600-WHITE is ideal for application on exterior, horizontal surfaces, such as highways, airports, and street and curb paving. 1600-WHITE is not recommended for residential applications. The product provides optimum curing when protection from the sun's heat is desired. DESCRIPTION The 1600-WHITE series of water-based, white-pigmented concrete curing compounds are wax-based dispersions with selected white pigments. When properly applied, 1600-WHITE forms a premium-grade membrane, which optimizes water retention. The white pigment reflects the sun's rays to help keep the concrete surface cooler and prevent excessive heat buildup. PACKAGING 5 Gallon (18.93 L) Pails 55 Gallon (208.20 L) Drums COVERAGE Approximately 200 ft.²/gal. (4.91 m²/L). Coverage rates may have to be adjusted in windy conditions. SPECIFICATIONS ASTM C 309, Type 2, Class A",,"W.R. Meadows 1600-WHITE Water-Based, Wax-Based Concrete Curing Compound","Water-Based, Wax-Based Concrete Curing Compound"
283|19526,Curing Compounds|Concrete Cleaners and Sealers,W.R. Meadows 3100,All-Resin Concrete Curing Compound (VOC-Compliant),W.R. Meadows 3100 All-Resin Concrete Curing Compound (VOC-Compliant),E:\IMAGES\ITEMS\product\W\R\WR-Meadows-3100-All-Resin-Concrete-Curing-Compound-VOC.jpg,W.R. Meadows,3100 All-Resin Concrete Curing Compound (VOC-Compliant) - WR Meadows,"FEATURES/BENEFITS Excellent moisture retention properties. Eliminates need for more costly or less efficient curing methods, such as water ponding, sprinkling or the use of burlap, paper or plastic film.","USES 3100 is designed for freshly placed exterior concrete surfaces, in horizontal and vertical applications, above- and below-grade.  The product is recommended for sidewalks, floors, walls, patios, and similar applications. CS-309 or VOCOMP®-20 from W. R. MEADOWS is recommended for architectural concrete where even slight discolouration would be objectionable and on concrete floors that will receive subsequent coatings or floor coverings. DESCRIPTION 3100 is a 100% resin-based curing compound for application on freshly placed concrete surfaces.  Its use ensures retention of 95% of the moisture present in the concrete at the time of application for at least seven days, thus providing complete hydration, full development of design strengths, surface hardness and weather resistance. 3100 meets the 350 g/L VOC limit for concrete curing compounds. 3100-C is a light amber colour and is recommended for use on exterior surfaces. 3100-D contains a fugitive dye to aid uniform coverage through visual observation.  The dye disappears after approximately 72 hours exposure to sunlight. PACKAGING 18.9 litre pails, 205 litre drums COVERAGE Approximately 200 sq. ft./gal. (4.9 m2/L). Coverage is approximate and depends on the porosity of the surface. SPECIFICATIONS ASTM C 309, Type 1, Class B ASTM C 309, Type 1-D, Class B (with dye)",,W.R. Meadows 3100 All-Resin Concrete Curing Compound (VOC-Compliant),All-Resin Concrete Curing Compound (VOC-Compliant)
283|19526,Curing Compounds|Concrete Cleaners and Sealers,W.R. Meadows 1300-CLEAR,"Water-Base, Wax-Base Concrete Curing Compound","W.R. Meadows 1300-CLEAR Water-Base, Wax-Base Concrete Curing Compound",E:\IMAGES\ITEMS\product\W\R\WR-Meadows-1300-CLEAR-Water-Base-Wax-Base-Concrete-Curing- 1.jpg,W.R. Meadows,"1300-CLEAR Water-Base, Wax-Base Concrete Curing Compound - WR Meadows","Features and Benefits When properly applied, it provides an impermeable film which optimizes water retention Furnished as a ready-to-use, true water-base compound Produces hard, dense concrete... minimizes hair-checking, thermal cracking, dusting and other defects Enhances the functional capabilities of concrete by ""sealing in"" the performance assets of strength and long life Offers a compressive strength significantly greater than improperly cured concrete Increases tensile strength for greater resistance to cracking and surface crazing Improves resistance to abrasion and corrosive action of salts and chemicals... minimizes shrinkage Applies quickly and easily with conventional, commercial spray equipment VOC compliant...meets the U.S. EPA Architectural Coatings Rule requirements","USES 1300-CLEAR is used on both interior and exterior, horizontal or vertical concrete applications, where subsequent surface treatments will not be applied. DESCRIPTION 1300-CLEAR Water-Base, Wax-Base Concrete Curing Compound is an excellent cure for interior and exterior, horizontal and vertical concrete surfaces. When properly applied, it provides an impermeable film which optimizes water retention. 1300-CLEAR appears white in color when wet, but dries clear. It is also available with a red fugitive dye to visually aid application coverage. 1300-CLEAR meets maximum VOC content limits of 350 g/L for Concrete Curing Compounds as required by the U.S. EPA Architectural Coatings Rule. PACKAGING 5 gallon (18.93 liter) Pails 55 gallon (208.20 liter) Drums COVERAGE Approximately 200 sq. ft./gal. (4.9 sq. m/L) SPECIFICATIONS ASTM C 309, Type 1, Class A (Type 1-D, also available)",,"W.R. Meadows 1300-CLEAR Water-Base, Wax-Base Concrete Curing Compound","Water-Base, Wax-Base Concrete Curing Compound"
283|19526,Curing Compounds|Concrete Cleaners and Sealers,W.R. Meadows 2200-WHITE,Poly-Alphamethylstyrene Concrete Curing Compound,W.R. Meadows 2200-WHITE Poly-Alphamethylstyrene Concrete Curing Compound,E:\IMAGES\ITEMS\product\W\R\WR-Meadows-2200-WHITE-Poly-Alphamethylstyrene-Concrete.jpg,W.R. Meadows,2200-WHITE Poly-Alphamethylstyrene Concrete Curing Compound - WR Meadows,"FEATURES/BENEFITS Ready for use and easily applied. Excellent moisture retention. Does not react with the ingredients in Portland cement concrete. Poly-alphamethylstyrene-resin-based. Furnishes a white-pigmented film, allowing for cooler concrete during the hydration process. Improved abrasion resistance of concrete surface. VOC compliant … meets U.S. EPA Architectural Coatings Rule requirements.","USES The 2200-WHITE series is white-pigmented to reflect the sun's rays. This maintains cooler concrete, which reduces the expansive and contractive stresses that cause cracking during the hydration process. When properly applied, each product in the 2200-WHITE series provides a tough, smooth, uniform film with excellent adhesion to the fresh concrete surface, producing high quality, durable concrete. DESCRIPTION The 2200-WHITE series includes 2245-, 2250- and 2255-WHITE. These ready-to-use concrete curing compounds are high solids, white-pigmented, and poly-alphamethylstryene-based. These formulations were developed for various departments of transportation as premium-grade concrete curing compounds. The 2200-WHITE series offers rainfall protection typically within four hours of application, developing sufficient hardness and film integrity. PACKAGING 5 Gallon (18.93 Liter) Pails 55 Gallon (208.20 Liter) Drums COVERAGE Unless directed by application specifications, the rate of coverage should be approximately 200 ft.²/gal. (4.91m²/L). SPECIFICATIONS ASTM C 309, Type 2, Class B ASTM C 1315, Type II, Class B",,W.R. Meadows 2200-WHITE Poly-Alphamethylstyrene Concrete Curing Compound,Poly-Alphamethylstyrene Concrete Curing Compound
283|19526,Curing Compounds|Concrete Cleaners and Sealers,W.R. Meadows 1220-WHITE,Pigmented Curing Compound,W.R. Meadows 1220-WHITE Pigmented Curing Compound,E:\IMAGES\ITEMS\product\W\R\WR-Meadows-1220-WHITE-Pigmented-Curing.jpg,W.R. Meadows,1220-WHITE Pigmented Curing Compound - WR Meadows,"FEATURES 1220 White Pigmented Curing Compound contains SUSPENSOID, a unique additive which assists pigment dispersion and prevents excessive pigment settlement. Excellent moisture retention properties. Excellent heat reflective properties. Excellent spray ability. Easy clean up.","USE Reflective curing compound for exterior use on freshly placed concrete surfaces, both horizontal and vertical, particularly where protection from the sun's heat is required. Recommended for use on driveways, walls, sidewalks, concrete highways, and runways, overpasses, bridges, tunnels, etc. DESCRIPTION 1220 White Pigmented Curing Compound is a waterborne resin based curing compound containing suspended white pigment. It permits complete hydration of the cement by retaining at least 97% of the water present in the concrete at the time of application, for at least 7 days. The white pigment reflects the heat-producing rays of the sun, keeping concrete surfaces cooler and preventing excessive heat build-up and resultant thermal cracking during the curing period. PACKAGING 18.9 litre pail 205 litre drum COVERAGE 4.9 m²/litre (240 ft.²/gal.) SPECIFICATIONS ASTM C 309, Type 2, Class B",,W.R. Meadows 1220-WHITE Pigmented Curing Compound,Pigmented Curing Compound
283|19526,Curing Compounds|Concrete Cleaners and Sealers,W.R. Meadows 1215-WHITE,Pigmented Curing Compound,W.R. Meadows 1215-WHITE Pigmented Curing Compound,E:\IMAGES\ITEMS\product\W\R\WR-Meadows-1215-WHITE-Pigmented-Curing.jpg,W.R. Meadows,1215-WHITE Pigmented Curing Compound - WR Meadows,"FEATURES 1215 White Pigmented Curing Compound contains SUSPENSOID, a unique additive which assists pigment dispersion and prevents excessive pigment settlement. Excellent moisture retention properties. Excellent heat reflective properties. Excellent spray ability. Easy clean up.","USE Reflective curing compound for exterior use on freshly placed concrete surfaces, both horizontal and vertical, particularly where protection from the sun's heat is required. Recommended for use on driveways, walls, sidewalks, concrete highways, and runways, overpasses, bridges, tunnels, etc. DESCRIPTION 1215 White Pigmented Curing Compound is a waterborne resin based curing compound containing suspended white pigment. It permits complete hydration of the cement by retaining at least 95% of the water present in the concrete at the time of application, for at least 7 days. The white pigment reflects the heat-producing rays of the sun, keeping concrete surfaces cooler and preventing excessive heat build-up and resultant thermal cracking during the curing period. PACKAGING 18.9 litre pail 205 litre drum COVERAGE 4.9 m²/litre (240 ft.²./gal.) SPECIFICATIONS ASTM C 309, Type 2, Class B",,W.R. Meadows 1215-WHITE Pigmented Curing Compound,Pigmented Curing Compound
283|19526,Curing Compounds|Concrete Cleaners and Sealers,1200-WHITE,"Water-Based, Resin-Based Concrete Curing Compound","W.R. Meadows 1200-WHITE Water-Based, Resin-Based Concrete Curing Compound",E:\IMAGES\ITEMS\product\W\R\WR-Meadows-1200-WHITE-Water-Based-Resin-Based-Concrete- 1.jpg,W.R. Meadows,"1200-WHITE Water-Based, Resin-Based Concrete Curing Compound - WR Meadows","FEATURES/BENEFITS When properly applied, provides a premium-grade film, which optimizes water retention. Protects by reflecting the sun's rays to keep the concrete surface cooler and prevent excessive heat buildup, which can cause thermal cracking. Furnished as a ready-to-use, true water-based compound. Produces hard, dense concrete ... minimizes hair checking, thermal cracking, dusting, and other defects. Enhances the functional capabilities of concrete by ""sealing in"" the performance assets of strength and long life. Offers a compressive strength significantly greater than improperly or uncured concrete. Increases tensile strength for greater resistance to cracking and surface crazing. Improves abrasion resistance and minimizes corrosive action of salts and chemicals ... minimizes shrinkage. Applies quickly and easily with conventional commercial spray equipment. VOC compliant … meets U.S. EPA Architectural Coatings Rule requirements.","USES 1200-WHITE is ideal for application on exterior, horizontal surfaces, such as highways, airports, and street and curb paving. The product provides optimum curing when protection from the sun's heat is desired. DESCRIPTION The 1200-WHITE series of water-based, white-pigmented curing compounds are resin-based dispersions with selected white pigments. When properly applied, 1200-WHITE provides a premium-grade film, which optimizes water retention. The white pigment reflects the sun's rays to help keep the concrete surface cooler and helps prevent excessive heat buildup. PACKAGING 5 Gallon (18.93 L) Pails 55 Gallon (208.20 L) Drums COVERAGE Approximately 200 ft.²/gal. (4.91 m²/L) SPECIFICATIONS ASTM C 309, Type 2, Class B",,"W.R. Meadows 1200-WHITE Water-Based, Resin-Based Concrete Curing Compound","Water-Based, Resin-Based Concrete Curing Compound"
283|19526,Curing Compounds|Concrete Cleaners and Sealers,W.R. Meadows CC-309-1WS,"Water-Base, Resin-Base Concrete Curing Compound","W.R. Meadows CC-309-1WS Water-Base, Resin-Base Concrete Curing Compound",E:\IMAGES\ITEMS\product\W\R\WR-Meadows-CC-309-1WS-Water-Base-Resin-Base-Concrete-Curing.jpg,W.R. Meadows,"CC-309-1WS Water-Base, Resin-Base Concrete Curing Compound - WR Meadows","FEATURES/BENEFITS When properly applied, produces a nearly impermeable film, which optimizes water retention. Furnished as a ready-to-use, true water-based compound. Produces hard, dense concrete … minimizes hair-checking, thermal cracking, dusting and other defects. Enhances the functional capabilities of concrete by ""sealing in"" the performance assets of strength and long life. Offers a compressive strength significantly greater than improperly cured concrete. Increases tensile strength for greater resistance to cracking and surface crazing. Improves resistance to the abrasive and corrosive actions of salts and chemicals … minimizes excessive shrinkage. Can be applied quickly and easily with conventional commercial spray equipment VOC compliant Formulations also available with red fugitive dye added.","USES CC-309-1WS has been used on both interior and exterior applications where paint, resilient tile or resilient flooring was applied later. Because of the wide variety of paints and adhesives for carpeting and resilient tile in use, contact the manufacturer of the flooring system for application approval over resin-type curing compounds. A small test application is also recommended. DESCRIPTION CC-309-1WS water-base concrete curing compound is formulated from hydrocarbon resins and may be used on interior, exterior, vertical and horizontal concrete surfaces. Once applied, it forms a membrane that retains an optimum amount of water present in freshly placed concrete to allow complete hydration of the cement. NOTE: After approximately four weeks, the membrane begins to chemically break down. When the curing cycle is complete, the membrane will eventually wear off the surface. This process usually takes another three to five weeks under normal traffic, UV exposure and weathering conditions. CC-309-1WS meets the maximum Volatile Organic Compound (VOC) content of 350 g/L for concrete curing compounds as required by the U.S. EPA Architectural Coatings Rule. PACKAGING 5 Gallon (18.93 L) Pails 55 Gallon (208.20 L) Drums 275 Gallon (1040.99 L) Totes COVERAGE Approximately 200 ft²/gal. (4.91 m²/L) SPECIFICATIONS ASTM C 309, Type 1, Classes A & B (Type 1-D also available)",,"W.R. Meadows CC-309-1WS Water-Base, Resin-Base Concrete Curing Compound","Water-Base, Resin-Base Concrete Curing Compound"
283|19526,Curing Compounds|Concrete Cleaners and Sealers,W.R. Meadows CC-309-2WS,"Water-Base, Resin-Base Concrete Curing Compound",,E:\IMAGES\ITEMS\product\W\R\WR-Meadows-CC-309-2WS-Water-Base-Resin-Base-Concrete-Curing.jpg,W.R. Meadows,"CC-309-2WS Water-Base, Resin-Base Concrete Curing Compound - WR Meadows","FEATURES/BENEFITS When properly applied, provides a nearly impermeable film, which optimizes water retention. Protects by reflecting the sun's rays to keep the concrete surface cooler and prevent excessive heat build-up, which can cause thermal cracking. Produces hard, dense concrete … minimizes hair-checking, thermal cracking, dusting and other defects. Enhances the functional capabilities of concrete by ""sealing in"" the performance assets of strength and long-life. Offers a compressive strength significantly greater than improperly cured concrete. Increases tensile strength for greater resistance to cracking and surface crazing. Improves abrasion resistance and minimizes corrosive action of salts and chemicals … minimizes shrinkage. Applies quickly and easily with conventional, commercial spray equipment. VOC compliant.","USES CC-309-2WS is designed for application on exterior, horizontal surfaces, such as highways, airports and street and curb paving - the product provides excellent curing when protection from the sun's heat is desired. DESCRIPTION CC-309-2WS water-base, white-pigmented curing compound is a resin-base dispersion with selected white pigments. When properly applied, the product provides a nearly impermeable film, which optimizes water retention. The white pigment reflects the sun's rays to help kept the concrete surface cooler and help prevent excessive heat build-up. CC-309-2WS meets the maximum VOC content limit of 350 g/L for concrete curing compounds as required by the U.S. EPA Architectural Coatings Rule. PACKAGING 5 gallon (18.93 L) Pails 55 gallon (208.20 L) Drums 275 gallon (1040.99 L) Totes COVERAGE Approximately 200 ft²/gal. (4.91 m²/L) SPECIFICATIONS ASTM C 309, Type 2, Class B",,"W.R. Meadows CC-309-2WS Water-Base, Resin-Base Concrete Curing Compound","Water-Base, Resin-Base Concrete Curing Compound"
