category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
28080,Wire Brooms,WE-70215,"16"" Wire Broom w/ RD Wire",,E:\IMAGES\ITEMS\product\W\E\weiler-corp-we-70215-16-wire-broom-w-rd-wire.jpg,Weiler Corp,,,,,,"16"" Wire Broom w/ RD Wire"
19493,Sanding Hand Pads,30887,Abrasive Backing Pads-30887,,E:\IMAGES\ITEMS\product\3\0\weiler-corp-30887-abrasive-backing-pads-30887.png,Weiler Corp,,,,,"Item Dia. 7"" , Arbor Hole 5/8""-11 UNC , Hub Style , Max RPM , Std. Pack 1 , Item Description Vortec Pro 7"" Backing Pad for Resin Fiber Discs, 5/8""-11 UNC Nut",Abrasive Backing Pads-30887
19493,Sanding Hand Pads,36907,Abrasive Backing Pads-36907,,E:\IMAGES\ITEMS\product\3\6\weiler-corp-36907-abrasive-backing-pads-36907.png,Weiler Corp,,,,,"Item Dia. , Arbor Hole 1/4"" Stem , Hub Style , Max RPM , Std. Pack 5 , Item Description Vortec Pro Button-Style Disc Holder, 1/4"" Stem",Abrasive Backing Pads-36907
19493,Sanding Hand Pads,51550,Abrasive Backing Pads-51550,,E:\IMAGES\ITEMS\product\5\1\weiler-corp-51550-abrasive-backing-pads-51550.jpg,Weiler Corp,,,,,"Item Dia. 1-1/2"" , Arbor Hole 1/4"" Stem , Hub Style Plastic Button , Max RPM 30,000 , Std. Pack 1 , Item Description 1-1/2"" Back-up Pad for Plastic Button Style Surface Conditioning Disc",Abrasive Backing Pads-51550
19493,Sanding Hand Pads,51551,Abrasive Backing Pads-51551,,E:\IMAGES\ITEMS\product\5\1\weiler-corp-51551-abrasive-backing-pads-51551.jpg,Weiler Corp,,,,,"Item Dia. 2"" , Arbor Hole 1/4"" Stem , Hub Style Plastic Button , Max RPM 30,000 , Std. Pack 1 , Item Description 2"" Back-up Pad for Plastic Button Style Blending, AL-tra Cut and Surface Conditioning Discs",Abrasive Backing Pads-51551
19493,Sanding Hand Pads,51552,Abrasive Backing Pads-51552,,E:\IMAGES\ITEMS\product\5\1\weiler-corp-51552-abrasive-backing-pads-51552.jpg,Weiler Corp,,,,,"Item Dia. 3"" , Arbor Hole 1/4"" Stem , Hub Style Plastic Button , Max RPM 20,000 , Std. Pack 1 , Item Description 3"" Back-up Pad for Plastic Button Style Blending, AL-tra Cut and Surface Conditioning Discs",Abrasive Backing Pads-51552
19493,Sanding Hand Pads,51553,Abrasive Backing Pads-51553,,E:\IMAGES\ITEMS\product\5\1\weiler-corp-51553-abrasive-backing-pads-51553.jpg,Weiler Corp,,,,,"Item Dia. 4"" , Arbor Hole 1/4"" Stem , Hub Style Plastic Button , Max RPM 12,000 , Std. Pack 1 , Item Description 4"" Back-up Pad for Plastic Button Style Surface Conditioning Disc",Abrasive Backing Pads-51553
19493,Sanding Hand Pads,51561,Abrasive Backing Pads-51561,,E:\IMAGES\ITEMS\product\5\1\weiler-corp-51561-abrasive-backing-pads-51561.jpg,Weiler Corp,,,,,"Item Dia. 2"" , Arbor Hole 1/4"" Stem , Hub Style Hook and Loop , Max RPM 16,000 , Std. Pack 1 , Item Description 2"" Back-up Pad for Hook and Loop Surface Conditioning Disc, 1/4"" Stem",Abrasive Backing Pads-51561
19493,Sanding Hand Pads,51562,Abrasive Backing Pads-51562,,E:\IMAGES\ITEMS\product\5\1\weiler-corp-51562-abrasive-backing-pads-51562.jpg,Weiler Corp,,,,,"Item Dia. 3"" , Arbor Hole 1/4"" Stem , Hub Style Hook and Loop , Max RPM 18,000 , Std. Pack 1 , Item Description 3"" Back-up Pad for Hook and Loop Surface Conditioning Disc, 1/4"" Stem",Abrasive Backing Pads-51562
19493,Sanding Hand Pads,51563,Abrasive Backing Pads-51563,,E:\IMAGES\ITEMS\product\5\1\weiler-corp-51563-abrasive-backing-pads-51563.jpg,Weiler Corp,,,,,"Item Dia. 4"" , Arbor Hole 1/4"" Stem , Hub Style Hook and Loop , Max RPM 16,000 , Std. Pack 1 , Item Description 4"" Back-up Pad for Hook and Loop Surface Conditioning Disc, 1/4"" Stem",Abrasive Backing Pads-51563
