category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
237|25826,Leather Gloves|Leather Palm Gloves,9940KF Large,Large Pig Skin Drivers W/ Red,Select tough grain pigskin leather gloves provide durable hand protection for general work applications. keystone thumb construction. Red fleece lining. Shirred elastic wrist helps keep dirt and debris from entering the glove. Color coded cotton hem f,E:\IMAGES\ITEMS\product\9\9\9940KF-West-Chester-Marketing-Pig-Skin-Drivers-W.jpg,West Chester Protective Gear,,Features and Benefits: Select grain pigskin leather Red fleece lining Keystone thumb,"Select tough grain pigskin leather gloves provide durable hand protection for general work applications. keystone thumb construction. Red fleece lining. Shirred elastic wrist helps keep dirt and debris from entering the glove. Color coded cotton hem f  Applications: Construction, Masonry, Agriculture, Iron/Steel Work, Mining, Foundry Operations, Transportation, Electrical Contractors Available Sizes: Small, Medium, Large, XLarge",,Large Pig Skin Drivers W/ Red,Large Pig Skin Drivers W/ Red
237|27825,Leather Gloves|Cowhide Gloves,990B Large,Large Cowhide Drivers Glove,Striped canvas gloves with leather palm and fingers provide great protection and finger dexterity. Standard split cowhide leather with red/blue striped canvas back. Knit wrist helps keep dirt and debris out of the glove. 5-piece canvas back.,E:\IMAGES\ITEMS\product\9\9\990B-West-Chester-Marketing-Cowhide-Drivers.jpg,West Chester Protective Gear,,Features and Benefits: Durable shoulder split cowhide palm and fingers Knit wrist helps keep dirt and debris out Comfortable canvas back provides breathability and flexibility,"Striped canvas gloves with leather palm and fingers provide great protection and finger dexterity. Standard split cowhide leather with red/blue striped canvas back. Knit wrist helps keep dirt and debris out of the glove. 5-piece canvas back.  Applications: Construction, Masonry, Agriculture, Iron/Steel Work, Mining, Transportation, Electrical Contractors, Woodworking",,Large Cowhide Drivers Glove,Large Cowhide Drivers Glove
237|25826,Leather Gloves|Leather Palm Gloves,980 Large,Large Standard Split Drivers Glove,Durable split cowhide leather driver glove. Straight thumb construction is ideal for closed fisted work. Shirred elastic wrist helps keep dirt and debris out of the glove. Color coded cotton hem makes it easy to identify size.,E:\IMAGES\ITEMS\product\9\8\980-West-Chester-Marketing-Standard-Split-Drivers.jpg,West Chester Protective Gear,,Features and Benefits: Standard split leather Shirred elastic wrist helps keep dirt and debris out Color coded hem identifies glove size,"Durable split cowhide leather driver glove. Straight thumb construction is ideal for closed fisted work. Shirred elastic wrist helps keep dirt and debris out of the glove. Color coded cotton hem makes it easy to identify size.  Applications: Construction, Masonry, Agriculture, Iron/Steel Work, Mining, Foundry Operations, Transportation, Electrical Contractors Sizes Available: Small, Medium, Large, XLarge",,Large Standard Split Drivers Glove,Large Standard Split Drivers Glove
238|25827,Mechanic Gloves|Mechanics Gloves,86700 L,Large Titanium Pro Gloves,"3 X 2® has TPR neoprene hook and loop wrist, 4-way stretch spandex back, Parity™ synthetic leather palm, neoprene padded knuckles, terry cloth thumb, heavy duty lycra forchettes, Sure Grip PVC patched palm with foam padding, Sure Grip PVC reinforced thu",E:\IMAGES\ITEMS\product\8\6\86700-West-Chester-Marketing-Titanium-Pro.jpg,West Chester Protective Gear,,Features and Benefits: Sure grip™ reinforced thumb saddle Flexible 4-way stretch form-fitting spandex back Adjustable hook and loop™ neoprene wrist for the perfect fit and feel,"3 X 2® has TPR neoprene hook and loop wrist, 4-way stretch spandex back, Parity™ synthetic leather palm, neoprene padded knuckles, terry cloth thumb, heavy duty lycra forchettes, Sure Grip PVC patched palm with foam padding, Sure Grip PVC reinforced thumb saddle. Applications: Carpentry, roofing, assembly, wiring and framing  Sizes Available: All",,Large Titanium Pro Gloves,Large Titanium Pro Gloves
238|25827,Mechanic Gloves|Mechanics Gloves,86540,Marketing Titanium Brute Gloves,"BRUTE® has TPR Neoprene hook and loop Wrist on Back of Hand, 4-way Stretch Spandex Back, Parity™ Synthetic Leather Palm, Neoprene Padded Knuckles, Terry Cloth Thumb, Heavy Duty Lycra Forchettes, Sure Grip PVC Patched Palm with Foam Gel Padding, Sure Gri",E:\IMAGES\ITEMS\product\8\6\86540-West-Chester-Marketing-Titanium-Brute.jpg,West Chester Protective Gear,"BRUTE® has TPR Neoprene hook and loop Wrist on Back of Hand, 4-way Stretch Spandex Back, Parity™ Synthetic Leather Palm, Neoprene Padded Knuckles, Terry Cloth Thumb, Heavy Duty Lycra Forchettes, Sure Grip PVC Patched Palm with Foam Gel Padding, Sure Grip",Features and Benefits: TPR finger guards to protect against bumps and bruises Sure grip™ reinforced thumb saddle Flexible 4-way stretch form-fitting spandex back,"Applications: Rugged work, construction, demolition, plumbing/HVAC Available Sizes: Small, Medium, Large, XLarge, 2XLagre",,86540 West Chester Marketing Titanium Brute Gloves,Marketing Titanium Brute Gloves
238|25827,Mechanic Gloves|Mechanics Gloves,86150,Marketing Titanium Pro Job 1 Gloves,"JOB 1® has TPR hook and loop wrist on back of hand, One piece Parity™ synthetic leather palm, padded palm with double stitching, Lycra forchettes, 4-way stretch spandex back, reinforced Parity™ synthetic fingertips, Sure Grip Reinforcement in Thumb Sadd",E:\IMAGES\ITEMS\product\8\6\86150-West-Chester-Marketing-Titanium-Pro-Job-1.jpg,West Chester Protective Gear,"JOB 1® has TPR hook and loop wrist on back of hand, One piece Parity™ synthetic leather palm, padded palm with double stitching, Lycra forchettes, 4-way stretch spandex back, reinforced Parity™ synthetic fingertips, Sure Grip Reinforcement in Thumb Saddle",Features and Benefits:  Reinforced synthetic leather thumb saddle Flexible 4-way stretch form-fitting spandex back Adjustable hook and loop wrist for the perfect fit,"Applications: Finished carpentry, household projects, automotive repair, hand tools Available Sizes: Small, Medium, Large, XLarge, 2XLarge",,86150 West Chester Marketing Titanium Pro Job 1 Gloves,Marketing Titanium Pro Job 1 Gloves
421|25767,Rubber Boots|Plain-Toe PVC and Rubber Boots,8200 12,Size 12 Yellow Slush Boot,The Slush boot provides 100% waterproof protection Designed to fit easily over shoes or boots. Light to Heavy-duty applications.,E:\IMAGES\ITEMS\product\8\2\8200-West-Chester-Marketing-17-Yellow-Slush.jpg,West Chester Protective Gear,,"Features and Benefits: 17"" overshoe has a cross rib outer sole to reduce slippage. Netted lining for easy donning. Adjustable side strap to keep the elements out. Yellow with black sole.","The Slush boot provides 100% waterproof protection Designed to fit easily over shoes or boots. Light to Heavy-duty applications.  Applications: Construction, Road Work, Utilities, Environmental Cleanup, Remediation  Available Sizes: 9,10,11,12,13,14,15,16,17,18",,Size 12 Yellow Slush Boot,Size 12 Yellow Slush Boot
235|25825,Knit Gloves|Knit Gloves,708SKBS,Marketing Cotton String Knit Gloves W/ PVC Mini Dots,A comfortable medium weight cotton/polyester knit glove with PVC dots on one side provides general-duty protection and enhanced gripping ability,E:\IMAGES\ITEMS\product\7\0\708SKBS-West-Chester-Marketing-Cotton-String-Knit-Gloves-W.jpg,West Chester Protective Gear,A comfortable medium weight cotton/polyester knit glove with PVC dots on one side provides general-duty protection and enhanced gripping ability,"Features and Benefits: Natural white string knit PVC dots on both sides Knit wrist Applications: Manufacturing, General Labor, Material Handling, Shipping/Receiving, Agriculture",,,708SKBS West Chester Marketing Cotton String Knit Gloves W/ PVC Mini Dots,Marketing Cotton String Knit Gloves W/ PVC Mini Dots
2597|25945,Protective Suits|Rainsuits,4035 L,Large 3 Piece Yellow Rainsuit,This 3 piece rainsuit is constructed from .35mm PVC on polyester for light to medium applications. Loaded with features such as vented cape back and adjustable snap closures on wrist and ankles for a great fit and wide range of motion.,E:\IMAGES\ITEMS\product\4\0\4035-West-Chester-Marketing-35ml-PVC-over-Polyester-3pcs.jpg,West Chester Protective Gear,,"Features and Benefits: Jacket has a vented cape back for breathability, five-Snap front closure with storm flap to keep water out , two front patch pockets for storage and a corduroy collar for comfort. Removeable hood with drawstring. Overalls have adjustable suspenders and nonconductive/noncorrosive triangular buckles and studs for the perfect fit. Single Snap fly.  Applications: Construction, Road Work, Utilities, Survey Crews, Forestry","This 3 piece rainsuit is constructed from .35mm PVC on polyester for light to medium applications. Loaded with features such as vented cape back and adjustable snap closures on wrist and ankles for a great fit and wide range of motion.  Available Sizes: Small, Medium, Large,1x-7xLarge",,Large 3 Piece Yellow Rainsuit,Large 3 Piece Yellow Rainsuit
234|27824,Kevlar Gloves|Kevlar Gloves,35KDBS L,Large Kevlar® Gloves PVC-Dotted,"DuPont Kevlar® is a lightweight synthetic material and is five times stronger than steel, providing outstanding cut, slash and heat resistance. **Made in the USA",E:\IMAGES\ITEMS\product\3\5\35KDBS-West-Chester-Marketing-100-Kevlar-Gloves-PVC-Dotted.jpg,West Chester Protective Gear,,"Features and Benefits: 100% Kevlar® PVC dots on both sides Regular weight ANSI 3, 1176 g  Applications: Automotive, Glass Handling, Sheet Metal Work, Cutting Applications","DuPont Kevlar® is a lightweight synthetic material and is five times stronger than steel, providing outstanding cut, slash and heat resistance. **Made in the USA",,Large Kevlar® Gloves PVC-Dotted,Large Kevlar® Gloves PVC-Dotted
