category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
146|28040,Adhesives|Adhesive Caulks,WL21500,Construction Adhesive,,E:\IMAGES\ITEMS\product\W\L\WL21500-White-Lightning-Construction.jpg,White Lightning,,"Increases strength of flooring Reduces amount of nails/screws needed Reduces flooring squeaks and bounce Quick tack Bonds to most materials Superior aging characteristic Permanent flexibility Heavy-duty, all weather formulation Eliminates the conventional two-layer floor system",,,WL21500 White Lightning Construction Adhesive,Construction Adhesive
28040,Adhesive Caulks,WL30062,All Purpose White Adhesive Caulk,,E:\IMAGES\ITEMS\product\W\L\WL30062-White-Lightning-All-Purpose-White-Adhesive.jpg,White Lightning,,"40 Year durability Can be used in interior & exterior applications Applies a smooth, professional bead without gaps or air bubbles Maintains superior flexibility and elasticity Excellent color retention Cured caulk resists rust and mildew Can be painted or stained after curing Exceeds ASTM Spec. C-834",,,WL30062 White Lightning All Purpose White Adhesive Caulk,All Purpose White Adhesive Caulk
19521,Caulks and Sealants,WL09210,ALL PURP RTV-WHITE 10 OZ. WHITE-RTV SILICONE,,E:\IMAGES\ITEMS\product\W\L\white-lightning-wl09210-all-purp-rtv-white-10-oz-white-rtv-silicone.jpg,White Lightning,,Sale Unit: CARTRIDGEBrand: White LightningChemical Base: SiliconeMaterial Compatibility: Fiberglass; Glass; Masonry; Metal; Plastic; Vinyl; WoodColor: White,,,,ALL PURP RTV-WHITE 10 OZ. WHITE-RTV SILICONE
19521,Caulks and Sealants,WL09310,ALL PURPOSE SILICONE RTV 10 OZ. ALUMINUM,,E:\IMAGES\ITEMS\product\W\L\white-lightning-wl09310-all-purpose-silicone-rtv-10-oz-aluminum.jpg,White Lightning,,Excellent adhesion to non-porous materialsHighly permanently flexibleProvides a watertight sealUse for interior and exterior projectsWill not crack crumble or shrink,,,,ALL PURPOSE SILICONE RTV 10 OZ. ALUMINUM
19521,Caulks and Sealants,WL09410,ALL PURP RTV-BLACK 10 OZ. RUBBER-RTV SILICONE,,E:\IMAGES\ITEMS\product\W\L\white-lightning-wl09410-all-purp-rtv-black-10-oz-rubber-rtv-silicone.jpg,White Lightning,,Sale Unit: CARTRIDGEBrand: White LightningColor: WhiteChemical Base: SiliconeCure Time: 24 hr,,,,ALL PURP RTV-BLACK 10 OZ. RUBBER-RTV SILICONE
19521,Caulks and Sealants,WL09510,ALL PURP RTV-BRONZE 10 OZ. BRONZE-RUB SILICONE,,E:\IMAGES\ITEMS\product\W\L\white-lightning-wl09510-all-purp-rtv-bronze-10-oz-bronze-rub-silicone.jpg,White Lightning,,425-WL09510 Features: -Product Type:Silicone Sealants. Dimensions: -Overall Product Weight:0.82,,,,ALL PURP RTV-BRONZE 10 OZ. BRONZE-RUB SILICONE
19521,Caulks and Sealants,WL30010-0,PAINTERS ACRYL-WHITE 10 OZ. LATEX CAULK WHITE,,E:\IMAGES\ITEMS\product\W\L\white-lightning-wl30010-0-painters-acryl-white-10-oz-latex-caulk-white.jpg,White Lightning,,,*** (This item sold as a pack of 12) *** Painter's preferred acrylic latex caulk is fast drying. For interior/exterior use. Paintable and cleans up easily with water. 25 year durability. Packaged in new plastic tube.,,,PAINTERS ACRYL-WHITE 10 OZ. LATEX CAULK WHITE
19521,Caulks and Sealants,WL30067,ALL PURP ADHES-CLEAR 10 OZ. 3006 CAULK CLEAR,,E:\IMAGES\ITEMS\product\W\L\white-lightning-wl30067-all-purp-adhes-clear-10-oz-3006-caulk-clear.jpg,White Lightning,,"For use on interior and exterior doors and windows, baseboards, siding, tubs, sinks and showers.Provides a smooth, professional application with excellent flexibility and elasticity.Cured caulk is mildew and rust resistant.Ideal for filling joints and openings around doors, windows, baseboards, trim, siding and vents.Exceeds performance requirements of ASTM C-834.",,,,ALL PURP ADHES-CLEAR 10 OZ. 3006 CAULK CLEAR
28040,Adhesive Caulks,WL00610,ALL PURP ADHES-GRAY 10 OZ. 3006 CAULK GRAY SILICONIZED ACRYLIC LATEX,,E:\IMAGES\ITEMS\product\W\L\white-lightning-wl00610-all-purp-adhes-gray-10-oz-3006-caulk-gray-siliconized-acrylic-latex.jpg,White Lightning,,Sale Unit: CARTRIDGEBrand: White LightningSeries: 3006Chemical Base: Acrylic LatexMaterial Compatibility: Concrete; Drywall; Glass; Masonry; Metal; Wood,,,,ALL PURP ADHES-GRAY 10 OZ. 3006 CAULK GRAY SILICONIZED ACRYLIC LATEX
28040,Adhesive Caulks,WL01010,ALL PURP ADHES-ALMOND 10 OZ 3006 CAULK ALMOND,,E:\IMAGES\ITEMS\product\W\L\white-lightning-wl01010-all-purp-adhes-almond-10-oz-3006-caulk-almond.jpg,White Lightning,,Sale Unit: CARTRIDGEBrand: White LightningSeries: 3006Chemical Base: Acrylic LatexMaterial Compatibility: Concrete; Drywall; Glass; Masonry; Metal; Wood,,,,ALL PURP ADHES-ALMOND 10 OZ 3006 CAULK ALMOND
28040,Adhesive Caulks,WL09010,100% SILICON RUBBER RTV SILICONE-CLEAR 10 OZ CLEAR,,E:\IMAGES\ITEMS\product\W\L\white-lightning-wl09010-100-silicon-rubber-rtv-silicone-clear-10-oz-clear.jpg,White Lightning,,Sale Unit: CARTRIDGEBrand: White LightningChemical Base: SiliconeMaterial Compatibility: Glass; Rubber; WoodColor: Clear,,,,100% SILICON RUBBER RTV SILICONE-CLEAR 10 OZ CLEAR
