category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,705,Offset Benders,,E:\IMAGES\ITEMS\product\7\0\current-tools-705-offset-benders.jpg,Current Tools,,"Quick offset bends on EMT conduit Ideal for making consistent offset bends for wall mounted boxes Two models available for 1/2"" EMT or 3/4"" EMT conduit",,,"1/2"" EMT Offset Bender",Offset Benders
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,706,Offset Benders,,E:\IMAGES\ITEMS\product\7\0\current-tools-706-offset-benders.jpg,Current Tools,,"Quick offset bends on EMT conduit Ideal for making consistent offset bends for wall mounted boxes Two models available for 1/2"" EMT or 3/4"" EMT conduit",,,"3/4"" EMT Offset Bender",Offset Benders
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,750,Mechanical Bender - 750,,E:\IMAGES\ITEMS\product\7\5\current-tools-750-mechanical-bender-750.jpg,Current Tools,,"Bends 1/2"" to 1"" RIGID/IMC conduit Heavy Duty, all metal construction for durability Ratchet action for ease in bending Model 750 has TWEAKER™ feature to correct overbends of 3º or less",,,"1/2"" to 1"" Mechanical Bender for RIGID/IMC conduit",Mechanical Bender - 750
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,751,Mechanical Bender - 751,,E:\IMAGES\ITEMS\product\7\5\current-tools-751-mechanical-bender-751.jpg,Current Tools,,"Bends 1 1/4"" and 1 1/2"" RIGID/IMC conduit Heavy Duty, all metal construction for durability Ratchet action for ease in bending",,,"1 1/4"" to 1 1/2"" Mechanical Bender for RIGID/IMC conduit",Mechanical Bender - 751
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,77,77 Series Electric Bender,,E:\IMAGES\ITEMS\product\7\7\current-tools-77-77-series-electric-bender.jpg,Current Tools,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender Power Source only (no shoes),77 Series Electric Bender
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,77RIG,77 Series Electric Bender,,E:\IMAGES\ITEMS\product\7\7\current-tools-77rig-77-series-electric-bender.jpg,Current Tools,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender with No. 700R Rigid shoes & accessories,77 Series Electric Bender
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,77EMT,77 Series Electric Bender,,E:\IMAGES\ITEMS\product\7\7\current-tools-77emt-77-series-electric-bender.jpg,Current Tools,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender with No. 700E EMT shoes & accessories,77 Series Electric Bender
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,77IMC,77 Series Electric Bender,,E:\IMAGES\ITEMS\product\7\7\current-tools-77imc-77-series-electric-bender.jpg,Current Tools,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender with No. 700I IMC shoes & accessories,77 Series Electric Bender
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,77PVC,77 Series Electric Bender,,E:\IMAGES\ITEMS\product\7\7\current-tools-77pvc-77-series-electric-bender.jpg,Current Tools,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.",,,,Electric Bender with No. 700P 40 mil PVC coasted conduit bending shoes & accessories,77 Series Electric Bender
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,77COM,77 Series Electric Bender,,E:\IMAGES\ITEMS\product\7\7\current-tools-77com-77-series-electric-bender.jpg,Current Tools,"To bend 1/2"" thru 2"" EMT, IMC, Rigid and 40 mil PVC coated conduit.","Powerful motor will make 180° bends on up to 2"" rigid conduit Rugged and dependable electrical system Easy to maintain Handle pivots to allow for dogleg bends Shoes and roller support assemblies",,,"Electric Bender with No. 700E, No. 700I, & 700R shoes & accessories (EMT, IMC & Rigid)",77 Series Electric Bender
1186|27907,Conduit Benders|Electric Conduit Bender Accessories,2-1301,"700R 1/2"" - 2"" Rigid Shoe Group",,E:\IMAGES\ITEMS\product\2\1\current-tools-2-1301-700r-12-2-rigid-shoe-group.jpg,Current Tools,All shoes and roller supports will fit Greenlee® 555® Electric Bender*,,,,"Item Number: 1; Description: 1/2"" - 1-1/4"" Rigid and IMC bending shoe","700R 1/2"" - 2"" Rigid Shoe Group"
