category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24915,Plate Joiners,441001-B,"#0 Biscuits, 1,000/pk",,E:\IMAGES\ITEMS\product\4\4\makita-441001-b-0-biscuits-1000pk.jpg,Makita,"Makita Biscuits are premium quality for a full range of joinery applications. The Biscuits are constructed from compressed beechwood and feature finely-ground edges for improved fit. This is a 1,000 piece package and is made to the industry standard size for increased versatility.",,,,,"#0 Biscuits, 1,000/pk"
24915,Plate Joiners,441001-A,"#0 Biscuits, 100/pk",,E:\IMAGES\ITEMS\product\4\4\makita-441001-a-0-biscuits-100pk.jpg,Makita,Makita Biscuits are premium quality for a full range of joinery applications. The Biscuits are constructed from compressed beechwood and feature finely-ground edges for improved fit. This is a 100 piece package and is made to the industry standard size for increased versatility.,,,,,"#0 Biscuits, 100/pk"
24867,Screwdriver Bits,784315-A,"#1 Mak-Bite Professional Phillips Power Bit, 2""",,E:\IMAGES\ITEMS\product\7\8\makita-784315-a-1-mak-bite-professional-phillips-power-bit-2.jpg,Makita,"Makita Mak-Bite Professional Phillips Power Bit is made from durable steel and features and industrial design for long life. Features Anti-Camout Ribs (ACR) that securely grip the screw reducing slipping and stripping. Last up to 6x longer. The convenient 1/4"" hex shank allows for quick bit changes with Impact Drivers and Driver-Drills.",,,,,"#1 Mak-Bite Professional Phillips Power Bit, 2"""
24867,Screwdriver Bits,784212-0A,"#1 Phillips Insert Bit, 10/pk",,E:\IMAGES\ITEMS\product\7\8\makita-784212-0a-1-phillips-insert-bit-10pk.jpg,Makita,Makita Fastening Bits are designed to work with drills for fastening screws into a variety of materials. Each bit is manufactured from high quality steel for added durability. The bits feature precision tips for reduced stripping of screws and camming out.,,,,,"#1 Phillips Insert Bit, 10/pk"
24867,Screwdriver Bits,784212-0A-2,"#1 Phillips Insert Bit, 2/pk",,E:\IMAGES\ITEMS\product\7\8\makita-784212-0a-2-1-phillips-insert-bit-2pk.jpg,Makita,Makita Fastening Bits are designed to work with drills for fastening screws into a variety of materials. Each bit is manufactured from high quality steel for added durability. The bits feature precision tips for reduced stripping of screws and camming out.,,,,,"#1 Phillips Insert Bit, 2/pk"
24867,Screwdriver Bits,784610-A,"#1 Square Recess Bit, 6""",,E:\IMAGES\ITEMS\product\7\8\makita-784610-a-1-square-recess-bit-6.jpg,Makita,Makita Fastening Bits are designed to work with drills for fastening screws into a variety of materials. Each bit is manufactured from high quality steel for added durability. The bits feature precision tips for reduced stripping of screws and camming out.,,,,,"#1 Square Recess Bit, 6"""
24867,Screwdriver Bits,784216-A,#1 Square Recess Insert Bit,,E:\IMAGES\ITEMS\product\7\8\makita-784216-a-1-square-recess-insert-bit.jpg,Makita,Makita Square Recess Insert Bit feature durable steel construction and industrial design for long life. Designed to be used with bit holders. For use in a variety of fastening applications including deck building and framing.,,,,,#1 Square Recess Insert Bit
24867,Screwdriver Bits,784607-A,"#1 Square Recess Power Bit, 2-3/4""",,E:\IMAGES\ITEMS\product\7\8\makita-784607-a-1-square-recess-power-bit-2-34.jpg,Makita,"Makita Phillips Power Bit is made from durable steel and features and industrial design for long life. The convenient 1/4"" hex shank allows for quick bit changes with Impact Drivers and Driver-Drills. Designed to hold their shape under heavy loads.",,,,,"#1 Square Recess Power Bit, 2-3/4"""
24915,Plate Joiners,441002-B,"#10 Biscuits, 1,000/pk",,E:\IMAGES\ITEMS\product\4\4\makita-441002-b-10-biscuits-1000pk.jpg,Makita,"Makita Biscuits are premium quality for a full range of joinery applications. The Biscuits are constructed from compressed beechwood and feature finely-ground edges for improved fit. This is a 1,000 piece package and is made to the industry standard size for increased versatility.",,,,,"#10 Biscuits, 1,000/pk"
24915,Plate Joiners,441002-A,"#10 Biscuits, 100/pk",,E:\IMAGES\ITEMS\product\4\4\makita-441002-a-10-biscuits-100pk.jpg,Makita,Makita Biscuits are premium quality for a full range of joinery applications. The Biscuits are constructed from compressed beechwood and feature finely-ground edges for improved fit. This is a 100 piece package and is made to the industry standard size for increased versatility.,,,,,"#10 Biscuits, 100/pk"
24867,Screwdriver Bits,784647-5,"#2 (7-5/32"") Square Power Bit",,E:\IMAGES\ITEMS\product\7\8\makita-784647-5-2-7-532-square-power-bit.jpg,Makita,Makita Fastening Bits are designed to work with drills for fastening screws into a variety of materials. Each bit is manufactured from high quality steel for added durability. The bits feature precision tips for reduced stripping of screws and camming out.,,,,,"#2 (7-5/32"") Square Power Bit"
24867,Screwdriver Bits,784313-A-100,"#2 Mak-Bite Drywall Phillips Insert Bit, 1"", 100/pk, Cookie Jar",,E:\IMAGES\ITEMS\product\7\8\makita-784313-a-100-2-mak-bite-drywall-phillips-insert-bit-1-100pk-cookie-jar.jpg,Makita,Makita Fastening Bits are designed to work with drills for fastening screws into a variety of materials. Each bit is manufactured from high quality steel for added durability. The bits feature precision tips for reduced stripping of screws and camming out.,,,,,"#2 Mak-Bite Drywall Phillips Insert Bit, 1"", 100/pk, Cookie Jar"
24867,Screwdriver Bits,784312-A,"#2 Mak-Bite Professional Phillips Insert Bit, 1""",,E:\IMAGES\ITEMS\product\7\8\makita-784312-a-2-mak-bite-professional-phillips-insert-bit-1.jpg,Makita,Makita Mak-Bite Professional Phillips Insert Bit is made from durable steel and features and industrial design for long life. Features Anti-Camout Ribs (ACR) that securely grip the screw reducing slipping and stripping. The bit is designed to be used with bit holders and used in a variety of fastening applications including deck building and framing.,,,,,"#2 Mak-Bite Professional Phillips Insert Bit, 1"""
24867,Screwdriver Bits,784312-A-10,"#2 Mak-Bite Professional Phillips Insert Bit, 1"", 10/pk",,E:\IMAGES\ITEMS\product\7\8\makita-784312-a-10-2-mak-bite-professional-phillips-insert-bit-1-10pk.jpg,Makita,Makita Mak-Bite Professional Phillips Insert Bit is made from durable steel and features and industrial design for long life. Features Anti-Camout Ribs (ACR) that securely grip the screw reducing slipping and stripping. The bit is designed to be used with bit holders and used in a variety of fastening applications including deck building and framing.,,,,,"#2 Mak-Bite Professional Phillips Insert Bit, 1"", 10/pk"
24867,Screwdriver Bits,784312-A-250,"#2 Mak-Bite Professional Phillips Insert Bit, 1"", 250/pk, Cookie Jar",,E:\IMAGES\ITEMS\product\7\8\makita-784312-a-250-2-mak-bite-professional-phillips-insert-bit-1-250pk-cookie-jar.jpg,Makita,Makita Mak-Bite Professional Phillips Insert Bit is made from durable steel and features and industrial design for long life. Features Anti-Camout Ribs (ACR) that securely grip the screw reducing slipping and stripping. The bit is designed to be used with bit holders and used in a variety of fastening applications including deck building and framing.,,,,,"#2 Mak-Bite Professional Phillips Insert Bit, 1"", 250/pk, Cookie Jar"
24867,Screwdriver Bits,784312-A-50,"#2 Mak-Bite Professional Phillips Insert Bit, 1"", 50/pk",,E:\IMAGES\ITEMS\product\7\8\makita-784312-a-50-2-mak-bite-professional-phillips-insert-bit-1-50pk.jpg,Makita,Makita Mak-Bite Professional Phillips Insert Bit is made from durable steel and features and industrial design for long life. Features Anti-Camout Ribs (ACR) that securely grip the screw reducing slipping and stripping. The bit is designed to be used with bit holders and used in a variety of fastening applications including deck building and framing.,,,,,"#2 Mak-Bite Professional Phillips Insert Bit, 1"", 50/pk"
24867,Screwdriver Bits,784316-A,"#2 Mak-Bite Professional Phillips Power Bit, 2""",,E:\IMAGES\ITEMS\product\7\8\makita-784316-a-2-mak-bite-professional-phillips-power-bit-2.jpg,Makita,"Makita Mak-Bite Professional Phillips Power Bit is made from durable steel and features and industrial design for long life. Features Anti-Camout Ribs (ACR) that securely grip the screw reducing slipping and stripping. Last up to 6x longer. The convenient 1/4"" hex shank allows for quick bit changes with Impact Drivers and Driver-Drills.",,,,,"#2 Mak-Bite Professional Phillips Power Bit, 2"""
24867,Screwdriver Bits,784316-A-100,"#2 Mak-Bite Professional Phillips Power Bit, 2"", 100/pk, Cookie Jar",,E:\IMAGES\ITEMS\product\7\8\makita-784316-a-100-2-mak-bite-professional-phillips-power-bit-2-100pk-cookie-jar.jpg,Makita,"Makita Mak-Bite Professional Phillips Power Bit is made from durable steel and features and industrial design for long life. Features Anti-Camout Ribs (ACR) that securely grip the screw reducing slipping and stripping. Last up to 6x longer. The convenient 1/4"" hex shank allows for quick bit changes with Impact Drivers and Driver-Drills.",,,,,"#2 Mak-Bite Professional Phillips Power Bit, 2"", 100/pk, Cookie Jar"
24867,Screwdriver Bits,784203-1-2,"#2 Phillips Double Ended , 2-5/8"", 2/pk",,E:\IMAGES\ITEMS\product\7\8\makita-784203-1-2-2-phillips-double-ended-2-58-2pk.jpg,Makita,Makita Double Ended Bit features a convenience of a #2 Phillips Bit on both ends. Durable steel construction and industrial quality make for long life.  For use in a variety of fastening applications including deck building and framing.,,,,,"#2 Phillips Double Ended , 2-5/8"", 2/pk"
24867,Screwdriver Bits,784202-3,"#2 Phillips Double Ended Bit, 1-3/4""",,E:\IMAGES\ITEMS\product\7\8\makita-784202-3-2-phillips-double-ended-bit-1-34.jpg,Makita,Makita Double Ended Bit features a convenience of a #2 Phillips Bit on both ends. Durable steel construction and industrial quality make for long life. For use in a variety of fastening applications including deck building and framing.,,,,,"#2 Phillips Double Ended Bit, 1-3/4"""
24867,Screwdriver Bits,784202-3-2,"#2 Phillips Double Ended Bit, 1-3/4"", 2/pk",,E:\IMAGES\ITEMS\product\7\8\makita-784202-3-2-2-phillips-double-ended-bit-1-34-2pk.jpg,Makita,Makita Double Ended Bit features a convenience of a #2 Phillips Bit on both ends. Durable steel construction and industrial quality make for long life.  For use in a variety of fastening applications including deck building and framing.,,,,,"#2 Phillips Double Ended Bit, 1-3/4"", 2/pk"
24867,Screwdriver Bits,784203-1,"#2 Phillips Double Ended, 2-5/8""",,E:\IMAGES\ITEMS\product\7\8\makita-784203-1-2-phillips-double-ended-2-58.jpg,Makita,Makita Double Ended Bit features a convenience of a #2 Phillips Bit on both ends. Durable steel construction and industrial quality make for long life.  For use in a variety of fastening applications including deck building and framing.,,,,,"#2 Phillips Double Ended, 2-5/8"""
24867,Screwdriver Bits,784207-3,"#2 Phillips Double Ended, 5-7/8""",,E:\IMAGES\ITEMS\product\7\8\makita-784207-3-2-phillips-double-ended-5-78.jpg,Makita,Makita Double Ended Bit features a convenience of a #2 Phillips Bit on both ends. Durable steel construction and industrial quality make for long life.  For use in a variety of fastening applications including deck building and framing.,,,,,"#2 Phillips Double Ended, 5-7/8"""
24867,Screwdriver Bits,784211-B,"#2 Phillips Insert Bit, 1"", 10/pk",,E:\IMAGES\ITEMS\product\7\8\makita-784211-b-2-phillips-insert-bit-1-10pk.jpg,Makita,Makita #2 Phillips Insert Bits are engineered to perform optimally in the most demanding of applications. Each bit is manufactured from high grade steel for added durability and long life. The bits are ideal for most fastening applications including sheathing.,,,,,"#2 Phillips Insert Bit, 1"", 10/pk"
24867,Screwdriver Bits,784211-2A,"#2 Phillips Insert Bit, 10/pk",,E:\IMAGES\ITEMS\product\7\8\makita-784211-2a-2-phillips-insert-bit-10pk.jpg,Makita,Makita Fastening Bits are designed to work with drills for fastening screws into a variety of materials. Each bit is manufactured from high quality steel for added durability. The bits feature precision tips for reduced stripping of screws and camming out.,,,,,"#2 Phillips Insert Bit, 10/pk"
24867,Screwdriver Bits,784211-A-250,"#2 Phillips Insert Bit, 250/pk, Cookie Jar",,E:\IMAGES\ITEMS\product\7\8\makita-784211-a-250-2-phillips-insert-bit-250pk-cookie-jar.jpg,Makita,Makita Fastening Bits are designed to work with drills for fastening screws into a variety of materials. Each bit is manufactured from high quality steel for added durability. The bits feature precision tips for reduced stripping of screws and camming out.,,,,,"#2 Phillips Insert Bit, 250/pk, Cookie Jar"
24867,Screwdriver Bits,784233-2,#2 Phillips Power Bit,,/,Makita,Makita #2 Phillips Power Bit is designed for use with the Makita 6830 autofeed screwdriver and can also be used with drill/drivers and impact drivers. The bit is for use fastening screws to a variety of materials including wood. The high quality steel and precision manufacturing ensure longer life.,,,,,#2 Phillips Power Bit
