category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
21926,Sockets and Bits,410,8 piece Deep Socket Set,Weight: 2.96,E:\IMAGES\ITEMS\product\4\1\410-Wright-Tool-Company-8-piece-Deep-Socket.jpg,Wright Tool Company,Weight: 2.96,"Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.Forged and Machined for Best Fit and Unyielding StrengthPrecision Heat-Treated and Tempered for optimal Hardness,",,76799004109,"6 Point Deep Sockets, 1/2"" - 15/16""Width: 1.0 inchesHeight: 3.5 inchesLength: 10.0 inches",8 piece Deep Socket Set
21939,Sockets,4524,6 Piece Chrome Deep Socket Set,"Size: 3/4"" Weight: 0.34 Nom Size: 3/4"" Shape: II L: 3-3/64"" Ds: 1-5/64"" Dd: - Bd: 2-21/64""",E:\IMAGES\ITEMS\product\4\5\4524-Wright-Tool-Company-6-Piece-Chrome-Deep-Socket.gif,Wright Tool Company,"Size: 3/4"" Weight: 0.34 Nom Size: 3/4"" Shape: II L: 3-3/64"" Ds: 1-5/64"" Dd: - Bd: 2-21/64""","Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.Forged and Machined for Best Fit and Unyielding StrengthPrecision Heat-Treated and Tempered for optimal Hardness,",,76799045249,"3/4""Width: 1.06 inchesHeight: 3.05 inchesLength: 1.06 inches",6 Piece Chrome Deep Socket Set
21939,Sockets,4530,"15/16"" - 1/2"" Deep Chrome Socket Set","Size: 15/16"" Weight: 0.54 Nom. Size: 15/16"" Shape: II L: 3-3/64"" Ds: 1-19/64"" Dd: - Bd: 2-17/64""",E:\IMAGES\ITEMS\product\4\5\4530-Wright-Tool-Company-1516-12-Deep-Chrome-Socket.gif,Wright Tool Company,"Size: 15/16"" Weight: 0.54 Nom. Size: 15/16"" Shape: II L: 3-3/64"" Ds: 1-19/64"" Dd: - Bd: 2-17/64""","Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.Forged and Machined for Best Fit and Unyielding StrengthPrecision Heat-Treated and Tempered for optimal Hardness,",,76799045300,"15/16""Width: 1.28 inchesHeight: 3.05 inchesLength: 1.28 inches","15/16"" - 1/2"" Deep Chrome Socket Set"
21926,Sockets and Bits,328,"3/8"" 13 Piece Socket Set","Set Includes: 3/8"" 7/16"" 1/2"" 9/16"" 5/8"" 11/16"" 3/4"" 13/16"" 7/8"" Ratchet 5"" Extension Flex Handle Universal M",E:\IMAGES\ITEMS\product\3\2\328-Wright-Tool-Company-38-13-Piece-Socket.jpg,Wright Tool Company,"Set Includes: 3/8"" 7/16"" 1/2"" 9/16"" 5/8"" 11/16"" 3/4"" 13/16"" 7/8"" Ratchet 5"" Extension Flex Handle Universal Metal Box","Patented Wright Drive® distributes contact over a larger surface area for greater gripping power and strength.Forged and Machined for Best Fit and Unyielding StrengthPrecision Heat-Treated and Tempered for optimal Hardness,",,76799003287,"12 Point Standard Sockets, 3/8"" - 7/8"", Ratchet, 6"" ExtensionWidth: 4.25 inchesHeight: 1.5 inchesLength: 8.13 inches","3/8"" 13 Piece Socket Set"
1182|21939,Sockets|Sockets,A41,Wright Tool Company,"1/2"" DR 16 PC STD SOCKET SET 12 PT - 7/16"" - 1-1/4""",E:\IMAGES\ITEMS\product\A\4\A41-Wright-Tool.jpg,Wright Tool Company,"1/2"" DR 16 PC STD SOCKET SET 12 PT - 7/16"" - 1-1/4""",,,,A41 Wright Tool Company,Wright Tool Company
27973,Crowfoot Wrenches,10-10MM,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-10-10mm-.jpg,Wright Tool Company,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725202,10mmWidth: 1.19 inchesHeight: 0.78 inchesLength: 0.2 inches,
27973,Crowfoot Wrenches,10-11MM,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-10-10mm-- 1.jpg,Wright Tool Company,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725219,11mmWidth: 1.27 inchesHeight: 0.88 inchesLength: 0.2 inches,
27973,Crowfoot Wrenches,10-12MM,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-10-10mm-- 1.jpg,Wright Tool Company,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725226,12mmWidth: 1.38 inchesHeight: 0.97 inchesLength: 0.25 inches,
27973,Crowfoot Wrenches,10-13MM,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-10-10mm-- 1.jpg,Wright Tool Company,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725233,13mmWidth: 1.38 inchesHeight: 0.97 inchesLength: 0.025 inches,
27973,Crowfoot Wrenches,10-14MM,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-10-14mm-.jpg,Wright Tool Company,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725240,14mmWidth: 1.34 inchesHeight: 1.16 inchesLength: 0.25 inches,
27973,Crowfoot Wrenches,10-15MM,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-10-10mm-- 1.jpg,Wright Tool Company,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725257,15mmWidth: 1.53 inchesHeight: 1.16 inchesLength: 0.28 inches,
27973,Crowfoot Wrenches,10-16MM,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-10-10mm-- 1.jpg,Wright Tool Company,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725264,16mmWidth: 1.63 inchesHeight: 1.25 inchesLength: 0.33 inches,
27973,Crowfoot Wrenches,10-17MM,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-10-10mm-- 1.jpg,Wright Tool Company,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725271,17mmWidth: 1.69 inchesHeight: 1.39 inchesLength: 0.33 inches,
27973,Crowfoot Wrenches,10-19MM,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-10-10mm-- 1.jpg,Wright Tool Company,,Open end fits into tight spacesProvides right angle access to fastenersMade from alloy steel for strength & durabilityPolished Chrome-Plated FinishDesigned & Engineered in USA,,76799725295,19mmWidth: 1.78 inchesHeight: 1.56 inchesLength: 0.34 inches,
21989,Flare Nut Wrenches,1040,,,E:\IMAGES\ITEMS\product\1\0\wright-tool-company-1040-.jpg,Wright Tool Company,,"Designed for superior performance in an application where tubing is present. Forged and Machined for Best Fit and Unyielding StrengthPrecision Heat-Treated and tempered for optimal hardness, ductility and durability",,76799715296,"3/8""Width: 5.22 inchesHeight: 0.41 inchesLength: 0.41 inches",
