Image_x,Product Name,Quick Overview,Details,48WS.com URL,Category,SKU #,Manufacturer_URL,Weight,Manufacturer,Description,Group Name,Info/Size/Color,UPC
A6D.jpg,A6D100R,"A6D 100 Amp, 600V, Class RK1, Ferraz A6D100R, A6D 100A | aka: Mersen A6D100R, Ferraz Shawmut A6D100R, UPC: 782001992118","<div>
<p>A6D 100 Amp, 600V, Class RK1, Ferraz A6D100R, A6D 100A | aka: Mersen A6D100R, Ferraz Shawmut A6D100R, UPC: 782001992118</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>100 Amps, 600 Volts AC</li><li>UL Class RK1 Fuse</li><li>Time Delay</li><li>Smart Spot</li><li>Physical Size: 1 5/16"" x 7 7/8""</li><li>AC Voltage Rating: 600</li><li>DC Voltage Rating: 600</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>Recommended for Arc Flash Energy Reduction</li><li>Rejection Style Design Prevents Replacement Errors</li><li>UL Listed to Standard 248-12; UL File E2137</li><li>DC Listed to UL Standard 248</li><li>CSA Certified to Standard C22.2 No. 248.12</li><li><br/></li><li><b>Related Products:</b></li><br/><li><b>Fuse Blocks</b></li><li>Box Lugs (Al/Cu 2/0-#6)</li><li>1 Pole: 61036R 3 Pole: 61038R</li><li>Box Lugs (Cu 2/0-#12)</li><li>3 Pole: 61008R</li><br/><li><b>Fuse Reducers</b></li><li>200 Amp to 100 Amp: R212</li><li>400 Amp to 100 Amp: R412</li><li>600 Amp to 100 Amp: R612</li></ul></div></div>
</div>",,19917,A6D100R,,,Allfuses.com,A6D 100 Amp 600V Class RK1 Fuse,,,
A6D.jpg,A6D200R,"A6D 200 Amp, 600V, Class RK1, Ferraz A6D200R, A6D 200A | aka: Mersen A6D200R, Ferraz Shawmut A6D200R, UPC: 782001992187","<div>
<p>A6D 200 Amp, 600V, Class RK1, Ferraz A6D200R, A6D 200A | aka: Mersen A6D200R, Ferraz Shawmut A6D200R, UPC: 782001992187</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>200 Amps, 600 Volts AC</li><li>UL Class RK1 Fuse</li><li>Time Delay</li><li>Smart Spot</li><li>Physical Size: 1 13/16"" x 9 5/8""</li><li>AC Voltage Rating: 600</li><li>DC Voltage Rating: 600</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>Recommended for Arc Flash Energy Reduction</li><li>Rejection Style Design Prevents Replacement Errors</li><li>UL Listed to Standard 248-12; UL File E2137</li><li>DC Listed to UL Standard 248</li><li>CSA Certified to Standard C22.2 No. 248.12</li><li><br/></li><li><b>Related Products:</b></li><br/><li><b>Fuse Blocks</b></li><li>Box Side Clip (Al/Cu 350kcmil-#6)</li><li>1 Pole: 62001R 3 Pole: 62003R</li><li>Box Side Clip (Cu 350kcmil-#6)</li><li>3 Pole: 62053R</li><br/><li><b>Fuse Reducers</b></li><li>400 Amp to 200 Amp: R422</li><li>600 Amp to 200 Amp: R622</li></ul></div></div>
</div>",,19917,A6D200R,,,Allfuses.com,,,,
A70QS100-4.jpg,A70QS100-4,"A70QS 100 Amp, 700V, Semiconductor, Ferraz A70QS100-4, A70QS 100A | aka: Mersen A70QS100-4, Ferraz Shawmut A70QS100-4, UPC: 782001948672","<div>
<p>A70QS 100 Amp, 700V, Semiconductor, Ferraz A70QS100-4, A70QS 100A | aka: Mersen A70QS100-4, Ferraz Shawmut A70QS100-4, UPC: 782001948672</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>100 Amps, 700 Volts AC / DC</li><li>Semiconductor Fuse</li><li>Extremely Fast Acting</li><li>Current Limiting</li><li>Equivalent to Buss FWP Style</li><li>Physical Size: 1"" x 4.38""</li><li>AC Voltage Rating: 700</li><li>DC Voltage Rating: 700</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>Very Low I²t For Improved Protection of Equipment</li><li>Superior Cycling Ability, Low Watts Loss</li><li>UL Recognized Component, AC/DC UL file E60314</li><li>AC: Guide No. JFHR2</li><li>DC Tested to UL Standard 198L Parameters (35-800A)</li><li>CSA Certified File LR 12636</li><br/><br/><li><b>Related Products:</b></li><br/><li><b>Fuse Block</b></li><li>Stud Mount (1 Pole): P243C</li></ul></div><br/></div>
</div>",,19917,A70QS100-4,,,Allfuses.com,,,,
A70QS100-4.jpg,A70QS125-4,"A70QS 125 Amp, 700V, Semiconductor, Ferraz A70QS125-4, A70QS 125A | aka: Mersen A70QS125-4, Ferraz Shawmut A70QS125-4, UPC: 782001948689","<div>
<p>A70QS 125 Amp, 700V, Semiconductor, Ferraz A70QS125-4, A70QS 125A | aka: Mersen A70QS125-4, Ferraz Shawmut A70QS125-4, UPC: 782001948689</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>125 Amps, 700 Volts AC / DC</li><li>Semiconductor Fuse</li><li>Extremely Fast Acting</li><li>Current Limiting</li><li>Equivalent to Buss FWP Style</li><li>Physical Size: 1.22"" x 4.38""</li><li>AC Voltage Rating: 700</li><li>DC Voltage Rating: 700</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>Very Low I²t For Improved Protection of Equipment</li><li>Superior Cycling Ability, Low Watts Loss</li><li>UL Recognized Component, AC/DC UL file E60314</li><li>AC: Guide No. JFHR2</li><li>DC Tested to UL Standard 198L Parameters (35-800A)</li><li>CSA Certified File LR 12636</li><br/><br/><li><b>Related Products:</b></li><br/><li><b>Fuse Block</b></li><li>Stud Mount (1 Pole): P243C</li></ul></div><br/></div>
</div>",,19917,A70QS125-4,,,Allfuses.com,,,,
AJT15.jpg,AJT15,"AJT 15 Amp, 600V, Class J, Ferraz AJT15, AJT 15A | aka: Mersen AJT15, Ferraz Shawmut AJT15, UPC: 782001962470","<div>
<p>AJT 15 Amp, 600V, Class J, Ferraz AJT15, AJT 15A | aka: Mersen AJT15, Ferraz Shawmut AJT15, UPC: 782001962470</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>*Can also ship as newest equivalent version with -N part number suffix*</li><li>Ferraz/Mersen AJT15, AJT 15 Amp, 600V, Class J, AJT 15A, Time Delay | aka: Mersen AJT15, Ferraz Shawmut AJT15, UPC:  782001962470</li><li>15 Amps, 600 Volts AC</li><li>UL Class J Fuse</li><li>Time Delay for Motor Starting and Transformer Inrush</li><li>Solid State SmartSpot Visual Blown Fuse Indicator</li><li>Extremely Current Limiting</li><li>Most Current Limiting UL Class Fuse</li><li>Recommended for Arc Flash Energy Reduction</li><li>Physical Size: 13/16"" x 2 1/4""</li><li>Metal Embossed Date and Catalog Number for Lasting Identification</li><li>AC Voltage Rating: 600</li><li>DC Voltage Rating: 500</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>UL Listed to Standard 248-8 File E2137</li><li>DC Listed to UL Standard 248</li><li>CSA Certified to Standard C22.2 No. 248.8</li><li>IEC 269-2-1</li><li><br/></li><li><b>Related Products:</b></li><br/><li><b>Ultrasafe Fuse Holders</b></li><li>1 Pole: US3J1; 1 Pole with Indicator:US3J1I</li><li>2 Pole: US3J2; 2 Pole with Indicator:US3J2I</li><li>3 Pole: US3J3; 3 Pole with Indicator:US3J3I</li><br/><li><b>Fuse Blocks</b></li><li>Non-Spring Reinforced, Box Lugs (Al/Cu #2-14)</li><li>1 Pole: 60301J 3 Pole: 60303J</li><li>Spring Reinforced, Box Lugs (Al/Cu #2-14)</li><li>Adder: 60305SJ 1 Pole: 60306SJ 2 Pole: 60307SJ 3 Pole: 60308SJ</li><li>Non-Spring Reinforced, Screw (Cu #4-14)</li><li>3 Pole: 60313J</li><li>Non-Spring Reinforced, Pressure Plate (Cu #4-14)</li><li>3 Pole: 60323J</li><li>Spring Reinforced, Pressure Plate (Cu #4-14)</li><li>3 Pole: 60328SJ</li><li>Spring Reinforced, Box Lugs (Cu #4-14)</li><li>3 Pole: 60358SJ</li><br/><li><b>Fuse Reducers</b></li><li>200 Amp to 30 Amp: J236</li><li>100 Amp to 30 Amp: J136</li><li>60 Amp to 30 Amp: J636</li></ul></div></div>
</div>",,19917,AJT15,,,Allfuses.com,"AJT 15 Amp, 600V, Class J",,,
AJT15.jpg,AJT150,"AJT 150 Amp, 600V, Class J, Ferraz AJT150, AJT 150A | aka: Mersen AJT150, Ferraz Shawmut AJT150, UPC: 782001962593","<div>
<p>AJT 150 Amp, 600V, Class J, Ferraz AJT150, AJT 150A | aka: Mersen AJT150, Ferraz Shawmut AJT150, UPC: 782001962593</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>*Can also ship as newest equivalent version with -N part number suffix*</li><li>Ferraz/Mersen AJT150, AJT 150 Amp, 600V, Class J, AJT 150A, Time Delay | aka: Mersen AJT150, Ferraz Shawmut AJT150, UPC:  782001962593</li><li>150 Amps, 600 Volts AC</li><li>UL Class J Fuse</li><li>Time Delay for Motor Starting and Transformer Inrush</li><li>Solid State SmartSpot Visual Blown Fuse Indicator</li><li>Extremely Current Limiting</li><li>Most Current Limiting UL Class Fuse</li><li>Recommended for Arc Flash Energy Reduction</li><li>Physical Size: 1 5/8"" x 5 3/4""</li><li>Metal Embossed Date and Catalog Number for Lasting Identification</li><li>AC Voltage Rating: 600</li><li>DC Voltage Rating: 500</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>UL Listed to Standard 248-8 File E2137</li><li>DC Listed to UL Standard 248</li><li>CSA Certified to Standard C22.2 No. 248.8</li><li>IEC 269-2-1</li><li><br/></li><li><b>Related Products:</b></li><br/><li><b>Fuse Blocks</b></li><li>Spring Reinforced, Box Side Clip (Al/Cu 350kcmil-#6)</li><li>1 Pole: 62001J 3 Pole: 62003J</li><li>Spring Reinforced, Box Side Clip (Cu 350kcmil-#6)</li><li>3 Pole: 62053J</li><br/><li><b>Fuse Reducers</b></li><li>600 Amp to 200 Amp: J626</li><li>400 Amp to 200 Amp: J426</li></ul></div></div>
</div>",,19917,AJT150,,,Allfuses.com,,,,
AJT15.jpg,AJT175,"AJT 175 Amp, 600V, Class J, Ferraz AJT175, AJT 175A | aka: Mersen AJT175, Ferraz Shawmut AJT175, UPC: 782001962579","<div>
<p>AJT 175 Amp, 600V, Class J, Ferraz AJT175, AJT 175A | aka: Mersen AJT175, Ferraz Shawmut AJT175, UPC: 782001962579</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>*Can also ship as newest equivalent version with -N part number suffix*</li><li>Ferraz/Mersen AJT175, AJT 175 Amp, 600V, Class J, AJT 175A, Time Delay | aka: Mersen AJT175, Ferraz Shawmut AJT175, UPC:  782001962579</li><li>175 Amps, 600 Volts AC</li><li>UL Class J Fuse</li><li>Time Delay for Motor Starting and Transformer Inrush</li><li>Solid State SmartSpot Visual Blown Fuse Indicator</li><li>Extremely Current Limiting</li><li>Most Current Limiting UL Class Fuse</li><li>Recommended for Arc Flash Energy Reduction</li><li>Physical Size: 1 5/8"" x 5 3/4""</li><li>Metal Embossed Date and Catalog Number for Lasting Identification</li><li>AC Voltage Rating: 600</li><li>DC Voltage Rating: 500</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>UL Listed to Standard 248-8 File E2137</li><li>DC Listed to UL Standard 248</li><li>CSA Certified to Standard C22.2 No. 248.8</li><li>IEC 269-2-1</li><li><br/></li><li><b>Related Products:</b></li><br/><li><b>Fuse Blocks</b></li><li>Spring Reinforced, Box Side Clip (Al/Cu 350kcmil-#6)</li><li>1 Pole: 62001J 3 Pole: 62003J</li><li>Spring Reinforced, Box Side Clip (Cu 350kcmil-#6)</li><li>3 Pole: 62053J</li><br/><li><b>Fuse Reducers</b></li><li>600 Amp to 200 Amp: J626</li><li>400 Amp to 200 Amp: J426</li></ul></div></div>
</div>",,19917,AJT175,,,Allfuses.com,"AJT 175 Amp, 600V, Class J",,,
AJT15.jpg,AJT20,"AJT 20 Amp, 600V, Class J, Ferraz AJT20, AJT 20A | aka: Mersen AJT20, Ferraz Shawmut AJT20, UPC: 782001962449","<div>
<p>AJT 20 Amp, 600V, Class J, Ferraz AJT20, AJT 20A | aka: Mersen AJT20, Ferraz Shawmut AJT20, UPC: 782001962449</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>*Can also ship as newest equivalent version with -N part number suffix*</li><li>Ferraz/Mersen AJT20, AJT 20 Amp, 600V, Class J, AJT 20A, Time Delay | aka: Mersen AJT20, Ferraz Shawmut AJT20, UPC:  782001962449</li><li>20 Amps, 600 Volts AC</li><li>UL Class J Fuse</li><li>Time Delay for Motor Starting and Transformer Inrush</li><li>Solid State SmartSpot Visual Blown Fuse Indicator</li><li>Extremely Current Limiting</li><li>Most Current Limiting UL Class Fuse</li><li>Recommended for Arc Flash Energy Reduction</li><li>Physical Size: 13/16"" x 2 1/4""</li><li>Metal Embossed Date and Catalog Number for Lasting Identification</li><li>AC Voltage Rating: 600</li><li>DC Voltage Rating: 500</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>UL Listed to Standard 248-8 File E2137</li><li>DC Listed to UL Standard 248</li><li>CSA Certified to Standard C22.2 No. 248.8</li><li>IEC 269-2-1</li><li><br/></li><li><b>Related Products:</b></li><br/><li><b>Ultrasafe Fuse Holders</b></li><li>1 Pole: US3J1; 1 Pole with Indicator:US3J1I</li><li>2 Pole: US3J2; 2 Pole with Indicator:US3J2I</li><li>3 Pole: US3J3; 3 Pole with Indicator:US3J3I</li><br/><li><b>Fuse Blocks</b></li><li>Non-Spring Reinforced, Box Lugs (Al/Cu #2-14)</li><li>1 Pole: 60301J 3 Pole: 60303J</li><li>Spring Reinforced, Box Lugs (Al/Cu #2-14)</li><li>Adder: 60305SJ 1 Pole: 60306SJ 2 Pole: 60307SJ 3 Pole: 60308SJ</li><li>Non-Spring Reinforced, Screw (Cu #4-14)</li><li>3 Pole: 60313J</li><li>Non-Spring Reinforced, Pressure Plate (Cu #4-14)</li><li>3 Pole: 60323J</li><li>Spring Reinforced, Pressure Plate (Cu #4-14)</li><li>3 Pole: 60328SJ</li><li>Spring Reinforced, Box Lugs (Cu #4-14)</li><li>3 Pole: 60358SJ</li><br/><li><b>Fuse Reducers</b></li><li>200 Amp to 30 Amp: J236</li><li>100 Amp to 30 Amp: J136</li><li>60 Amp to 30 Amp: J636</li></ul></div></div>
</div>",,19917,AJT20,,,Allfuses.com,"AJT 20 Amp, 600V, Class J",,,
AJT15.jpg,AJT200,"AJT 200 Amp, 600V, Class J, Ferraz AJT200, AJT 200A | aka: Mersen AJT200, Ferraz Shawmut AJT200, UPC: 782001962494","<div>
<p>AJT 200 Amp, 600V, Class J, Ferraz AJT200, AJT 200A | aka: Mersen AJT200, Ferraz Shawmut AJT200, UPC: 782001962494</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>*Can also ship as newest equivalent version with -N part number suffix*</li><li>Ferraz/Mersen AJT200, AJT 200 Amp, 600V, Class J, AJT 200A, Time Delay | aka: Mersen AJT200, Ferraz Shawmut AJT200, UPC:  782001962494</li><li>200 Amps, 600 Volts AC</li><li>UL Class J Fuse</li><li>Time Delay for Motor Starting and Transformer Inrush</li><li>Solid State SmartSpot Visual Blown Fuse Indicator</li><li>Extremely Current Limiting</li><li>Most Current Limiting UL Class Fuse</li><li>Recommended for Arc Flash Energy Reduction</li><li>Physical Size: 1 5/8"" x 5 3/4""</li><li>Metal Embossed Date and Catalog Number for Lasting Identification</li><li>AC Voltage Rating: 600</li><li>DC Voltage Rating: 500</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>UL Listed to Standard 248-8 File E2137</li><li>DC Listed to UL Standard 248</li><li>CSA Certified to Standard C22.2 No. 248.8</li><li>IEC 269-2-1</li><li><br/></li><li><b>Related Products:</b></li><br/><li><b>Fuse Blocks</b></li><li>Spring Reinforced, Box Side Clip (Al/Cu 350kcmil-#6)</li><li>1 Pole: 62001J 3 Pole: 62003J</li><li>Spring Reinforced, Box Side Clip (Cu 350kcmil-#6)</li><li>3 Pole: 62053J</li><br/><li><b>Fuse Reducers</b></li><li>600 Amp to 200 Amp: J626</li><li>400 Amp to 200 Amp: J426</li></ul></div></div>
</div>",,19917,AJT200,,,Allfuses.com,,,,
AJT15.jpg,AJT30,"AJT 30 Amp, 600V, Class J, Ferraz AJT30, AJT 30A | aka: Mersen AJT30, Ferraz Shawmut AJT30, UPC: 782001962401","<div>
<p>AJT 30 Amp, 600V, Class J, Ferraz AJT30, AJT 30A | aka: Mersen AJT30, Ferraz Shawmut AJT30, UPC: 782001962401</p><hr/>
<div><div><p><b>Description:</b></p><ul ><li>*Can also ship as newest equivalent version with -N part number suffix*</li><li>Ferraz/Mersen AJT30, AJT 30 Amp, 600V, Class J, AJT 30A, Time Delay | aka: Mersen AJT30, Ferraz Shawmut AJT30, UPC:  782001962401</li><li>30 Amps, 600 Volts AC</li><li>UL Class J Fuse</li><li>Time Delay for Motor Starting and Transformer Inrush</li><li>Solid State SmartSpot Visual Blown Fuse Indicator</li><li>Extremely Current Limiting</li><li>Most Current Limiting UL Class Fuse</li><li>Recommended for Arc Flash Energy Reduction</li><li>Physical Size: 13/16"" x 2 1/4""</li><li>Metal Embossed Date and Catalog Number for Lasting Identification</li><li>AC Voltage Rating: 600</li><li>DC Voltage Rating: 500</li><li>AC Interrupting Rating: 200,000 AIC</li><li>DC Interrupting Rating: 100,000 AIC</li><li>UL Listed to Standard 248-8 File E2137</li><li>DC Listed to UL Standard 248</li><li>CSA Certified to Standard C22.2 No. 248.8</li><li>IEC 269-2-1</li><li><br/></li><li><b>Related Products:</b></li><br/><li><b>Ultrasafe Fuse Holders</b></li><li>1 Pole: US3J1; 1 Pole with Indicator:US3J1I</li><li>2 Pole: US3J2; 2 Pole with Indicator:US3J2I</li><li>3 Pole: US3J3; 3 Pole with Indicator:US3J3I</li><br/><li><b>Fuse Blocks</b></li><li>Non-Spring Reinforced, Box Lugs (Al/Cu #2-14)</li><li>1 Pole: 60301J 3 Pole: 60303J</li><li>Spring Reinforced, Box Lugs (Al/Cu #2-14)</li><li>Adder: 60305SJ 1 Pole: 60306SJ 2 Pole: 60307SJ 3 Pole: 60308SJ</li><li>Non-Spring Reinforced, Screw (Cu #4-14)</li><li>3 Pole: 60313J</li><li>Non-Spring Reinforced, Pressure Plate (Cu #4-14)</li><li>3 Pole: 60323J</li><li>Spring Reinforced, Pressure Plate (Cu #4-14)</li><li>3 Pole: 60328SJ</li><li>Spring Reinforced, Box Lugs (Cu #4-14)</li><li>3 Pole: 60358SJ</li><br/><li><b>Fuse Reducers</b></li><li>200 Amp to 30 Amp: J236</li><li>100 Amp to 30 Amp: J136</li><li>60 Amp to 30 Amp: J636</li></ul></div></div>
</div>",,19917,AJT30,,,Allfuses.com,AJT 30 Amp 600V Class J,,,
