SKU,Image,Quick Overview,Details
DWTHSHEX91612,DWTHSHEX.jpg,"<div class=""productView-description-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<p>9/16""-12 HSS Hex Die. Carbon Steel Hex Dies are for dressing over brusied or rusty threads, they are the most cost effective rethreading tool available. No special holder is required for this type of die, any wrench large enough will suffice. Ideal for maintenance in the shop or field.</p> <p style=""text-align: center;""><!-- mceItemMediaService_youtube:{&quot;id&quot;:&quot;xDzIjEVZhZY&quot;,&quot;width&quot;:440,&quot;height&quot;:330} --><!-- do not directly edit this HTML, it will be overwritten by the mediaservice plugin --><iframe allowfullscreen="""" frameborder=""0"" height=""330"" src=""//www.youtube.com/embed/xDzIjEVZhZY?fs=1"" width=""440""></iframe><!-- /mceItemMediaService --></p>
<!-- snippet location product_description -->
</div>","<div class=""productView-addition-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<table class=""productView-addition-table table"">
<tbody class=""table-tbody"">
<tr>
<td><div class=""productView-info-name productView-info-name--cfSize"">Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfSize"">9/16""-12</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfMaterial"">Material:</div></td>
<td><div class=""productView-info-value productView-info-value--cfMaterial"">High Speed Steel</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfFinish"">Finish:</div></td>
<td><div class=""productView-info-value productView-info-value--cfFinish"">Uncoated (Bright)</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfStyle"">Style:</div></td>
<td><div class=""productView-info-value productView-info-value--cfStyle"">Hex Die</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfCuttingDirection"">Cutting Direction:</div></td>
<td><div class=""productView-info-value productView-info-value--cfCuttingDirection"">Right Hand</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadStandard"">Thread Standard:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadStandard"">UNC</div></td>
</tr>
</tbody>
</table>
</div>"
DWTHSHEX5811,DWTHSHEX.jpg,"<div class=""productView-description-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<p>5/8""-11 HSS Hex Die. Carbon Steel Hex Dies are for dressing over brusied or rusty threads, they are the most cost effective rethreading tool available. No special holder is required for this type of die, any wrench large enough will suffice. Ideal for maintenance in the shop or field.</p> <p style=""text-align: center;""><!-- mceItemMediaService_youtube:{&quot;id&quot;:&quot;xDzIjEVZhZY&quot;,&quot;width&quot;:440,&quot;height&quot;:330} --><!-- do not directly edit this HTML, it will be overwritten by the mediaservice plugin --><iframe allowfullscreen="""" frameborder=""0"" height=""330"" src=""//www.youtube.com/embed/xDzIjEVZhZY?fs=1"" width=""440""></iframe><!-- /mceItemMediaService --></p>
<!-- snippet location product_description -->
</div>","<div class=""productView-addition-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<table class=""productView-addition-table table"">
<tbody class=""table-tbody"">
<tr>
<td><div class=""productView-info-name productView-info-name--cfSize"">Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfSize"">5/8""-11</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfMaterial"">Material:</div></td>
<td><div class=""productView-info-value productView-info-value--cfMaterial"">High Speed Steel</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfFinish"">Finish:</div></td>
<td><div class=""productView-info-value productView-info-value--cfFinish"">Uncoated (Bright)</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfStyle"">Style:</div></td>
<td><div class=""productView-info-value productView-info-value--cfStyle"">Hex Die</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfCuttingDirection"">Cutting Direction:</div></td>
<td><div class=""productView-info-value productView-info-value--cfCuttingDirection"">Right Hand</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadStandard"">Thread Standard:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadStandard"">UNC</div></td>
</tr>
</tbody>
</table>
</div>"
DWT54520,DWT.jpg,"<div class=""productView-description-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<p><strong>5/16""-24 High Speed Steel Hand Bottoming Tap</strong></p> <ul> <li>Used to make new threads or re-thread damaged and/or jammed threads</li> <li>Hand Taps are the most versatile taps for hand use, or for tapping under power</li> <li>Hand taps are popular for use in general machine tapping or CNC tapping</li> <li>They are also appropriate for tapping the vast majority of materials in through or blind holed conditions</li> <li>Hand Taps come in three styles Taper, Plug or Bottom.</li> <li>Taper Style: Starts the thread square with the workpiece. Plug Style: Generally used in thru holes. Bottom Style: Generate the thread to the bottom of the hole. A tap set contains 1 taper, 1 plug and 1 bottoming tap.</li> </ul> <p style=""text-align: center;""><!-- mceItemMediaService_youtube:{&quot;id&quot;:&quot;4MsLrt6Zyxk&quot;,&quot;width&quot;:440,&quot;height&quot;:330} --><!-- do not directly edit this HTML, it will be overwritten by the mediaservice plugin --><iframe allowfullscreen="""" frameborder=""0"" height=""330"" src=""//www.youtube.com/embed/4MsLrt6Zyxk?fs=1"" width=""440""></iframe><!-- /mceItemMediaService --></p>
<!-- snippet location product_description -->
</div>","<div class=""productView-addition-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<table class=""productView-addition-table table"">
<tbody class=""table-tbody"">
<tr>
<td><div class=""productView-info-name productView-info-name--cfSize"">Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfSize"">5/16""-24</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfMaterial"">Material:</div></td>
<td><div class=""productView-info-value productView-info-value--cfMaterial"">High Speed Steel</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfFinish"">Finish:</div></td>
<td><div class=""productView-info-value productView-info-value--cfFinish"">Uncoated (Bright)</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfStyle"">Style:</div></td>
<td><div class=""productView-info-value productView-info-value--cfStyle"">Bottoming</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfCuttingDirection"">Cutting Direction:</div></td>
<td><div class=""productView-info-value productView-info-value--cfCuttingDirection"">Right Hand</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapSize"">Tap Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapSize"">5/16""</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadsPerInch"">Threads Per Inch:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadsPerInch"">24</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapLimit"">Tap Limit:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapLimit"">H3</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfNumberOfFlutes"">Number of Flutes:</div></td>
<td><div class=""productView-info-value productView-info-value--cfNumberOfFlutes"">4</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadStandard"">Thread Standard:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadStandard"">UNF</div></td>
</tr>
</tbody>
</table>
</div>"
DWT54597,DWT.jpg,"<div class=""productView-description-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<p><strong>3/8""-24 High Speed Steel Hand Bottoming Tap</strong></p> <ul> <li>Used to make new threads or re-thread damaged and/or jammed threads</li> <li>Hand Taps are the most versatile taps for hand use, or for tapping under power</li> <li>Hand taps are popular for use in general machine tapping or CNC tapping</li> <li>They are also appropriate for tapping the vast majority of materials in through or blind holed conditions</li> <li>Hand Taps come in three styles Taper, Plug or Bottom.</li> <li>Taper Style: Starts the thread square with the workpiece. Plug Style: Generally used in thru holes. Bottom Style: Generate the thread to the bottom of the hole. A tap set contains 1 taper, 1 plug and 1 bottoming tap.</li> </ul> <p style=""text-align: center;""><!-- mceItemMediaService_youtube:{&quot;id&quot;:&quot;4MsLrt6Zyxk&quot;,&quot;width&quot;:440,&quot;height&quot;:330} --><!-- do not directly edit this HTML, it will be overwritten by the mediaservice plugin --><iframe allowfullscreen="""" frameborder=""0"" height=""330"" src=""//www.youtube.com/embed/4MsLrt6Zyxk?fs=1"" width=""440""></iframe><!-- /mceItemMediaService --></p>
<!-- snippet location product_description -->
</div>","<div class=""productView-addition-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<table class=""productView-addition-table table"">
<tbody class=""table-tbody"">
<tr>
<td><div class=""productView-info-name productView-info-name--cfSize"">Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfSize"">3/8""-24</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfMaterial"">Material:</div></td>
<td><div class=""productView-info-value productView-info-value--cfMaterial"">High Speed Steel</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfFinish"">Finish:</div></td>
<td><div class=""productView-info-value productView-info-value--cfFinish"">Uncoated (Bright)</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfStyle"">Style:</div></td>
<td><div class=""productView-info-value productView-info-value--cfStyle"">Bottoming</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfCuttingDirection"">Cutting Direction:</div></td>
<td><div class=""productView-info-value productView-info-value--cfCuttingDirection"">Right Hand</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapSize"">Tap Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapSize"">3/8""</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadsPerInch"">Threads Per Inch:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadsPerInch"">24</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapLimit"">Tap Limit:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapLimit"">H3</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfNumberOfFlutes"">Number of Flutes:</div></td>
<td><div class=""productView-info-value productView-info-value--cfNumberOfFlutes"">4</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadStandard"">Thread Standard:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadStandard"">UNF</div></td>
</tr>
</tbody>
</table>
</div>"
DWT54728,DWT.jpg,,
DWT54767,DWT.jpg,"<div class=""productView-description-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<p><strong>9/16""-18 High Speed Steel Hand Bottoming Tap</strong></p> <ul> <li>Used to make new threads or re-thread damaged and/or jammed threads</li> <li>Hand Taps are the most versatile taps for hand use, or for tapping under power</li> <li>Hand taps are popular for use in general machine tapping or CNC tapping</li> <li>They are also appropriate for tapping the vast majority of materials in through or blind holed conditions</li> <li>Hand Taps come in three styles Taper, Plug or Bottom.</li> <li>Taper Style: Starts the thread square with the workpiece. Plug Style: Generally used in thru holes. Bottom Style: Generate the thread to the bottom of the hole. A tap set contains 1 taper, 1 plug and 1 bottoming tap.</li> </ul> <p style=""text-align: center;""><!-- mceItemMediaService_youtube:{&quot;id&quot;:&quot;4MsLrt6Zyxk&quot;,&quot;width&quot;:440,&quot;height&quot;:330} --><!-- do not directly edit this HTML, it will be overwritten by the mediaservice plugin --><iframe allowfullscreen="""" frameborder=""0"" height=""330"" src=""//www.youtube.com/embed/4MsLrt6Zyxk?fs=1"" width=""440""></iframe><!-- /mceItemMediaService --></p>
<!-- snippet location product_description -->
</div>","<div class=""productView-addition-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<table class=""productView-addition-table table"">
<tbody class=""table-tbody"">
<tr>
<td><div class=""productView-info-name productView-info-name--cfSize"">Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfSize"">9/16""-18</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfMaterial"">Material:</div></td>
<td><div class=""productView-info-value productView-info-value--cfMaterial"">High Speed Steel</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfFinish"">Finish:</div></td>
<td><div class=""productView-info-value productView-info-value--cfFinish"">Uncoated (Bright)</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfStyle"">Style:</div></td>
<td><div class=""productView-info-value productView-info-value--cfStyle"">Bottoming</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfCuttingDirection"">Cutting Direction:</div></td>
<td><div class=""productView-info-value productView-info-value--cfCuttingDirection"">Right Hand</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapSize"">Tap Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapSize"">9/16""</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadsPerInch"">Threads Per Inch:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadsPerInch"">18</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapLimit"">Tap Limit:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapLimit"">H3</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfNumberOfFlutes"">Number of Flutes:</div></td>
<td><div class=""productView-info-value productView-info-value--cfNumberOfFlutes"">4</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadStandard"">Thread Standard:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadStandard"">UNF</div></td>
</tr>
</tbody>
</table>
</div>"
DWT54892,DWT.jpg,"<div class=""productView-description-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<p><strong>7/8""-14 High Speed Steel Hand Bottoming Tap</strong></p> <ul> <li>Used to make new threads or re-thread damaged and/or jammed threads</li> <li>Hand Taps are the most versatile taps for hand use, or for tapping under power</li> <li>Hand taps are popular for use in general machine tapping or CNC tapping</li> <li>They are also appropriate for tapping the vast majority of materials in through or blind holed conditions</li> <li>Hand Taps come in three styles Taper, Plug or Bottom.</li> <li>Taper Style: Starts the thread square with the workpiece. Plug Style: Generally used in thru holes. Bottom Style: Generate the thread to the bottom of the hole. A tap set contains 1 taper, 1 plug and 1 bottoming tap.</li> </ul> <p style=""text-align: center;""><!-- mceItemMediaService_youtube:{&quot;id&quot;:&quot;4MsLrt6Zyxk&quot;,&quot;width&quot;:440,&quot;height&quot;:330} --><!-- do not directly edit this HTML, it will be overwritten by the mediaservice plugin --><iframe allowfullscreen="""" frameborder=""0"" height=""330"" src=""//www.youtube.com/embed/4MsLrt6Zyxk?fs=1"" width=""440""></iframe><!-- /mceItemMediaService --></p>
<!-- snippet location product_description -->
</div>","<div class=""productView-addition-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<table class=""productView-addition-table table"">
<tbody class=""table-tbody"">
<tr>
<td><div class=""productView-info-name productView-info-name--cfSize"">Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfSize"">7/8""-14</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfMaterial"">Material:</div></td>
<td><div class=""productView-info-value productView-info-value--cfMaterial"">High Speed Steel</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfFinish"">Finish:</div></td>
<td><div class=""productView-info-value productView-info-value--cfFinish"">Uncoated (Bright)</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfStyle"">Style:</div></td>
<td><div class=""productView-info-value productView-info-value--cfStyle"">Bottoming</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfCuttingDirection"">Cutting Direction:</div></td>
<td><div class=""productView-info-value productView-info-value--cfCuttingDirection"">Right Hand</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapSize"">Tap Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapSize"">7/8""</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadsPerInch"">Threads Per Inch:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadsPerInch"">14</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapLimit"">Tap Limit:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapLimit"">H4</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfNumberOfFlutes"">Number of Flutes:</div></td>
<td><div class=""productView-info-value productView-info-value--cfNumberOfFlutes"">4</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadStandard"">Thread Standard:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadStandard"">UNF</div></td>
</tr>
</tbody>
</table>
</div>"
DWT54925,DWT.jpg,"<div class=""productView-description-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<p><strong>1""-8 High Speed Steel Hand Bottoming Tap</strong></p> <ul> <li>Used to make new threads or re-thread damaged and/or jammed threads</li> <li>Hand Taps are the most versatile taps for hand use, or for tapping under power</li> <li>Hand taps are popular for use in general machine tapping or CNC tapping</li> <li>They are also appropriate for tapping the vast majority of materials in through or blind holed conditions</li> <li>Hand Taps come in three styles Taper, Plug or Bottom.</li> <li>Taper Style: Starts the thread square with the workpiece. Plug Style: Generally used in thru holes. Bottom Style: Generate the thread to the bottom of the hole. A tap set contains 1 taper, 1 plug and 1 bottoming tap.</li> </ul> <p style=""text-align: center;""><!-- mceItemMediaService_youtube:{&quot;id&quot;:&quot;4MsLrt6Zyxk&quot;,&quot;width&quot;:440,&quot;height&quot;:330} --><!-- do not directly edit this HTML, it will be overwritten by the mediaservice plugin --><iframe allowfullscreen="""" frameborder=""0"" height=""330"" src=""//www.youtube.com/embed/4MsLrt6Zyxk?fs=1"" width=""440""></iframe><!-- /mceItemMediaService --></p>
<!-- snippet location product_description -->
</div>","<div class=""productView-addition-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<table class=""productView-addition-table table"">
<tbody class=""table-tbody"">
<tr>
<td><div class=""productView-info-name productView-info-name--cfSize"">Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfSize"">1""-8</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfMaterial"">Material:</div></td>
<td><div class=""productView-info-value productView-info-value--cfMaterial"">High Speed Steel</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfFinish"">Finish:</div></td>
<td><div class=""productView-info-value productView-info-value--cfFinish"">Uncoated (Bright)</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfStyle"">Style:</div></td>
<td><div class=""productView-info-value productView-info-value--cfStyle"">Bottoming</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfCuttingDirection"">Cutting Direction:</div></td>
<td><div class=""productView-info-value productView-info-value--cfCuttingDirection"">Right Hand</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapSize"">Tap Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapSize"">1""</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadsPerInch"">Threads Per Inch:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadsPerInch"">8</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapLimit"">Tap Limit:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapLimit"">H4</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfNumberOfFlutes"">Number of Flutes:</div></td>
<td><div class=""productView-info-value productView-info-value--cfNumberOfFlutes"">4</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadStandard"">Thread Standard:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadStandard"">UNC</div></td>
</tr>
</tbody>
</table>
</div>"
DWT54935,DWT.jpg,,
DWTST3/8-18B,DWTST.jpg,"<div class=""productView-description-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<p><strong>3/8""-18 High Speed Steel Bottoming Hand Tap</strong></p> <ul> <li>Used to make new threads or re-thread damaged and/or jammed threads</li> <li>Hand Taps are the most versatile taps for hand use, or for tapping under power</li> <li>Hand taps are popular for use in general machine tapping or CNC tapping</li> <li>They are also appropriate for tapping the vast majority of materials in through or blind holed conditions</li> <li>Hand Taps come in three styles Taper, Plug or Bottom.</li> <li>Taper Style: Starts the thread square with the workpiece. Plug Style: Generally used in thru holes. Bottom Style: Generate the thread to the bottom of the hole. A tap set contains 1 taper, 1 plug and 1 bottoming tap.</li> </ul> <p style=""text-align: center;""><!-- mceItemMediaService_youtube:{&quot;id&quot;:&quot;4MsLrt6Zyxk&quot;,&quot;width&quot;:440,&quot;height&quot;:330} --><!-- do not directly edit this HTML, it will be overwritten by the mediaservice plugin --><iframe allowfullscreen="""" frameborder=""0"" height=""330"" src=""//www.youtube.com/embed/4MsLrt6Zyxk?fs=1"" width=""440""></iframe><!-- /mceItemMediaService --></p>
<!-- snippet location product_description -->
</div>","<div class=""productView-addition-tabContent emthemesModez-mobile-collapse-content"" data-emthemesmodez-mobile-collapse-content="""">
<table class=""productView-addition-table table"">
<tbody class=""table-tbody"">
<tr>
<td><div class=""productView-info-name productView-info-name--cfSize"">Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfSize"">3/8""-18</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfMaterial"">Material:</div></td>
<td><div class=""productView-info-value productView-info-value--cfMaterial"">High Speed Steel</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfFinish"">Finish:</div></td>
<td><div class=""productView-info-value productView-info-value--cfFinish"">Uncoated (Bright)</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfStyle"">Style:</div></td>
<td><div class=""productView-info-value productView-info-value--cfStyle"">Bottoming</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfCuttingDirection"">Cutting Direction:</div></td>
<td><div class=""productView-info-value productView-info-value--cfCuttingDirection"">Right Hand</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfTapSize"">Tap Size:</div></td>
<td><div class=""productView-info-value productView-info-value--cfTapSize"">3/8""</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadsPerInch"">Threads Per Inch:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadsPerInch"">18</div></td>
</tr>
<tr>
<td><div class=""productView-info-name productView-info-name--cfThreadStandard"">Thread Standard:</div></td>
<td><div class=""productView-info-value productView-info-value--cfThreadStandard"">UNS</div></td>
</tr>
</tbody>
</table>
</div>"
