store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,223|25662,Manual Rope Grab|Rope Grabs,13273,0113,,"Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""",,"Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""","3M 0113 Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""",/\0\1\3M-0113-Steel-Dual-Cam-Rope-Grab-Fall-Protection-58-and.jpg,/\0\1\3M-0113-Steel-Dual-Cam-Rope-Grab-Fall-Protection-58-and.jpg,http://www.48ws.com/images/product/0/1/3M-0113-Steel-Dual-Cam-Rope-Grab-Fall-Protection-58-and.jpg,3M-0113-Steel-Dual-Cam-Rope-Grab-Fall-Protection-58-and-34,3M-0113-Steel-Dual-Cam-Rope-Grab-Fall-Protection-58-and-34,,No layout updates.,Block after Info Column,,"Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""","Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""",Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3M 0113 Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""","Steel Dual Cam Rope Grab, 5/8"" & 3/4""
1 ea/case",,,"3M 0113 Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""","Steel Dual Cam Rope Grab, Fall Protection 5/8"" and 3/4""",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,216|25656,Non Stretch Harnesses|Harnesses,13274,1050-R,,Feather Harness Fall Protection Harness,,Feather Harness Fall Protection Harness,3M 1050-R Feather Harness Fall Protection Harness,/\1\0\3M-1050-R-Feather-Harness-Fall-Protection.jpg,/\1\0\3M-1050-R-Feather-Harness-Fall-Protection.jpg,http://www.48ws.com/images/product/1/0/3M-1050-R-Feather-Harness-Fall-Protection.jpg,3M-1050-R-Feather-Harness-Fall-Protection-Harness,3M-1050-R-Feather-Harness-Fall-Protection-Harness,,No layout updates.,Block after Info Column,,Feather Harness Fall Protection Harness,Feather Harness Fall Protection Harness,Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,3M 1050-R Feather Harness Fall Protection Harness,"Fall Protection Harness 1050-R with rescue straps has back d-ring
",,,3M 1050-R Feather Harness Fall Protection Harness,Feather Harness Fall Protection Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,221|25664,Shock Absorbing - Lanyards|Shock-Absorbing Lanyards,13276,3560,,6' Dual Leg Lanyard w/ Shock Absorber 100% Tie Off,,6' Dual Leg Lanyard w/ Shock Absorber 100% Tie Off,"3M™ Dual Leg Lanyard, 100% Tie-Off 6`with Shock Absorbing Clip to Tie Back Into, Fall Protection 3560 1 EA/Case
",/\3\5\3M-3560-6-Dual-Leg-Lanyard-w-Shock-Absorber-100-Tie.jpg,/\3\5\3M-3560-6-Dual-Leg-Lanyard-w-Shock-Absorber-100-Tie.jpg,http://www.48ws.com/images/product/3/5/3M-3560-6-Dual-Leg-Lanyard-w-Shock-Absorber-100-Tie.jpg,3M-3560-6-Dual-Leg-Lanyard-w-Shock-Absorber-100-Tie-Off,3M-3560-6-Dual-Leg-Lanyard-w-Shock-Absorber-100-Tie-Off,,No layout updates.,Block after Info Column,,6' Dual Leg Lanyard w/ Shock Absorber 100% Tie Off,6' Dual Leg Lanyard w/ Shock Absorber 100% Tie Off,Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3M™ Dual Leg Lanyard, 100% Tie-Off 6`with Shock Absorbing Clip to Tie Back Into, Fall Protection 3560 1 EA/Case
","6' 100% Tie-Off Shock Absorbing Dual Leg Lanyard with Clip to Tie Back Into
",,,3M 3560 6' Dual Leg Lanyard w/ Shock Absorber 100% Tie Off,6' Dual Leg Lanyard w/ Shock Absorber 100% Tie Off,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,216|25656,Non Stretch Harnesses|Harnesses,13277,1051-N460-LOGO,,Feather Positioning Harness with Back and Waist D-Rings,3M 1051 Feather Positioning Harness with Back and Waist D-Rings,Feather Positioning Harness with Back and Waist D-Rings,"3M™ Fall Protection Harness 1051-N460-LOGO, 1/cs
",/\1\0\3M-1051-N460-LOGO-Feather-Positioning-Harness-with-Back-and.jpg,/\1\0\3M-1051-N460-LOGO-Feather-Positioning-Harness-with-Back-and.jpg,http://www.48ws.com/images/product/1/0/3M-1051-N460-LOGO-Feather-Positioning-Harness-with-Back-and.jpg,3M-1051-N460-LOGO-Feather-Positioning-Harness-with-Back-and-Waist-D-Rings,3M-1051-N460-LOGO-Feather-Positioning-Harness-with-Back-and-Waist-D-Rings,,No layout updates.,Block after Info Column,,Feather Positioning Harness with Back and Waist D-Rings,Feather Positioning Harness with Back and Waist D-Rings,Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3M™ Fall Protection Harness
","3M™ Fall Protection Harness
Back waist d-rings
",,,N460-LOGO,Feather Positioning Harness with Back and Waist D-Rings,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,221|25664,Shock Absorbing - Lanyards|Shock-Absorbing Lanyards,13278,3561,,6' Shock Absorbing Lanyard with Clip to Tie Back Into,,6' Shock Absorbing Lanyard with Clip to Tie Back Into,"3M™ Shock Absorbing Lanyard, 6` with Clip to Tie Back Into, Fall Protection 3561 1 EA/Case
",/\3\5\3M-3561-6-Shock-Absorbing-Lanyard-with-Clip-to-Tie-Back.jpg,/\3\5\3M-3561-6-Shock-Absorbing-Lanyard-with-Clip-to-Tie-Back.jpg,http://www.48ws.com/images/product/3/5/3M-3561-6-Shock-Absorbing-Lanyard-with-Clip-to-Tie-Back.jpg,3M-3561-6-Shock-Absorbing-Lanyard-with-Clip-to-Tie-Back-Into,3M-3561-6-Shock-Absorbing-Lanyard-with-Clip-to-Tie-Back-Into,,No layout updates.,Block after Info Column,,6' Shock Absorbing Lanyard with Clip to Tie Back Into,6' Shock Absorbing Lanyard with Clip to Tie Back Into,Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3M™ Shock Absorbing Lanyard, 6` with Clip to Tie Back Into, Fall Protection 3561 1 EA/Case
","6' Shock Absorbing Lanyard with Clip to Tie Back Into
",,,3M 3561 6' Shock Absorbing Lanyard with Clip to Tie Back Into,6' Shock Absorbing Lanyard with Clip to Tie Back Into,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,221|25664,Shock Absorbing - Lanyards|Shock-Absorbing Lanyards,13279,3812,,"Tybak Shock Absorbing Lanyard, Fall Protection Safety Equipment",,"Tybak Shock Absorbing Lanyard, Fall Protection Safety Equipment","Tybak shock absorbing lanyards employ a convenient tie-back feature that eliminates the need for additional anchorage connectors.
",/\3\8\3M-3812-Tybak-Shock-Absorbing-Lanyard-Fall-Protection.jpg,/\3\8\3M-3812-Tybak-Shock-Absorbing-Lanyard-Fall-Protection.jpg,http://www.48ws.com/images/product/3/8/3M-3812-Tybak-Shock-Absorbing-Lanyard-Fall-Protection.jpg,3M-3812-Tybak-Shock-Absorbing-Lanyard-Fall-Protection-Safety-Equipment,3M-3812-Tybak-Shock-Absorbing-Lanyard-Fall-Protection-Safety-Equipment,,No layout updates.,Block after Info Column,,"Tybak Shock Absorbing Lanyard, Fall Protection Safety Equipment","Tybak Shock Absorbing Lanyard, Fall Protection Safety Equipment",Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Tybak shock absorbing lanyards employ a convenient tie-back feature that eliminates the need for additional anchorage connectors.
","Length: 6ft.
Web material: 12.5K Poly-nylon
Shock type: Shock Pack
Color: Gray
1 double locking snaphook and 1 double locking tie-back carabiner
Weight capacity: 310","3M Fall Protection equipment has earned the confidence of companies and workers across the country by offering a broad line of fall protection products and systems. With products designed to meet fall protection standards, we're committed to meeting your unique fall protection needs with our focus on custom solutions for your job site. Connecting devices link the wearer to an anchor point as part of a complete fall protection system. In the event of a fall, connecting devices act as an energy absorber. They help protect workers by reducing the arresting force applied to a workers body to within safe limits. The Tybak Shock Absorbing Lanyards incoroprate SafeStop™ Absorbers and are boldly imprinted to indicate to workers they are approved to be used as a tie-back. SafeStop Shock Absorbing lanyards ensure shock impact is held to a minimum.
",,"3M 3812 Tybak™ Shock Absorbing Lanyard, Fall Protection Safety Equipment","Tybak Shock Absorbing Lanyard, Fall Protection Safety Equipment",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,190|25661,Roof Anchors - Temporary|Roofing Anchors,13281,4000,,"Reusable Roof Anchor, Fall Protection Safety Equipment Hinged Steel 1ea/cs",,"Reusable Roof Anchor, Fall Protection Safety Equipment Hinged Steel 1ea/cs","The reusable roof anchor provides a necessary tie-off to complete a fall protection system and is rated to 5000 lb. tensile strength. This reusable roof anchor is made of heavy gauge steel with a hinged design that can be fit most pitch angles.
",/\4\0\3M-4000-Reusable-Roof-Anchor-Fall-Protection-Safety.jpg,/\4\0\3M-4000-Reusable-Roof-Anchor-Fall-Protection-Safety.jpg,http://www.48ws.com/images/product/4/0/3M-4000-Reusable-Roof-Anchor-Fall-Protection-Safety.jpg,3M-4000-Reusable-Roof-Anchor-Fall-Protection-Safety-Equipment-Hinged-Steel-1eacs,3M-4000-Reusable-Roof-Anchor-Fall-Protection-Safety-Equipment-Hinged-Steel-1eacs,,No layout updates.,Block after Info Column,,"Reusable Roof Anchor, Fall Protection Safety Equipment Hinged Steel 1ea/cs","Reusable Roof Anchor, Fall Protection Safety Equipment Hinged Steel 1ea/cs",Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The reusable roof anchor provides a necessary tie-off to complete a fall protection system and is rated to 5000 lb. tensile strength. This reusable roof anchor is made of heavy gauge steel with a hinged design that can be fit most pitch angles.
"," Tensile Strength: 5,000 lbs.

 Weight Capacity: 400 lbs.
","3M Fall Protection equipment has earned the confidence of companies and workers across the country by offering a broad line of fall protection products and systems. With products designed to meet fall protection standards, we're committed to meeting your unique fall protection needs with our focus on custom solutions for your job site.

Anchorage devices can provide the necessary tie-off to complete a fall protection system. Our temporary anchorage devices are each rated to 5000 lbs. to help withstand the substantial forces applied during a fall. By offering a diverse line of both fabricated and web-based anchorage options, 3M is able to provide a reusable anchor for most any job site and help promote effective fall protection.
",,"3M 4000 Reusable Roof Anchor, Fall Protection Safety Equipment Hinged Steel 1ea/cs","Reusable Roof Anchor, Fall Protection Safety Equipment Hinged Steel 1ea/cs",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,186|26780,Anchorage Connectors - Temporary|Anchoring,13283,4075,,"Safeclaw Reusable Concrete Anchor, Fall Protection Safety Equipment 5000 Lb 1ea/cs",,"Safeclaw Reusable Concrete Anchor, Fall Protection Safety Equipment 5000 Lb 1ea/cs","
The reusable concrete anchor provides a necessary tie-off to complete a fall protection system and is rated to 5000 lb. tensile strength.
",/\4\0\3M-4075-Safeclaw-Reusable-Concrete-Anchor-Fall-Protection.jpg,/\4\0\3M-4075-Safeclaw-Reusable-Concrete-Anchor-Fall-Protection.jpg,http://www.48ws.com/images/product/4/0/3M-4075-Safeclaw-Reusable-Concrete-Anchor-Fall-Protection.jpg,3M-4075-Safeclaw-Reusable-Concrete-Anchor-Fall-Protection-Safety-Equipment-5000-Lb-1eacs,3M-4075-Safeclaw-Reusable-Concrete-Anchor-Fall-Protection-Safety-Equipment-5000-Lb-1eacs,,No layout updates.,Block after Info Column,,"Safeclaw Reusable Concrete Anchor, Fall Protection Safety Equipment 5000 Lb 1ea/cs","Safeclaw Reusable Concrete Anchor, Fall Protection Safety Equipment 5000 Lb 1ea/cs",Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The reusable concrete anchor provides a necessary tie-off to complete a fall protection system and is rated to 5000 lb. tensile strength.
"," Tensile Strength: 5,000 lbs.
 Weight Capacity: 400 lbs.
 Drill Hole: 3/4 inc.
 Depth: 3 inch.","3M Fall Protection equipment has earned the confidence of companies and workers across the country by offering a broad line of fall protection products and systems. With products designed to meet fall protection standards, we're committed to meeting your unique fall protection needs with our focus on custom solutions for your job site.


Anchorage devices can provide the necessary tie-off to complete a fall protection system. Our temporary anchorage devices are each rated to 5000 lbs. to help withstand the substantial forces applied during a fall. By offering a diverse line of both fabricated and web-based anchorage options, 3M is able to provide a reusable anchor for most any job site and help promote effective fall protection.
",,"3M™ 4075 Safeclaw Reusable Concrete Anchor, Fall Protection Safety Equipment 5000 Lb 1ea/cs ","Safeclaw Reusable Concrete Anchor, Fall Protection Safety Equipment 5000 Lb 1ea/cs",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,186|26780,Anchorage Connectors - Temporary|Anchoring,13284,4077,,"10,000 Lb Safeclaw Concrete Fall Protection",,"10,000 Lb Safeclaw Concrete Fall Protection","3M™ Safeclaw, Fall Protection 4077, 10,000 Lb 1 EA/Case
",/\4\0\3M-4077-10000-Lb-Safeclaw-Concrete-Fall.jpg,/\4\0\3M-4077-10000-Lb-Safeclaw-Concrete-Fall.jpg,http://www.48ws.com/images/product/4/0/3M-4077-10000-Lb-Safeclaw-Concrete-Fall.jpg,3M-4077-10000-Lb-Safeclaw-Concrete-Fall-Protection,3M-4077-10000-Lb-Safeclaw-Concrete-Fall-Protection,,No layout updates.,Block after Info Column,,"10,000 Lb Safeclaw Concrete Fall Protection","10,000 Lb Safeclaw Concrete Fall Protection",Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3M™ Safeclaw, Fall Protection 4077, 10,000 Lb 1 EA/Case
","Safeclaw 10,000 Lb.
",,,"3M 4077 10,000 Lb Safeclaw Concrete Fall Protection","10,000 Lb Safeclaw Concrete Fall Protection",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,994|25655,Harness Accessories|Harness Accessories,13285,5550,,"D-Ring Extender, Fall Protection 1ea/case",,"D-Ring Extender, Fall Protection 1ea/case","3M 5550 D-Ring Extender, Fall Protection 1ea/case",/\5\5\3M-5550-D-Ring-Extender-Fall-Protection.jpg,/\5\5\3M-5550-D-Ring-Extender-Fall-Protection.jpg,http://www.48ws.com/images/product/5/5/3M-5550-D-Ring-Extender-Fall-Protection.jpg,3M-5550-D-Ring-Extender-Fall-Protection-1eacase,3M-5550-D-Ring-Extender-Fall-Protection-1eacase,,No layout updates.,Block after Info Column,,"D-Ring Extender, Fall Protection 1ea/case","D-Ring Extender, Fall Protection 1ea/case",Use config,http://solutions.3m.com/wps/portal/3M/en_US/All/3M-ProdServ/,0,,,0,3M,244,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3M 5550 D-Ring Extender, Fall Protection 1ea/case","5550 EXTENSION
",,,"3M 5550 D-Ring Extender, Fall Protection 1ea/case","D-Ring Extender, Fall Protection 1ea/case",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
