store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,24954,Magnetic Drill Presses,38223,AC35,,AC35 Magnetic Drill Press,,AC35 Magnetic Drill Press,Rotobrute Annular Cutter,/\A\C\Champion-Cutting-Tools-Mini.jpg,/\A\C\Champion-Cutting-Tools-Mini.jpg,http://www.48ws.com/images/product/A/C/Champion-Cutting-Tools-Mini.jpg,champion-cutting-tools-AC35-ac35-magnetic-drill-press,champion-cutting-tools-AC35-ac35-magnetic-drill-press,,No layout updates.,Block after Info Column,,AC35 Magnetic Drill Press,AC35 Magnetic Drill Press,Use config,http://championcuttingtool.com/champion-products/magnetic-drill-presses-86/rotobrute/magnetic-drill-press.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"• Weighs 23 lbs
• Magnetic Strength 2,200 lbs
• Cutter capacity: 1-3/8"" diameter x 2"" depth
• Standard external fluid reservoir
• Quick change cutter arbor
• 1 Speed Motor: &nbsp;600 RPM
• Easy to maneuver
• Same capacity as machines weighing much more
• Convenient cooling and less fill ups than arbor reservoir
• Annular cutters changed quickly for use with twist drills
• Great for use with carbide tipped annular cutters
• Includes safety chain
• AC35 Manual is available in Technical Support and Literature Section on this website


• Click here for the&nbsp;


AC35 User Manual
&nbsp;
&nbsp;
","Lightweight, powerful and economical magnetic drill press with a high torque motor.Includes carry case, quick-release cutter arbor, external coolant bottle, safety guard, drift key and hex keys.","Weight: 23 lbs.Magnetic Strength:  2,200 lbsMotor:  1,200 WattMotor Speed:  600 RPMCutter Capacity:  1-3/8""Drill Capacity:  1/2""Depth of Cut:  2""",,Champion Cutting Tools - Mini Brute,AC35 Magnetic Drill Press,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,38755,CT5 1,,"1"" Carbide Tipped Hole Cutter",CT5 Carbide Tipped Hole Cutter,"1"" Carbide Tipped Hole Cutter","1"" Carbide Tipped Hole Cutter",/\C\T\Champion-Cutting-Tools-1-Carbide-Tipped-Hole.jpg,/\C\T\Champion-Cutting-Tools-1-Carbide-Tipped-Hole.jpg,http://www.48ws.com/images/product/C/T/Champion-Cutting-Tools-1-Carbide-Tipped-Hole.jpg,CT5-Champion-Cutting-Tools-1-Carbide-Tipped-Hole-Cutter,CT5-Champion-Cutting-Tools-1-Carbide-Tipped-Hole-Cutter,,No layout updates.,Block after Info Column,,"1"" Carbide Tipped Hole Cutter","1"" Carbide Tipped Hole Cutter",Use config,http://championcuttingtool.com/champion-products.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills 
 Cut thin materials, including stainless steel, quickly and smoothly
 1/4"" Hex Shank for use in QCD (quick-change driver)
 Thin wall construction and three carbide tips for fast drilling 
and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1"" Carbide Tipped Hole Cutter","1"" Carbide Tipped Hole Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,38757,"CT5 1 1/16""",,"1 1/16"" Carbide Tipped Hole Cutter",CT5 Carbide Tipped Hole Cutter,"1 1/16"" Carbide Tipped Hole Cutter","1 1/16"" Carbide Tipped Hole Cutter",/\C\T\Champion-Cutting-Tools-1-116-Carbide-Tipped-Hole.jpg,/\C\T\Champion-Cutting-Tools-1-116-Carbide-Tipped-Hole.jpg,http://www.48ws.com/images/product/C/T/Champion-Cutting-Tools-1-116-Carbide-Tipped-Hole.jpg,CT5-Champion-Cutting-Tools-1-116-Carbide-Tipped-Hole-Cutter,CT5-Champion-Cutting-Tools-1-116-Carbide-Tipped-Hole-Cutter,,No layout updates.,Block after Info Column,,"1 1/16"" Carbide Tipped Hole Cutter","1 1/16"" Carbide Tipped Hole Cutter",Use config,http://championcuttingtool.com/champion-products.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1 1/16"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills 
 Cut thin materials, including stainless steel, quickly and smoothly
 1/4"" Hex Shank for use in QCD (quick-change driver)
 Thin wall construction and three carbide tips for fast drilling 
and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 1/16"" Carbide Tipped Hole Cutter","1 1/16"" Carbide Tipped Hole Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,38759,CT5 1 1/2,,"1 1/2"" Carbide Tipped Hole Cutter",CT5 Carbide Tipped Hole Cutter,"1 1/2"" Carbide Tipped Hole Cutter","1 1/2"" Carbide Tipped Hole Cutter",/\C\T\Champion-Cutting-Tools-1-12-Carbide-Tipped-Hole.jpg,/\C\T\Champion-Cutting-Tools-1-12-Carbide-Tipped-Hole.jpg,http://www.48ws.com/images/product/C/T/Champion-Cutting-Tools-1-12-Carbide-Tipped-Hole.jpg,CT5-Champion-Cutting-Tools-1-12-Carbide-Tipped-Hole-Cutter,CT5-Champion-Cutting-Tools-1-12-Carbide-Tipped-Hole-Cutter,,No layout updates.,Block after Info Column,,"1 1/2"" Carbide Tipped Hole Cutter","1 1/2"" Carbide Tipped Hole Cutter",Use config,http://championcuttingtool.com/champion-products.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1 1/2"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills 
 Cut thin materials, including stainless steel, quickly and smoothly
 1/4"" Hex Shank for use in QCD (quick-change driver)
 Thin wall construction and three carbide tips for fast drilling 
and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 1/2"" Carbide Tipped Hole Cutter","1 1/2"" Carbide Tipped Hole Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,38762,CT5 1 1/4,,"1 1/4"" Carbide Tipped Hole Cutter",CT5 Carbide Tipped Hole Cutter,"1 1/4"" Carbide Tipped Hole Cutter","1 1/4"" Carbide Tipped Hole Cutter",/\C\T\Champion-Cutting-Tools-1-14-Carbide-Tipped-Hole.jpg,/\C\T\Champion-Cutting-Tools-1-14-Carbide-Tipped-Hole.jpg,http://www.48ws.com/images/product/C/T/Champion-Cutting-Tools-1-14-Carbide-Tipped-Hole.jpg,CT5-Champion-Cutting-Tools-1-14-Carbide-Tipped-Hole-Cutter,CT5-Champion-Cutting-Tools-1-14-Carbide-Tipped-Hole-Cutter,,No layout updates.,Block after Info Column,,"1 1/4"" Carbide Tipped Hole Cutter","1 1/4"" Carbide Tipped Hole Cutter",Use config,http://championcuttingtool.com/champion-products.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1 1/4"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills 
 Cut thin materials, including stainless steel, quickly and smoothly
 1/4"" Hex Shank for use in QCD (quick-change driver)
 Thin wall construction and three carbide tips for fast drilling 
and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 1/4"" Carbide Tipped Hole Cutter","1 1/4"" Carbide Tipped Hole Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,38765,CT5 1 1/8,,"1 1/8"" Carbide Tipped Hole Cutter",CT5 Carbide Tipped Hole Cutter,"1 1/8"" Carbide Tipped Hole Cutter","1 1/8"" Carbide Tipped Hole Cutter",/\C\T\Champion-Cutting-Tools-1-18-Carbide-Tipped-Hole.jpg,/\C\T\Champion-Cutting-Tools-1-18-Carbide-Tipped-Hole.jpg,http://www.48ws.com/images/product/C/T/Champion-Cutting-Tools-1-18-Carbide-Tipped-Hole.jpg,CT5-Champion-Cutting-Tools-1-18-Carbide-Tipped-Hole-Cutter,CT5-Champion-Cutting-Tools-1-18-Carbide-Tipped-Hole-Cutter,,No layout updates.,Block after Info Column,,"1 1/8"" Carbide Tipped Hole Cutter","1 1/8"" Carbide Tipped Hole Cutter",Use config,http://championcuttingtool.com/champion-products.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1 1/8"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills 
 Cut thin materials, including stainless steel, quickly and smoothly
 1/4"" Hex Shank for use in QCD (quick-change driver)
 Thin wall construction and three carbide tips for fast drilling 
and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 1/8"" Carbide Tipped Hole Cutter","1 1/8"" Carbide Tipped Hole Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,38767,CT5 1 3/4,,"1 3/4"" Carbide Tipped Hole Cutter",CT5 Carbide Tipped Hole Cutter,"1 3/4"" Carbide Tipped Hole Cutter","1 3/4"" Carbide Tipped Hole Cutter",/\C\T\Champion-Cutting-Tools-1-34-Carbide-Tipped-Hole.jpg,/\C\T\Champion-Cutting-Tools-1-34-Carbide-Tipped-Hole.jpg,http://www.48ws.com/images/product/C/T/Champion-Cutting-Tools-1-34-Carbide-Tipped-Hole.jpg,CT5-Champion-Cutting-Tools-1-34-Carbide-Tipped-Hole-Cutter,CT5-Champion-Cutting-Tools-1-34-Carbide-Tipped-Hole-Cutter,,No layout updates.,Block after Info Column,,"1 3/4"" Carbide Tipped Hole Cutter","1 3/4"" Carbide Tipped Hole Cutter",Use config,http://championcuttingtool.com/champion-products.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1 3/4"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills 
 Cut thin materials, including stainless steel, quickly and smoothly
 1/4"" Hex Shank for use in QCD (quick-change driver)
 Thin wall construction and three carbide tips for fast drilling 
and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 3/4"" Carbide Tipped Hole Cutter","1 3/4"" Carbide Tipped Hole Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,38769,CT5 1 3/8,,"1 3/8"" Carbide Tipped Hole Cutter",CT5 Carbide Tipped Hole Cutter,"1 3/8"" Carbide Tipped Hole Cutter","1 3/8"" Carbide Tipped Hole Cutter",/\C\T\Champion-Cutting-Tools-1-38-Carbide-Tipped-Hole.jpg,/\C\T\Champion-Cutting-Tools-1-38-Carbide-Tipped-Hole.jpg,http://www.48ws.com/images/product/C/T/Champion-Cutting-Tools-1-38-Carbide-Tipped-Hole.jpg,CT5-Champion-Cutting-Tools-1-38-Carbide-Tipped-Hole-Cutter,CT5-Champion-Cutting-Tools-1-38-Carbide-Tipped-Hole-Cutter,,No layout updates.,Block after Info Column,,"1 3/8"" Carbide Tipped Hole Cutter","1 3/8"" Carbide Tipped Hole Cutter",Use config,http://championcuttingtool.com/champion-products.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"1 3/8"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills 
 Cut thin materials, including stainless steel, quickly and smoothly
 1/4"" Hex Shank for use in QCD (quick-change driver)
 Thin wall construction and three carbide tips for fast drilling 
and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 3/8"" Carbide Tipped Hole Cutter","1 3/8"" Carbide Tipped Hole Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,38770,CT5 11/16,,"11/16"" Carbide Tipped Hole Cutter",CT5 Carbide Tipped Hole Cutter,"11/16"" Carbide Tipped Hole Cutter","11/16"" Carbide Tipped Hole Cutter",/\C\T\Champion-Cutting-Tools-1116-Carbide-Tipped-Hole.jpg,/\C\T\Champion-Cutting-Tools-1116-Carbide-Tipped-Hole.jpg,http://www.48ws.com/images/product/C/T/Champion-Cutting-Tools-1116-Carbide-Tipped-Hole.jpg,CT5-Champion-Cutting-Tools-1116-Carbide-Tipped-Hole-Cutter,CT5-Champion-Cutting-Tools-1116-Carbide-Tipped-Hole-Cutter,,No layout updates.,Block after Info Column,,"11/16"" Carbide Tipped Hole Cutter","11/16"" Carbide Tipped Hole Cutter",Use config,http://championcuttingtool.com/champion-products.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"11/16"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills 
 Cut thin materials, including stainless steel, quickly and smoothly
 1/4"" Hex Shank for use in QCD (quick-change driver)
 Thin wall construction and three carbide tips for fast drilling 
and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 11/16"" Carbide Tipped Hole Cutter","11/16"" Carbide Tipped Hole Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,38771,CT5 13/16,,"13/16"" Carbide Tipped Hole Cutter",CT5 Carbide Tipped Hole Cutter,"13/16"" Carbide Tipped Hole Cutter","13/16"" Carbide Tipped Hole Cutter",/\C\T\Champion-Cutting-Tools-1316-Carbide-Tipped-Hole.jpg,/\C\T\Champion-Cutting-Tools-1316-Carbide-Tipped-Hole.jpg,http://www.48ws.com/images/product/C/T/Champion-Cutting-Tools-1316-Carbide-Tipped-Hole.jpg,CT5-Champion-Cutting-Tools-1316-Carbide-Tipped-Hole-Cutter,CT5-Champion-Cutting-Tools-1316-Carbide-Tipped-Hole-Cutter,,No layout updates.,Block after Info Column,,"13/16"" Carbide Tipped Hole Cutter","13/16"" Carbide Tipped Hole Cutter",Use config,http://championcuttingtool.com/champion-products.html,0,,,0,Champion Cutting Tools,395,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"13/16"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills 
 Cut thin materials, including stainless steel, quickly and smoothly
 1/4"" Hex Shank for use in QCD (quick-change driver)
 Thin wall construction and three carbide tips for fast drilling 
and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 13/16"" Carbide Tipped Hole Cutter","13/16"" Carbide Tipped Hole Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
