store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,21859,Long Nose and Needle Nose Pliers,37187,317,,"317 8"" Side Cutting Long Nose Plier with Cutter",,"317 8"" Side Cutting Long Nose Plier with Cutter",Channellock 317 Long Nose Plier,E:\IMAGES\ITEMS\product\3\1\Channellock-317-Long-Nose.jpg,E:\IMAGES\ITEMS\product\3\1\Channellock-317-Long-Nose.jpg,http://www.48ws.com/images/product/3/1/Channellock-317-Long-Nose.jpg,channellock-317-317-8-side-cutting-long-nose-plier-with-cutter,channellock-317-317-8-side-cutting-long-nose-plier-with-cutter,,No layout updates.,Block after Info Column,,"317 8"" Side Cutting Long Nose Plier with Cutter","317 8"" Side Cutting Long Nose Plier with Cutter",Use config,https://www.channellock.com/317-Long-Nose-Plier.aspx,0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"7-1/2"" LNG NOSE PLIER W/SD -	CUTTER CHANNELLOCK
"," 

Units SI (in) Metric (mm)

 


 (A) Overall Length 
8
203


 (B) Jaw Length 
2.36
60


 (C) Joint Thickness 
0.41
10.5


 (D) Joint Width 
0.87
22


 (E) Cutting Edge 
0.41
10.3


 (F) Nose Width 
0.14
3.60


 (G) Nose Thickness 
0.11
2.80


 (H) Handle Span 
1.89
48


Weight
0.55 pounds
249 grams

","CHANNELLOCK® Long Nose Pliers are engineered to operate in tight spaces. A crosshatched teeth pattern provides reliable grip in either direction, while a narrow nose profile provides extra precision.
Made in the USA",,Channellock 317 Long Nose Plier,"317 8"" Side Cutting Long Nose Plier with Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21658,Cable and Wire Cutters,37188,337,,"337 7"" High Leverage Diagonal Lap Joint Cutting Plier",,"337 7"" High Leverage Diagonal Lap Joint Cutting Plier",Channellock 337 Cutting Plier,E:\IMAGES\ITEMS\product\3\3\Channellock-337-Cutting.jpg,E:\IMAGES\ITEMS\product\3\3\Channellock-337-Cutting.jpg,http://www.48ws.com/images/product/3/3/Channellock-337-Cutting.jpg,channellock-337-337-7-high-leverage-diagonal-lap-joint-cutting-plier,channellock-337-337-7-high-leverage-diagonal-lap-joint-cutting-plier,,No layout updates.,Block after Info Column,,"337 7"" High Leverage Diagonal Lap Joint Cutting Plier","337 7"" High Leverage Diagonal Lap Joint Cutting Plier",Use config,https://www.channellock.com/337-Cutting-Plier.aspx,0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"7"" DIAG CUTTING PLIER - CHANNELLOCK
"," 

Units SI (in) Metric (mm)

 


 (A) Overall Length 
7
175


 (B) Jaw Length 
0.79
20


 (C) Joint Thickness 
0.43
11


 (D) Joint Width 
1.18
30


 (E) Cutting Edge 
0.79
20


 (H) Handle Span 
1.89
48


Weight
0.57 pounds
259 grams

","Not all cutting edges are the same -- only CHANNELLOCK® uses precision machined knife and anvil style cutting edges to ensure perfect mating and superior cutting edge life. The CHANNELLOCK® knife and anvil cutters ensure proper cutting edge alignment, resulting in a clean cut every time. Most manufacturers use two sharp edges which can become misaligned, losing their cutting effectiveness. Experience the difference for yourself.
Made in the USA",,Channellock 337 Cutting Plier,"337 7"" High Leverage Diagonal Lap Joint Cutting Plier",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21662,Diagonal Cutters,37189,447,,"447 8"" High Leverage Curved Diagonal Lap Joint Cutting Plier",,"447 8"" High Leverage Curved Diagonal Lap Joint Cutting Plier",Channellock 447 Cutting Plier,E:\IMAGES\ITEMS\product\4\4\Channellock-447-Cutting.jpg,E:\IMAGES\ITEMS\product\4\4\Channellock-447-Cutting.jpg,http://www.48ws.com/images/product/4/4/Channellock-447-Cutting.jpg,channellock-447-447-8-high-leverage-curved-diagonal-lap-joint-cutting-plier,channellock-447-447-8-high-leverage-curved-diagonal-lap-joint-cutting-plier,,No layout updates.,Block after Info Column,,"447 8"" High Leverage Curved Diagonal Lap Joint Cutting Plier","447 8"" High Leverage Curved Diagonal Lap Joint Cutting Plier",Use config,https://www.channellock.com/447-Cutting-Plier.aspx,0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Channellock 447 Cutting Plier," 

Units SI (in) Metric (mm)

 


 (A) Overall Length 
7.75
195


 (B) Jaw Length 
1.02
26


 (C) Joint Thickness 
0.49
12.5


 (D) Joint Width 
1.06
27


 (E) Cutting Edge 
1.02
26


 (H) Handle Span 
1.89
48


Weight
0.72 pounds
327 grams

","CHANNELLOCK® High Leverage Curved Diagonal Cutting Pliers provide powerful cutting capabilities on the job. Cutting capabilities include piano wire (0.056"" min diameter - 0.091"" max diameter), hard wire (0.047"" - 0.091""), medium hard wire (0.047"" - 0.091"") and soft wire (0.162"" max diameter).
Made in the USA",,Channellock 447 Cutting Plier,"447 8"" High Leverage Curved Diagonal Lap Joint Cutting Plier",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21866,Tongue and Groove Pliers,136861,426,,"426 6.5"" Straight Jaw Tongue & Groove Plier",,"426 6.5"" Straight Jaw Tongue & Groove Plier","6-1/2"" T&G PLIER 7/8"" CAPY - CHANNELLOCK",E:\IMAGES\ITEMS\product\4\2\426-Straight-Jaw.jpg,E:\IMAGES\ITEMS\product\4\2\426-Straight-Jaw.jpg,http://www.48ws.com/images/product/4/2/426-Straight-Jaw.jpg,channellock-426-426-65-straight-jaw-tongue-groove-plier,channellock-426-426-65-straight-jaw-tongue-groove-plier,,No layout updates.,Block after Info Column,,"426 6.5"" Straight Jaw Tongue & Groove Plier","426 6.5"" Straight Jaw Tongue & Groove Plier",Use config,https://www.channellock.com/426-Straight-Jaw-Plier.aspx,0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6-1/2"" T&G PLIER 7/8"" CAPY - CHANNELLOCK"," 

Units SI (in) Metric (mm)

 


 (A) Overall Length 
6.5
165


 (B) Jaw Length 
0.81
20.5


 (C) Joint Thickness 
0.47
12


 (H) Handle Span 
1.69
43


Weight
0.37 pounds
168 grams


# of Adjustments
5
5


Jaw Capacity
0.87
22

","The CHANNELLOCK® Straight Jaw Tongue and Groove Plier is the tool every home and garage needs. This plier is built to last with a PermaLock® fastener to eliminate nut and bolt failure, patented reinforcing edge to minimize stress breakage and right angle, laser heat-treated teeth to provide a better, longer lasting grip.  It's versatile, strong and durable enough to pass down to your kids.
Made in the USA",,426 Straight Jaw Plier,"426 6.5"" Straight Jaw Tongue & Groove Plier",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21866,Tongue and Groove Pliers,136864,422,,"422 9.5"" V-Jaw Tongue & Groove Plier",,"422 9.5"" V-Jaw Tongue & Groove Plier","9-1/2"" V-JAW T&G PLIER 1.5"" - CAPY CHANNELLOCK
",E:\IMAGES\ITEMS\product\4\2\422-V-Jaw.jpg,E:\IMAGES\ITEMS\product\4\2\422-V-Jaw.jpg,http://www.48ws.com/images/product/4/2/422-V-Jaw.jpg,channellock-422-422-95-v-jaw-tongue-groove-plier,channellock-422-422-95-v-jaw-tongue-groove-plier,,No layout updates.,Block after Info Column,,"422 9.5"" V-Jaw Tongue & Groove Plier","422 9.5"" V-Jaw Tongue & Groove Plier",Use config,https://www.channellock.com/422-V-Jaw-Plier.aspx,0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"9-1/2"" V-JAW T&G PLIER 1.5"" - CAPY CHANNELLOCK
"," 

Units SI (in) Metric (mm)

 


 (A) Overall Length 
9.5
240


 (B) Jaw Length 
1.12
28.5


 (C) Joint Thickness 
0.47
12


 (H) Handle Span 
1.57
40


Weight
0.84 pounds
381 grams


# of Adjustments
5
5


Jaw Capacity
1.5
38

","A unique jaw design creates more points of contact on round stock and tubing. This creates a stronger bite and more control - all with the legendary strength of a CHANNELLOCK® Tongue and Groove Plier.
Made in the USA",,422 V-Jaw Plier,"422 9.5"" V-Jaw Tongue & Groove Plier",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,698|21866,Pliers|Tongue and Groove Pliers,136869,430,,430 Straight Jaw Plier,,430 Straight Jaw Plier,"10"" T&G PLIER 2"" CAP'Y - CHANNELLOCK",E:\IMAGES\ITEMS\product\4\3\430-Straight-Jaw.jpg,E:\IMAGES\ITEMS\product\4\3\430-Straight-Jaw.jpg,http://www.48ws.com/images/product/4/3/430-Straight-Jaw.jpg,430-Channellock-430-Straight-Jaw-Plier,430-Channellock-430-Straight-Jaw-Plier,,No layout updates.,Block after Info Column,,430 Straight Jaw Plier,430 Straight Jaw Plier,Use config,"http://www.channellock.com/430-Straight-Jaw-Plier.aspx
",0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"10"" T&G PLIER 2"" CAP'Y - CHANNELLOCK","Made in the USA 
CHANNELLOCK uses high-carbon C1080 steel for superior performance on the job and electronic coating for ultimate rust prevention
Patented reinforcing edge minimizes stress breakage
Undercut tongue & groove design won't slip
Right-angle, laser-heat treated teeth grip better and last longer
PermaLock fastener eliminates nut and bolt failure
CHANNELLOCK BLUE grips for comfort 
","

Units A. Overall Length B. Jaw Length C. Joint Thickness H. Handle Span Weight # of AdjustmentsJaw Capacity
SI (in)101.380.442.131.18 pounds72
Metric (mm)2503511.154535 grams751
",,430 Straight Jaw Plier,430 Straight Jaw Plier,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21865,Specialty Pliers,136870,357,,"357 7.5"" End Cutting Plier",,"357 7.5"" End Cutting Plier","10"" T&G PLIER 2"" CAP'Y - CHANNELLOCK",E:\IMAGES\ITEMS\product\3\5\357-Cutting.jpg,E:\IMAGES\ITEMS\product\3\5\357-Cutting.jpg,http://www.48ws.com/images/product/3/5/357-Cutting.jpg,channellock-357-357-75-end-cutting-plier,channellock-357-357-75-end-cutting-plier,,No layout updates.,Block after Info Column,,"357 7.5"" End Cutting Plier","357 7.5"" End Cutting Plier",Use config,https://www.channellock.com/357-Cutting-Plier.aspx,0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"7"" END CUTTING PLIER - CHANNELLOCK"," 

Units SI (in) Metric (mm)

 


 (A) Overall Length 
7.5
190.5


 (B) Jaw Length 
0.35
9


 (C) Joint Thickness 
0.48
12.5


 (D) Joint Width 
1.63
41.5


 (E) Cutting Edge 
1.18
30


 (H) Handle Span 
1.89
48


Weight
0.76 pounds
345 grams

","CHANNELLOCK® end cutting pliers provide powerful cutting capabilities on the job. Cutting capabilities include piano wire (0.056"" min diameter - 0.091"" max diameter), hard wire (0.047"" - 0.091""), medium hard wire (0.047"" - 0.091"") and soft wire (0.162"" max diameter).
Made in the USA",,357 Cutting Plier,"357 7.5"" End Cutting Plier",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,698|21866,Pliers|Tongue and Groove Pliers,136872,440,,440 Straight Jaw Plier,,440 Straight Jaw Plier,"12"" T&G PLIER 2.25"" CAP'Y - CHANNELLOCK
",E:\IMAGES\ITEMS\product\4\4\440-Straight-Jaw.jpg,E:\IMAGES\ITEMS\product\4\4\440-Straight-Jaw.jpg,http://www.48ws.com/images/product/4/4/440-Straight-Jaw.jpg,440-Channellock-440-Straight-Jaw-Plier,440-Channellock-440-Straight-Jaw-Plier,,No layout updates.,Block after Info Column,,440 Straight Jaw Plier,440 Straight Jaw Plier,Use config,"http://www.channellock.com/440-Straight-Jaw-Plier.aspx
",0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"12"" T&G PLIER 2.25"" CAP'Y - CHANNELLOCK
","Made in the USA 
CHANNELLOCK uses high-carbon C1080 steel for superior performance on the job and electronic coating for ultimate rust prevention
Patented reinforcing edge minimizes stress breakage
Undercut tongue & groove design won't slip
Right-angle, laser-heat treated teeth grip better and last longer
PermaLock fastener eliminates nut and bolt failure
CHANNELLOCK BLUE grips for comfort 
","

Units A. Overall Length B. Jaw Length C. Joint Thickness H. Handle Span Weight # of AdjustmentsJaw Capacity
SI (in)121.50.51.811.64 pounds72.25
Metric (mm)3003812.746744 grams757
",,440 Straight Jaw Plier,440 Straight Jaw Plier,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21866,Tongue and Groove Pliers,136876,442,,"442 12"" V-Jaw Tongue & Groove Plier",,"442 12"" V-Jaw Tongue & Groove Plier","12"" V-JAW T&G PLIER 2.25"" - CAP'Y CHANNELLOCK
",E:\IMAGES\ITEMS\product\4\4\442-V-Jaw.jpg,E:\IMAGES\ITEMS\product\4\4\442-V-Jaw.jpg,http://www.48ws.com/images/product/4/4/442-V-Jaw.jpg,channellock-442-442-12-v-jaw-tongue-groove-plier,channellock-442-442-12-v-jaw-tongue-groove-plier,,No layout updates.,Block after Info Column,,"442 12"" V-Jaw Tongue & Groove Plier","442 12"" V-Jaw Tongue & Groove Plier",Use config,https://www.channellock.com/442-V-Jaw-Plier.aspx,0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"12"" V-JAW T&G PLIER 2.25"" - CAP'Y CHANNELLOCK
"," 

Units SI (in) Metric (mm)

 


 (A) Overall Length 
12
300


 (B) Jaw Length 
1.50
38


 (C) Joint Thickness 
0.50
12.7


 (H) Handle Span 
1.69
43


Weight
1.78 pounds
807 grams


# of Adjustments
7
7


Jaw Capacity
2.25
57

","A unique jaw design creates more points of contact on round stock and tubing. This creates a stronger bite and more control - all with the legendary strength of a CHANNELLOCK® Tongue and Groove Plier.
Made in the USA",,442 V-Jaw Plier,"442 12"" V-Jaw Tongue & Groove Plier",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,21866,Tongue and Groove Pliers,136877,460,,"460 16.5"" Straight Jaw Tongue & Groove Plier",,"460 16.5"" Straight Jaw Tongue & Groove Plier","16"" T&G PLIER .25"" CAP'Y - CHANNELLOCK",E:\IMAGES\ITEMS\product\4\6\460-Straight-Jaw.jpg,E:\IMAGES\ITEMS\product\4\6\460-Straight-Jaw.jpg,http://www.48ws.com/images/product/4/6/460-Straight-Jaw.jpg,channellock-460-460-165-straight-jaw-tongue-groove-plier,channellock-460-460-165-straight-jaw-tongue-groove-plier,,No layout updates.,Block after Info Column,,"460 16.5"" Straight Jaw Tongue & Groove Plier","460 16.5"" Straight Jaw Tongue & Groove Plier",Use config,https://www.channellock.com/460-Straight-Jaw-Plier.aspx,0,,,0,Channellock,310,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"16"" T&G PLIER .25"" CAP'Y - CHANNELLOCK"," 

Units SI (in) Metric (mm)

 


 (A) Overall Length 
16.5
419.9


 (B) Jaw Length 
2.56
65


 (C) Joint Thickness 
0.59
15


 (H) Handle Span 
1.93
49


Weight
3.14 pounds
1424 grams


# of Adjustments
8
8


Jaw Capacity
4.25
108

","The CHANNELLOCK® Straight Jaw Tongue and Groove Plier is the tool every home and garage needs. This plier is built to last with a PermaLock® fastener to eliminate nut and bolt failure, patented reinforcing edge to minimize stress breakage and right angle, laser heat-treated teeth to provide a better, longer lasting grip.  It's versatile, strong and durable enough to pass down to your kids.
Made in the USA",,460 Straight Jaw Plier,"460 16.5"" Straight Jaw Tongue & Groove Plier",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
