store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104825,7086LS,,Flowtech Harness,7086 Flowtech Harness,Flowtech Harness,Falltech 7086LS Flowtech Harness,/\7\0\Falltech-7086LS-Flowtech.jpg,/\7\0\Falltech-7086LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7086LS-Flowtech.jpg,Falltech-7086LS-Flowtech-Harness,Falltech-7086LS-Flowtech-Harness,,No layout updates.,Block after Info Column,,Flowtech Harness,Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7086LS Flowtech Harness,"
Description:

Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job.
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.",,,Small,Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104826,7086LM,,7086 Flowtech Harness,7086 Flowtech Harness,7086 Flowtech Harness,Falltech 7086LS Flowtech Harness,/\7\0\Falltech-7086LS-Flowtech.jpg,/\7\0\Falltech-7086LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7086LS-Flowtech.jpg,Falltech-7086LM-7086-Flowtech-Harness,Falltech-7086LM-7086-Flowtech-Harness,,No layout updates.,Block after Info Column,,7086 Flowtech Harness,7086 Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7086LM 7086 Flowtech Harness,"
Description:
Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job.
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.",,,Medium,7086 Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104827,7086LL,,Flowtech Harness,7086 Flowtech Harness,Flowtech Harness,Falltech 7086LS Flowtech Harness,/\7\0\Falltech-7086LS-Flowtech.jpg,/\7\0\Falltech-7086LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7086LS-Flowtech.jpg,Falltech-7086LL-Flowtech-Harness,Falltech-7086LL-Flowtech-Harness,,No layout updates.,Block after Info Column,,Flowtech Harness,Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7086LL Flowtech Harness,"
Description:
Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job.
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.",,,Large,Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104828,7086LXL,,Flowtech Harness,7086 Flowtech Harness,Flowtech Harness,Falltech 7086LS Flowtech Harness,/\7\0\Falltech-7086LS-Flowtech.jpg,/\7\0\Falltech-7086LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7086LS-Flowtech.jpg,Falltech-7086LXL-Flowtech-Harness,Falltech-7086LXL-Flowtech-Harness,,No layout updates.,Block after Info Column,,Flowtech Harness,Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7086LXL Flowtech Harness,"
Description:
Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job.
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.",,,X-Large,Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104829,7087LS,,Flowtech Harness,Flowtech Harness,Flowtech Harness,Falltech 7087LS Flowtech Harness,/\7\0\Falltech-7087LS-Flowtech.jpg,/\7\0\Falltech-7087LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7087LS-Flowtech.jpg,Falltech-7087LS-Flowtech-Harness,Falltech-7087LS-Flowtech-Harness,,No layout updates.,Block after Info Column,,Flowtech Harness,Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7087LS Flowtech Harness,"
Description:

Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.",,,Small,Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104830,7087LM,,Flowtech Harness,Flowtech Harness,Flowtech Harness,Falltech 7087LS Flowtech Harness,/\7\0\Falltech-7087LS-Flowtech.jpg,/\7\0\Falltech-7087LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7087LS-Flowtech.jpg,Falltech-7087LM-Flowtech-Harness,Falltech-7087LM-Flowtech-Harness,,No layout updates.,Block after Info Column,,Flowtech Harness,Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7087LM Flowtech Harness,"
Description:

Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.",,,Medium,Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104831,7087LL,,Flowtech Harness,Flowtech Harness,Flowtech Harness,Falltech 7087LS Flowtech Harness,/\7\0\Falltech-7087LS-Flowtech.jpg,/\7\0\Falltech-7087LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7087LS-Flowtech.jpg,Falltech-7087LL-Flowtech-Harness,Falltech-7087LL-Flowtech-Harness,,No layout updates.,Block after Info Column,,Flowtech Harness,Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7087LL Flowtech Harness,"
Description:

Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.",,,Large,Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104832,7087LXL,,Flowtech Harness,Flowtech Harness,Flowtech Harness,Falltech 7087LS Flowtech Harness,/\7\0\Falltech-7087LS-Flowtech.jpg,/\7\0\Falltech-7087LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7087LS-Flowtech.jpg,Falltech-7087LXL-Flowtech-Harness,Falltech-7087LXL-Flowtech-Harness,,No layout updates.,Block after Info Column,,Flowtech Harness,Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7087LXL Flowtech Harness,"
Description:

Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.",,,X-Large,Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104833,7088LS,,Flowtech Harness,7088 Flowtech Harness ,Flowtech Harness,Falltech 7088LS Flowtech Harness ,/\7\0\Falltech-7088LS-Flowtech.jpg,/\7\0\Falltech-7088LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7088LS-Flowtech.jpg,Falltech-7088LS-Flowtech-Harness,Falltech-7088LS-Flowtech-Harness,,No layout updates.,Block after Info Column,,Flowtech Harness,Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7088LS Flowtech Harness ,"
Description:

Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job.
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.
Heavy Duty single ply workbelt designed to support tool bags with 9-position adjustments for a greater range of fit.",,,Small,Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,217|25656,Contractor Harnesses|Harnesses,104834,7088LM,,Flowtech Harness,7088 Flowtech Harness ,Flowtech Harness,Falltech 7088LS Flowtech Harness ,/\7\0\Falltech-7088LS-Flowtech.jpg,/\7\0\Falltech-7088LS-Flowtech.jpg,http://www.48ws.com/images/product/7/0/Falltech-7088LS-Flowtech.jpg,Falltech-7088LM-Flowtech-Harness,Falltech-7088LM-Flowtech-Harness,,No layout updates.,Block after Info Column,,Flowtech Harness,Flowtech Harness,Use config,http://www.falltech.com,0,,,0,Falltech,754,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Falltech 7088LM Flowtech Harness,"
Description:

Available in 1D and 3D configurations for Fall Arrest and Work Positioning with either Tongue Buckle or Quick Connect leg closures, FlowTech™ is built for comfort and versatility on the job.
Patent pending FLOWSCAPE™ Technology featured on the Back/Shoulder yoke D-Ring assembly and on the BeltBridge waist pad, allows the harness to remain raised off the body.
Durable ripstop and ballistic nylons featured on exterior of Waist, Thigh and Shoulder pad assemblies.
Abrasion resistant Lycra lining against the body. Lightweight molded EVA foam construction on all padding components increases air circulation.
Neoprene binding used around the neckline and waist pad top seams for comfort.
High strength forged aluminum D-Rings, Torso Adjusters and Belt Closure for rugged and lightweight performance.
EasyDon double sided webbing with twist-resistance and Pull Down Torso Adjusters provide better fitt and function.
Heavy Duty single ply workbelt designed to support tool bags with 9-position adjustments for a greater range of fit.",,,Medium,Flowtech Harness,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
