category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24954,Magnetic Drill Presses,AC35,AC35 Magnetic Drill Press,Rotobrute Annular Cutter,E:\IMAGES\ITEMS\product\A\C\Champion-Cutting-Tools-Mini.jpg,Champion Cutting Tools,"• Weighs 23 lbs • Magnetic Strength 2,200 lbs • Cutter capacity: 1-3/8"" diameter x 2"" depth • Standard external fluid reservoir • Quick change cutter arbor • 1 Speed Motor:  600 RPM • Easy to maneuver • Same capacity as machines weighing much more • Convenient cooling and less fill ups than arbor reservoir • Annular cutters changed quickly for use with twist drills • Great for use with carbide tipped annular cutters • Includes safety chain • AC35 Manual is available in Technical Support and Literature Section on this website   • Click here for the    AC35 User Manual","Lightweight, powerful and economical magnetic drill press with a high torque motor.Includes carry case, quick-release cutter arbor, external coolant bottle, safety guard, drift key and hex keys.","Weight: 23 lbs.Magnetic Strength:  2,200 lbsMotor:  1,200 WattMotor Speed:  600 RPMCutter Capacity:  1-3/8""Drill Capacity:  1/2""Depth of Cut:  2""",,Champion Cutting Tools - Mini Brute,AC35 Magnetic Drill Press
1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,CT5 1,"1"" Carbide Tipped Hole Cutter","1"" Carbide Tipped Hole Cutter",E:\IMAGES\ITEMS\product\C\T\Champion-Cutting-Tools-1-Carbide-Tipped-Hole.jpg,Champion Cutting Tools,"1"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills   Cut thin materials, including stainless steel, quickly and smoothly  1/4"" Hex Shank for use in QCD (quick-change driver)  Thin wall construction and three carbide tips for fast drilling  and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1"" Carbide Tipped Hole Cutter","1"" Carbide Tipped Hole Cutter"
1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,"CT5 1 1/16""","1 1/16"" Carbide Tipped Hole Cutter","1 1/16"" Carbide Tipped Hole Cutter",E:\IMAGES\ITEMS\product\C\T\Champion-Cutting-Tools-1-116-Carbide-Tipped-Hole.jpg,Champion Cutting Tools,"1 1/16"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills   Cut thin materials, including stainless steel, quickly and smoothly  1/4"" Hex Shank for use in QCD (quick-change driver)  Thin wall construction and three carbide tips for fast drilling  and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 1/16"" Carbide Tipped Hole Cutter","1 1/16"" Carbide Tipped Hole Cutter"
1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,CT5 1 1/2,"1 1/2"" Carbide Tipped Hole Cutter","1 1/2"" Carbide Tipped Hole Cutter",E:\IMAGES\ITEMS\product\C\T\Champion-Cutting-Tools-1-12-Carbide-Tipped-Hole.jpg,Champion Cutting Tools,"1 1/2"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills   Cut thin materials, including stainless steel, quickly and smoothly  1/4"" Hex Shank for use in QCD (quick-change driver)  Thin wall construction and three carbide tips for fast drilling  and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 1/2"" Carbide Tipped Hole Cutter","1 1/2"" Carbide Tipped Hole Cutter"
1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,CT5 1 1/4,"1 1/4"" Carbide Tipped Hole Cutter","1 1/4"" Carbide Tipped Hole Cutter",E:\IMAGES\ITEMS\product\C\T\Champion-Cutting-Tools-1-14-Carbide-Tipped-Hole.jpg,Champion Cutting Tools,"1 1/4"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills   Cut thin materials, including stainless steel, quickly and smoothly  1/4"" Hex Shank for use in QCD (quick-change driver)  Thin wall construction and three carbide tips for fast drilling  and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 1/4"" Carbide Tipped Hole Cutter","1 1/4"" Carbide Tipped Hole Cutter"
1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,CT5 1 1/8,"1 1/8"" Carbide Tipped Hole Cutter","1 1/8"" Carbide Tipped Hole Cutter",E:\IMAGES\ITEMS\product\C\T\Champion-Cutting-Tools-1-18-Carbide-Tipped-Hole.jpg,Champion Cutting Tools,"1 1/8"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills   Cut thin materials, including stainless steel, quickly and smoothly  1/4"" Hex Shank for use in QCD (quick-change driver)  Thin wall construction and three carbide tips for fast drilling  and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 1/8"" Carbide Tipped Hole Cutter","1 1/8"" Carbide Tipped Hole Cutter"
1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,CT5 1 3/4,"1 3/4"" Carbide Tipped Hole Cutter","1 3/4"" Carbide Tipped Hole Cutter",E:\IMAGES\ITEMS\product\C\T\Champion-Cutting-Tools-1-34-Carbide-Tipped-Hole.jpg,Champion Cutting Tools,"1 3/4"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills   Cut thin materials, including stainless steel, quickly and smoothly  1/4"" Hex Shank for use in QCD (quick-change driver)  Thin wall construction and three carbide tips for fast drilling  and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 3/4"" Carbide Tipped Hole Cutter","1 3/4"" Carbide Tipped Hole Cutter"
1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,CT5 1 3/8,"1 3/8"" Carbide Tipped Hole Cutter","1 3/8"" Carbide Tipped Hole Cutter",E:\IMAGES\ITEMS\product\C\T\Champion-Cutting-Tools-1-38-Carbide-Tipped-Hole.jpg,Champion Cutting Tools,"1 3/8"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills   Cut thin materials, including stainless steel, quickly and smoothly  1/4"" Hex Shank for use in QCD (quick-change driver)  Thin wall construction and three carbide tips for fast drilling  and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 1 3/8"" Carbide Tipped Hole Cutter","1 3/8"" Carbide Tipped Hole Cutter"
1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,CT5 11/16,"11/16"" Carbide Tipped Hole Cutter","11/16"" Carbide Tipped Hole Cutter",E:\IMAGES\ITEMS\product\C\T\Champion-Cutting-Tools-1116-Carbide-Tipped-Hole.jpg,Champion Cutting Tools,"11/16"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills   Cut thin materials, including stainless steel, quickly and smoothly  1/4"" Hex Shank for use in QCD (quick-change driver)  Thin wall construction and three carbide tips for fast drilling  and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 11/16"" Carbide Tipped Hole Cutter","11/16"" Carbide Tipped Hole Cutter"
1159|24834,Carbide Tip Hole Saws - Metal Drill Bits|Carbide Hole Cutters,CT5 13/16,"13/16"" Carbide Tipped Hole Cutter","13/16"" Carbide Tipped Hole Cutter",E:\IMAGES\ITEMS\product\C\T\Champion-Cutting-Tools-1316-Carbide-Tipped-Hole.jpg,Champion Cutting Tools,"13/16"" Carbide Tipped Hole Cutter","Deliver ""more holes per charge"" in battery-powered drills   Cut thin materials, including stainless steel, quickly and smoothly  1/4"" Hex Shank for use in QCD (quick-change driver)  Thin wall construction and three carbide tips for fast drilling  and reduced drag","Special tungsten carbide teethExcellent wear and heat resistanceCuts stainless steel and tough alloysEjector Spring ejects the slug, saving time1/4"" hex shank: no assembly required and stable accurate drillingSafety Collar Stop: Prevents over penetration for safer faster operation",,"Champion Cutting Tools - 13/16"" Carbide Tipped Hole Cutter","13/16"" Carbide Tipped Hole Cutter"
