category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
25812,Disposable Gloves,7005S,7005 Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005s-7005-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, N-DEX 7005 provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protection hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue Latex-free 100% nitrile Low-modulus formulation 0,10mm (4 mil) thick Lightly powdered",,,small,7005 Disposable Gloves
25812,Disposable Gloves,7005M,7005 Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005m-7005-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, N-DEX 7005 provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protection hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue Latex-free 100% nitrile Low-modulus formulation 0,10mm (4 mil) thick Lightly powdered",,,medium,7005 Disposable Gloves
25812,Disposable Gloves,7005L,7005 Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005l-7005-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, N-DEX 7005 provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protection hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue Latex-free 100% nitrile Low-modulus formulation 0,10mm (4 mil) thick Lightly powdered",,,large,7005 Disposable Gloves
25812,Disposable Gloves,7005XL,7005 Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005xl-7005-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, N-DEX 7005 provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protection hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue Latex-free 100% nitrile Low-modulus formulation 0,10mm (4 mil) thick Lightly powdered",,,extra large,7005 Disposable Gloves
25812,Disposable Gloves,7005XXL,7005 Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005xxl-7005-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, N-DEX 7005 provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protection hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue Latex-free 100% nitrile Low-modulus formulation 0,10mm (4 mil) thick Lightly powdered",,,extra extra large,7005 Disposable Gloves
25812,Disposable Gloves,7005XXXL,7005 Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005xxxl-7005-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, N-DEX 7005 provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protection hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue Latex-free 100% nitrile Low-modulus formulation 0,10mm (4 mil) thick Lightly powdered",,,extra extra extra large,7005 Disposable Gloves
25812,Disposable Gloves,7005PFXS,7005PF Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005pfxs-7005pf-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, this N-DEX glove provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protects hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue 100% Nitrile, latex-free Powder-free Low-modulus formulation Rolled cuff 4 mil thick, 9.5"" long",,,extra small,7005PF Disposable Gloves
25812,Disposable Gloves,7005PFS,7005PF Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005pfs-7005pf-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, this N-DEX glove provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protects hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue 100% Nitrile, latex-free Powder-free Low-modulus formulation Rolled cuff 4 mil thick, 9.5"" long",,,small,7005PF Disposable Gloves
25812,Disposable Gloves,7005PFM,7005PF Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005pfm-7005pf-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, this N-DEX glove provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protects hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue 100% Nitrile, latex-free Powder-free Low-modulus formulation Rolled cuff 4 mil thick, 9.5"" long",,,medium,7005PF Disposable Gloves
25812,Disposable Gloves,7005PFL,7005PF Disposable Gloves,,E:\IMAGES\ITEMS\product\7\0\showa-glove-7005pfl-7005pf-disposable-gloves.jpg,Showa Glove,,"The world’s first 100% nitrile disposable glove, this N-DEX glove provides unmatched dexterity and performance across a range of tactical applications using revolutionary SHOWA technology.  Superior durability and versatile performance Protects hands from an array of chemical hazards  Low-modulus nitrile formulation reduces risk of allergies Rolled cuff prevents dirt from entering the glove Second-skin feel significantly reduces hand fatigue 100% Nitrile, latex-free Powder-free Low-modulus formulation Rolled cuff 4 mil thick, 9.5"" long",,,large,7005PF Disposable Gloves
