category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
19599,Film Tape,100742,VP 410 Line Set Tape - 75mm x 33m - Green - 1 Case (18 Rolls),,E:\IMAGES\ITEMS\product\1\0\shurtape-100742-vp-410-line-set-tape-75mm-x-33m-green-1-case-18-rolls.jpg,Shurtape,,"UV-resistant SPVC line set tape, available in a variety of colors, used for general purpose floor, lane and aisle marking, color-coding and identification applications, as well as in the HVAC industry to wrap line sets, seam Rubatex and Armaflex, and insulate air ducts and underground pipes. VP 410 is engineered with a non-corrosive adhesive and flexible backing; can be used in extensive temperature, moisture and humid conditions; and meets OSHA color-coding requirements.",,,75mm x 33m / Green / 1 Case (18 Rolls),VP 410 Line Set Tape - 75mm x 33m - Green - 1 Case (18 Rolls)
19599,Film Tape,100744,VP 410 Line Set Tape - 75mm x 33m - Orange - 1 Case (18 Rolls),,E:\IMAGES\ITEMS\product\1\0\shurtape-100744-vp-410-line-set-tape-75mm-x-33m-orange-1-case-18-rolls.jpg,Shurtape,,"UV-resistant SPVC line set tape, available in a variety of colors, used for general purpose floor, lane and aisle marking, color-coding and identification applications, as well as in the HVAC industry to wrap line sets, seam Rubatex and Armaflex, and insulate air ducts and underground pipes. VP 410 is engineered with a non-corrosive adhesive and flexible backing; can be used in extensive temperature, moisture and humid conditions; and meets OSHA color-coding requirements.",,,75mm x 33m / Orange / 1 Case (18 Rolls),VP 410 Line Set Tape - 75mm x 33m - Orange - 1 Case (18 Rolls)
19599,Film Tape,100759,VP 410 Line Set Tape - 75mm x 33m - Dark Blue - 1 Case (18 Rolls),,E:\IMAGES\ITEMS\product\1\0\shurtape-100759-vp-410-line-set-tape-75mm-x-33m-dark-blue-1-case-18-rolls.jpg,Shurtape,,"UV-resistant SPVC line set tape, available in a variety of colors, used for general purpose floor, lane and aisle marking, color-coding and identification applications, as well as in the HVAC industry to wrap line sets, seam Rubatex and Armaflex, and insulate air ducts and underground pipes. VP 410 is engineered with a non-corrosive adhesive and flexible backing; can be used in extensive temperature, moisture and humid conditions; and meets OSHA color-coding requirements.",,,75mm x 33m / Dark Blue / 1 Case (18 Rolls),VP 410 Line Set Tape - 75mm x 33m - Dark Blue - 1 Case (18 Rolls)
19603,Packaging Tapes,101072,FP 97 General Purpose Grade Flatback Kraft Paper Tape - 48mm x 55m - Kraft - 1 Case (24 Rolls),,E:\IMAGES\ITEMS\product\1\0\shurtape-101072-fp-97-general-purpose-grade-flatback-kraft-paper-tape-48mm-x-55m-kraft-1-case-24-rolls.jpg,Shurtape,,"General purpose grade flatback paper tape used for hand and machine carton sealing, as well as splicing and general purpose packaging, binding, holding, tabbing, reinforcing, banding and patching applications. Constructed with an aggressive adhesive that offers excellent holding power and a strong, flexible kraft backing, FP 97 meets FDA specifications for indirect food contact.",,,48mm x 55m / Kraft / 1 Case (24 Rolls),FP 97 General Purpose Grade Flatback Kraft Paper Tape - 48mm x 55m - Kraft - 1 Case (24 Rolls)
19603,Packaging Tapes,101073,FP 97 General Purpose Grade Flatback Kraft Paper Tape - 72mm x 55m - Kraft - 1 Case (16 Rolls),,E:\IMAGES\ITEMS\product\1\0\shurtape-101073-fp-97-general-purpose-grade-flatback-kraft-paper-tape-72mm-x-55m-kraft-1-case-16-rolls.jpg,Shurtape,,"General purpose grade flatback paper tape used for hand and machine carton sealing, as well as splicing and general purpose packaging, binding, holding, tabbing, reinforcing, banding and patching applications. Constructed with an aggressive adhesive that offers excellent holding power and a strong, flexible kraft backing, FP 97 meets FDA specifications for indirect food contact.",,,72mm x 55m / Kraft / 1 Case (16 Rolls),FP 97 General Purpose Grade Flatback Kraft Paper Tape - 72mm x 55m - Kraft - 1 Case (16 Rolls)
19599,Film Tape,102744,BT 100 Non-Adhesive Barricade Tape - 3in x 300ft - Yellow - 1 Roll,,E:\IMAGES\ITEMS\product\1\0\shurtape-102744-bt-100-non-adhesive-barricade-tape-3in-x-300ft-yellow-1-roll.jpg,Shurtape,,"Non-adhesive barricade tape for marking restricted areas and managing access to work sites by professionals in the safety, construction, utilities, hardware and other industries. BT 100 features 2-inch letters that are easy to read, is resistant to moisture and humidity and resists sagging for long-term use, even when stretched over long distances.",,,3in x 300ft / Yellow / 1 Roll,BT 100 Non-Adhesive Barricade Tape - 3in x 300ft - Yellow - 1 Roll
19599,Film Tape,104067,PE 333 Non-UV-Resistant Polyethylene Tape - 48mm x 55m - Red - 1 Case (24 Rolls),,E:\IMAGES\ITEMS\product\1\0\shurtape-104067-pe-333-non-uv-resistant-polyethylene-tape-48mm-x-55m-red-1-case-24-rolls.jpg,Shurtape,,"Non-UV-resistant polyethylene film tape used to mask surfaces, such as windows and doors, during stucco application and painting, as well as for seaming underslab vapor barriers and holding poly-sheeting when building containments. Designed with a special, high-tack synthetic adhesive, PE 333 maintains a watertight seal, even in severe environments and weather conditions, and removes cleanly when the job is done.",,,48mm x 55m / Red / 1 Case (24 Rolls),PE 333 Non-UV-Resistant Polyethylene Tape - 48mm x 55m - Red - 1 Case (24 Rolls)
19599,Film Tape,104068,PE 333 Non-UV-Resistant Polyethylene Tape - 72mm x 55m - Red - 1 Case (16 Rolls),,E:\IMAGES\ITEMS\product\1\0\shurtape-104068-pe-333-non-uv-resistant-polyethylene-tape-72mm-x-55m-red-1-case-16-rolls.jpg,Shurtape,,"Non-UV-resistant polyethylene film tape used to mask surfaces, such as windows and doors, during stucco application and painting, as well as for seaming underslab vapor barriers and holding poly-sheeting when building containments. Designed with a special, high-tack synthetic adhesive, PE 333 maintains a watertight seal, even in severe environments and weather conditions, and removes cleanly when the job is done.",,,72mm x 55m / Red / 1 Case (16 Rolls),PE 333 Non-UV-Resistant Polyethylene Tape - 72mm x 55m - Red - 1 Case (16 Rolls)
19596,Duct and Cloth Tapes,104187,PC 9 Contractor Grade Co-Extruded Duct Tape - 72mm x 55m - Silver - 1 Roll,,E:\IMAGES\ITEMS\product\1\0\shurtape-104187-pc-9-contractor-grade-co-extruded-duct-tape-72mm-x-55m-silver-1-roll.jpg,Shurtape,,"Contractor grade cloth duct tape featuring aggressive adhesive and cold temperature performance for sealing, seaming, repairing, holding and waterproofing applications, as well as for tasks in the restoration industry, such as holding poly-sheeting. A co-extruded, repair duct tape, PC 9 provides superior adhesion with quick stick; excellent holding power for indoor and outdoor use; and easy tearability to finish jobs with speed and ease.",,,72mm x 55m / Silver / 1 Roll,PC 9 Contractor Grade Co-Extruded Duct Tape - 72mm x 55m - Silver - 1 Roll
19594,Double-Sided Tapes,104333,"DS 154 Professional Grade, Double-Sided Containment Tape - 48mm x 25yd - Natural - 1 Roll",,E:\IMAGES\ITEMS\product\1\0\shurtape-104333-ds-154-professional-grade-double-sided-containment-tape-48mm-x-25yd-natural-1-roll.jpg,Shurtape,"Professional grade, double-sided containment tape used for creating high-performance containment systems for restoration, abatement and remodeling tasks such as painting, cleaning, sanding, mold remediation, asbestos removal and more. Offering a premium g",,48mm x 25yd / Natural / 1 Roll,,,"DS 154 Professional Grade, Double-Sided Containment Tape - 48mm x 25yd - Natural - 1 Roll"
