category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1774|26885,Rebar Chairs|Bar Chairs,PCC,Castle Chair Plastic Support,"Application: On-Grade, Single Mat: Rebar or Wire Mesh, Bottom Layer Double Mat: Rebar or Wire Mesh, Precast, Tilt-Wall, Insulated “Sandwich"" Panels",E:\IMAGES\ITEMS\product\P\C\Dayton-Superior-Castle-Chair-Plastic.jpg,Dayton Superior,"Application: On-Grade, Single Mat: Rebar or Wire Mesh, Bottom Layer Double Mat: Rebar or Wire Mesh, Precast, Tilt-Wall, Insulated ""Sandwich"" Panels","Heavy-duty, stackable design Fits up to #8 rebar Perfect for use on insulating foam or non-penetrable vapor barriers Most stable on-grade chair available Supports over 500 Ibs Each chair comes in two height combinations reducing inventory Cover Height: From 1-1/2"" to 6-1/4"" (1/4"" increments)",Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute (CRSI).,,Dayton Superior Castle Chair Plastic Support,Castle Chair Plastic Support
301,Grout,1107 Advantage Grout,1107 Advantage Grout,Dayton Superior 1107 Advantage Grout,E:\IMAGES\ITEMS\product\1\1\Dayton-Superior-1107-Advantage.jpg,Dayton Superior,Grouts (Non-shrink),"Controlled, net positive expansion Non shrink Non metallic/non corrosive Pourable/pumpable Resistant to heat and thermal shock Interior/exterior applications Resists water and salt penetration and damage from freeze-thaw cycles","Description 1107 Advantage Grout is a non-shrink, non-corrosive, non-metallic grout. It is formulated as a cement-based product with high quality raw materials. 1107 Advantage Grout offers pumpability, heat and thermal shock resistance and provides controlled, net positive expansion. Purpose 1107 Advantage Grout is designed for interior and exterior grouting of precast concrete components, structural column base plates, pump and machinery bases, anchoring bolts, rebars, dowels, bearing pads, keyway joints and crane rails. It finds applications in paper mills, oil refineries, food plants, chemical plants, sewage and water treatment plants etc.",,Dayton Superior 1107 Advantage Grout,1107 Advantage Grout
301|26782,Grout|Grout Pumps,HD-50,Concrete Repair,Dayton Superior HD-50 Concrete Repair,E:\IMAGES\ITEMS\product\H\D\Dayton-Superior-HD-50-Concrete.jpg,Dayton Superior,,,"Description Rapid-Setting, Heavy-Duty, Flowable Repair Mortar. Purpose HD-50 is a fast setting, fiber reinforced, latex modified, heavy duty concrete repair mortar designed for areas where a rapid strength gain is required to minimize downtime. HD-50 is a cement based compound having similar characteristics to normal portland cement mixes and is bondable and compatible with portland cement concrete. It does not contain chlorides or magnesium phosphates. HD-50 is a one component product requiring only water to mix and apply, simplifying restoration of concrete surfaces. Areas repaired with HD-50 can be opened to traffic within one hour because the compressive strength of the patch is already in excess of 2,000 psi.",,Dayton Superior HD-50 Concrete Repair,Concrete Repair
284|26927,Form Oil | Releases|Form Treatments,Magic Kote,Magic Kote,"Magic Kote® is a V.O.C. compliant, ready-to-use, petroleum based, chemically neutral, diesel free concrete form release. Magic Kote® is water insoluble and contains no waxes. Magic Kote® effectively prevents bonding of concrete to forms and formliners. Us",E:\IMAGES\ITEMS\product\M\a\Magic.jpg,Dayton Superior,"Magic Kote is a ready-to-use, petroleum based, chemically neutral, diesel free concrete form release. Magic Kote is water insoluble and contains no waxes. Magic Kote effectively prevents bonding of concrete to forms and formliners. Use of Magic Kote regularly will increase the life of all forms.",Positive release ¦ Helps to reduce dusting of concrete ¦ Increases the life of both wood and steel forms ¦ Helps prevent deterioration and corrosion of steel.,"Magic Kote&reg; chemically releases hardened concrete from steel, aluminum, plywood, and composition forms.",,"Dayton Superior Magic Kote Pails, Drums & Totes",Magic Kote
1774|26885,Rebar Chairs|Bar Chairs,R-22,"2"" Mesh Chair with Sand Plate","Dayton Superior R-22 2"" Mesh Chair with Sand Plate",E:\IMAGES\ITEMS\product\R\2\2-Mesh-Chair-with-Sand.jpg,Dayton Superior,"Dayton Superior R-22 2"" Mesh Chair with Sand Plate","Plastic mesh chairs are available for mesh support at heights from 1"" through 6"". A square base is also available.",,,"Dayton Superior R-22 2"" Mesh Chair with Sand Plate","2"" Mesh Chair with Sand Plate"
319|26727,Concrete Glue|Concrete Glue,J-40,Acrylic Bonding Agent,"A ready to use, non-reemulsifiable acrylic admixture and bonding agent designed to improve the adhesion and durability of concrete, masonry, stucco, terrazzo and portland cement-sand mixes to horizontal and vertical concrete and other surfaces.",E:\IMAGES\ITEMS\product\J\4\Dayton-Superior-J-40-Acrylic-Bonding.jpg,Dayton Superior,"A ready to use, non-reemulsifiable acrylic admixture and bonding agent designed to improve the adhesion and durability of concrete, masonry, stucco, terrazzo and portland cement-sand mixes to horizontal and vertical concrete and other surfaces.","Excellent bonding agent with superior adhesive strength Non-reemulsifiable As an admixture - dramatically increases durability, moisture resistance, adhesion, and curing Interior/exterior applications Improves freeze/thaw resistance for mortars, patches and cement based coatings V.O.C. Compliant Comes in 5gal and 1gal","Acrylic Bonding Agent J40 is an excellent acrylic latex emulsion used for bonding new to new or new to old concrete in interior or exterior applications. Acrylic Bonding Agent J40 is extremely effective when used as an admixture with cementitious products such as patching compounds, masonry coatings, cement plasters, and masonry mortars. As an admixture, it not only promotes a strong bond, but also improves the curing, long term durability and resistance to moisture and cracking of the finished product",,Dayton Superior J-40 Acrylic Bonding Agent,Acrylic Bonding Agent
283|26925,Curing Compounds|Curing Compound,J-11W,Dayton Clear Resin Cure,"Clear Resin Cure J11W is an all resin, dissipating water-based curing compound.",E:\IMAGES\ITEMS\product\J\1\Clear-Resin.jpg,Dayton Superior,"Clear Resin Cure J11W is an all resin, dissipating water-based curing compound.",¦ Water based ¦ Meets ASTM C-309 ¦ Approved by numerous state highway departments ¦ Clean-up with water ¦ Dissipating Resin Cure,"A ready-to-use dissipating water-based resin curing compound for use on freshly finished horizontal and vertical concrete surfaces. Clear Resin Cure J11W is formulated to provide an effective curing membrane that will begin to dissipate after exposure to sunlight, weathering and/or traffic.",,Dayton Superior J-11W Clear Resin Cure 55 gal,Dayton Clear Resin Cure
284|26927,Form Oil | Releases|Form Treatments,309372,Clean Strip,"Clean Strip™ J1A chemically releases hardened concrete from steel, aluminum, plywood, and composition forms.",E:\IMAGES\ITEMS\product\3\0\Clean-Strip.jpg,Dayton Superior,"Clean Strip™ J1A chemically releases hardened concrete from steel, aluminum, plywood, and composition forms.",Chemically reactive Positive release Increases the life of both wood and steel forms Helps prevent deterioration and corrosion of steel Light citrus scent VOC compliant in all regions,"Clean Strip™ J1A is a V.O.C. compliant, ready-to-use, petroleum based, chemically reactive concrete form release. Clean Strip™ J1A effectively prevents bonding of concrete to forms and formliners. Use of Clean Strip™ J1A regularly will increase the life of all forms.",,275 gallon tote,Clean Strip
1774|26885,Rebar Chairs|Bar Chairs,PBC,"6-3/4"" - 7"" Tower Bar Chair",Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute (CRSI).,E:\IMAGES\ITEMS\product\P\B\Dayton-Superior-PBC-6-34-7-Tower-Bar.jpg,Dayton Superior,Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute (CRSI).,"Standard ""Concrete Gray"" color Minimal surface contact Designed for maximum aggregate flow and concrete consolidation Fits up to #8 rebar Tower chair straddles lower rebar mat in double mat applicationsMeets all requirements and qualifies as a CRSI Class 1 Bar Support.","Application Single Mat: Rebar or Wire Mesh, Bottom Layer Double Mat: Rebar or Wire Mesh, Tilt Wall, Side-Form Spacer, On-Grade: when used with Sand Plate Cover Height From 3/4"" to 10"" (1/4"" increments)",,"Dayton Superior PBC 6-3/4"" - 7"" Tower Bar Chair","6-3/4"" - 7"" Tower Bar Chair"
903|26865,Tilt Up (INACTIVE)|Tilt Up,T-13,"3/4"" x 6"" Coil-Anchor",Bracing System,E:\IMAGES\ITEMS\product\T\1\Dayton-Superior-T-13-34-x-6-Coil.jpg,Dayton Superior,Bracing System,,"The Dayton Superior T-13 Coil-Anchor is a drill-in expansion anchor designed for use in the floor slabs of tilt-up buildings to attach and anchor wall braces. Each T-13 plug includes the bolt, one cut washer and one 4 Turn Coil Tang. Available in 3/4"" diameter x 4-1/2"" or 6"" lengths as specified.",,"Dayton Superior T-13 3/4"" x 6"" Coil-Anchor","3/4"" x 6"" Coil-Anchor"
