category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1760|1759|1754|25808,Safety Kevlar Gloves|Safety Knit Gloves|Safety Latex | Coated Gloves|Coated Gloves,06-K1650,Kevlar Nitrile Coated Gloves,,E:\IMAGES\ITEMS\product\0\6\Protective-Industrial-Products-06-K1650-Kevlar-Nitrile.jpg,Protective Industrial Products,,"Kevlar® blend with ActivGrip™ nitrile coated palm & fingers with MicroFinish™, medium weight. Material: Kevlar®, nitrile Color: Black and Yellow Cuff Style: Elastic Knit Cut resistance - ActivGrip™ Advance KEV together with Kevlar, a choice for bullet resistant vests, offers the high assurance of cut resistant protection. Oil Resistant - ActivGrip™ Advance KEV offers promising protection to oil penetration. Double coated surface keeps hands clean for oily handling. Confidence - With MicroFinish™ technology, the Advance KEV provides excellent grip to reduce slippage of sharp objects under dry, wet and oily conditions. Comfort - A 13-gauge seamless liner and ergonomic design assures maximum comfort with minimum hand fatigue.",,,Protective Industrial Products 06-K1650 Kevlar Nitrile Coated Gloves,Kevlar Nitrile Coated Gloves
1755|1758|25826,Safety Cotton Gloves|Safety Leather Gloves|Leather Palm Gloves,84-7533,Double Palm Leather Style Gloves,,E:\IMAGES\ITEMS\product\8\4\Protective-Industrial-Products-84-7533-Double-Palm-Leather.jpg,Protective Industrial Products,,"“B/C” grade split cowhide leather double palm glove, blue, black & red striped fabric back, cotton lined palm, rubberized safety cuff, wing thumb, brown cotton binding. Material: Cowhide Leather, Cotton Color: Natural Cuff Style: Rubberized safety cuff “B/C” grade split cowhide construction Excellent dexterity and abrasion resistance. Leather knucklestrap and ? nger tips for extra protection. Consistent grading and superior workmanship.",,,Protective Industrial Products 84-7533 Double Palm Leather Style Gloves,Double Palm Leather Style Gloves
1758|25826,Safety Leather Gloves|Leather Palm Gloves,68-153,Unlined Leather and Top Grain Cowhide Driver's Gloves,,E:\IMAGES\ITEMS\product\6\8\Protective-Industrial-Products-68-153-Unlined-Leather-and.jpg,Protective Industrial Products,,"Men’s top grain cowhide leather driver glove, straight thumb, unlined, pull strap closure, color cotton binding. Material: Cowhide Leather Color: Natural Cuff Style: Slip On All leather top grain cowhide construction. Excellent dexterity and abrasion resistance. Consistent grading and superior workmanship. Pull strap closure.",,,Protective Industrial Products 68-153 Unlined Leather and Top Grain Cowhide Driver's Gloves,Unlined Leather and Top Grain Cowhide Driver's Gloves
25808,Coated Gloves,120-4000,Mad Max Gloves,,E:\IMAGES\ITEMS\product\1\2\Protective-Industrial-Products-120-4000-Mad-Max.jpg,Protective Industrial Products,,"Maximum Safety® Mad Max professional workman’s glove, black synthetic leather palm with PVC reinforcement, hi-vis lime yellow back with molded TPR reinforcements, airprene wrists. Material: Spandex/nylon/polyurethane Color: Hi-vis Lime Yellow and Black Cuff Style: Open Cuff PVC diamond grip synthetic leather palm; Hi Viz lime foam laminated spandex fabric back; TPR Molded knuckle guards and back hand guards; Diamond grip PVC impregnated fingertips & thumb crotch reinforcements; Foam padded knuckle protection; Breathable airprene wrist; Vented Lycra fabric vent & heavy Lycra fabric bottom fourchettes; Synthetic leather upper fourchettes;",,,Protective Industrial Products 120-4000 Mad Max Gloves,Mad Max Gloves
1759|1754|25808|25825,Safety Knit Gloves|Safety Latex | Coated Gloves|Coated Gloves|Knit Gloves,41-1400,Microfinished Latex and Hi-Vis Acrylic Glove,,E:\IMAGES\ITEMS\product\4\1\Protective-Industrial-Products-41-1400-Microfinished-Latex.jpg,Protective Industrial Products,,"ThermoGrip™, hi-vis orange acrylic terry shell, brown MicroFinish™ latex grip, 10 gauge. Material: Acrylic terry liner and MicroFinish™ Latex Color: : Orange Knit with Brown Latex Cuff Style: Continuous knit Seamless construction for comfortable fit; Excellent thermal insulation; Quickly evaporates moisture from the skin; Extra softness for non-chafing comfort; Excellent launderability characteristics.",,,Protective Industrial Products 41-1400 Microfinished Latex and Hi-Vis Acrylic Glove,Microfinished Latex and Hi-Vis Acrylic Glove
166|26691,Goggles|Welding Goggles,250-50-0420,Fuselage Goggles,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-Fuselage.jpg,Protective Industrial Products,,"Fuselage dust goggles, full frame, detachable temples and strap. Lens Material: Polycarbonate Lens Coating: Hard Coat, Anti-Fog Frame Design: Polycarbonate Full Frame, Rubber Padding, Detachable Temple and Strap Frame Color: Black with Gray Foam Soft rubber temple and bridge pads provide a comfortable and secure fit; Black frame with gray flame retardant foam; Three options of tinting on hard coat anti-fog lenses offers the user the right shade for every application; Detachable temples and strap; Meets ANSI Z87.1+ High Impact Requirements; Meets CSA Z94.3-2007 standards (gray and clear lens options).",,,Lens - Clear,Fuselage Goggles
166|26691,Goggles|Welding Goggles,250-50-0421,Fuselage Goggles,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-Fuselage.jpg,Protective Industrial Products,Protective Industrial Products Fuselage Goggles,"Fuselage dust goggles, full frame, detachable temples and strap. Lens Material: Polycarbonate Lens Coating: Hard Coat, Anti-Fog Frame Design: Polycarbonate Full Frame, Rubber Padding, Detachable Temple and Strap Frame Color: Black with Gray Foam Soft rubber temple and bridge pads provide a comfortable and secure fit; Black frame with gray flame retardant foam; Three options of tinting on hard coat anti-fog lenses offers the user the right shade for every application; Detachable temples and strap; Meets ANSI Z87.1+ High Impact Requirements; Meets CSA Z94.3-2007 standards (gray and clear lens options).",,,Lens - Gray,Fuselage Goggles
166|26691,Goggles|Welding Goggles,250-50-0429,Fuselage Goggles,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-Fuselage.jpg,Protective Industrial Products,Protective Industrial Products Fuselage Goggles,"Fuselage dust goggles, full frame, detachable temples and strap. Lens Material: Polycarbonate Lens Coating: Hard Coat, Anti-Fog Frame Design: Polycarbonate Full Frame, Rubber Padding, Detachable Temple and Strap Frame Color: Black with Gray Foam Soft rubber temple and bridge pads provide a comfortable and secure fit; Black frame with gray flame retardant foam; Three options of tinting on hard coat anti-fog lenses offers the user the right shade for every application; Detachable temples and strap; Meets ANSI Z87.1+ High Impact Requirements; Meets CSA Z94.3-2007 standards (gray and clear lens options).",,,Lens - Amber,Fuselage Goggles
164|25635,Safety Glasses|Safety Glasses,250-06-0000,ZenonZ13 Glasses,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-06-0000-ZenonZ13.jpg,Protective Industrial Products,,"Zenon Z13 safety eyewear, rimless front, flared bridge, flexible temples. Lens Material: Polycarbonate Lens Coating: Hard Coat Frame Design: Rimless front, Polycarbonate Frame Color: Clear Temples Lightweight, rimless design provides all day user comfort; Flared bridge design ensure a great fit for the user; Matching temple and lens color provides a solid looking frame; Exceeds ANSI Z87.1+ High Impact Requirements; Lens variety assures a style for any application.",,,Protective Industrial Products 250-06-0000 ZenonZ13 Glasses,ZenonZ13 Glasses
164|166|25632,Safety Glasses|Goggles|Protective Goggles,250-99-0900,The Scout Goggles,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-99-0900-The-Scout.jpg,Protective Industrial Products,,"Zenon Z13 safety eyewear, rimless front, flared bridge, flexible temples. Lens Material: Polycarbonate Lens Coating: Hard Coat Frame Design: Full frame, Vented Temples Frame Color: Clear Polycarbonate unilens; Hard coat lens available to resist scratching; Can be worn over prescription eyewear; Vented temples for reduced fogging; Exceeds ANSI Z87.1-2003+ High Impact Requirements.",,,Protective Industrial Products 250-99-0900 The Scout Goggles,The Scout Goggles
166|26691,Goggles|Welding Goggles,251-5300-000,5200 Contempo Goggles,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-251-5300-000-5200-Contempo.jpg,Protective Industrial Products,,"Bouton 5300 Contempo Goggles, indirect vent, full polycarbonate frame, anti-scratch lenses, elastic braid strap with adjustable buckle. Lens Material: Polycarbonate, 0.080 CT Frame: Light Blue Transparent Universal goggle design; Indirect ventilation, channels across top and bottom for air flow; Meets ANSI Z87.1+ High Impact Requirements; Frame splits at nose for comfort fit; Pliable one-piece frame;",,,Protective Industrial Products 251-5300-000 5200 Contempo Goggles,5200 Contempo Goggles
164|25635,Safety Glasses|Safety Glasses,250-71-0000,TranZmission Glasses,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-71-0000-TranZmission.jpg,Protective Industrial Products,,"TranZmission safety eyewear, lightweight rimless frame, unique patented temple design, molded bridge. Coating: Anti-Scratch Lens Material: Polycarbonate Frame Design: Rimless, Molded Bridge, Dielectric Temple: Light Blue Transparent Unique contour of the temple arms ensures a secure fit with no uncomfortable pressure points; Molded nose bridge design to fit the vast majority of users;  Dielectric, non-conductive frame; Meets ANSI Z87.1+ 2010.",,,Lens - Clear,TranZmission Glasses
164|25635,Safety Glasses|Safety Glasses,250-71-0002,TranZmission Glasses,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-71-0000-TranZmission.jpg,Protective Industrial Products,Protective Industrial Products 250-71-0002 TranZmission Glasses,"TranZmission safety eyewear, lightweight rimless frame, unique patented temple design, molded bridge. Coating: Anti-Scratch Lens Material: Polycarbonate Frame Design: Rimless, Molded Bridge, Dielectric Temple: Light Blue Transparent Unique contour of the temple arms ensures a secure fit with no uncomfortable pressure points; Molded nose bridge design to fit the vast majority of users;  Dielectric, non-conductive frame; Meets ANSI Z87.1+ 2010.",,,Lens - Gray,TranZmission Glasses
164|25635,Safety Glasses|Safety Glasses,250-01-0900,Zenon Z12 Glasses,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-01-0900-Zenon-Z12.jpg,Protective Industrial Products,,"Zenon Z12 safety eyewear, rimless front, flexible temples. Lens Material: Polycarbonate Frame Design: Rimless Front, Polycarbonate Saddle bridge design fits most wearers; Thin, flexible temples provide secure fit without pinching; Rimless design for light weight; Meets ANSI Z87+ standard; Lens variety assures a style for any application.",,,"Lens Color - Gray, Coating - Silver Mirror, Frame Color - Black Temples",Zenon Z12 Glasses
164|25635,Safety Glasses|Safety Glasses,250-01-0005,Zenon Z12 Glasses,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-01-0900-Zenon-Z12.jpg,Protective Industrial Products,Protective Industrial Products 250-01-0005 Zenon Z12 Glasses,"Zenon Z12 safety eyewear, rimless front, flexible temples. Lens Material: Polycarbonate Frame Design: Rimless Front, Polycarbonate Saddle bridge design fits most wearers; Thin, flexible temples provide secure fit without pinching; Rimless design for light weight; Meets ANSI Z87+ standard; Lens variety assures a style for any application.",,,"Lens Color - Clear, Coating - Hard Coat, Frame Color - Blear Temples",Zenon Z12 Glasses
164|25635,Safety Glasses|Safety Glasses,250-27-0020,Zenon Z12R Glasses,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-27-0020-Zenon-Z12R.jpg,Protective Industrial Products,,"Zenon Z12R bi-focal safety eyewear, rimless front, frame with rubber tip ends. Lens Material: Polycarbonate Lens Color: Clear Frame Design: Rimless Front, Rubber Tip End Frame Color: Clear Temples 28mm wide reading magnifier provides wearer with enough lens to view work; Molded bridge design fits most wearers; Thin, flexible temples provide secure fit without pinching; Rimless design for light weight; Meets ANSI Z87+ standard.",,,"Bifocal +2.00, Hard Coat",Zenon Z12R Glasses
164|25635,Safety Glasses|Safety Glasses,250-27-0017,Zenon Z12R Glasses,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-27-0020-Zenon-Z12R.jpg,Protective Industrial Products,Protective Industrial Products 250-27-0017 Zenon Z12R Glasses,"Zenon Z12R bi-focal safety eyewear, rimless front, frame with rubber tip ends. Lens Material: Polycarbonate Lens Color: Clear Frame Design: Rimless Front, Rubber Tip End Frame Color: Clear Temples 28mm wide reading magnifier provides wearer with enough lens to view work; Molded bridge design fits most wearers; Thin, flexible temples provide secure fit without pinching; Rimless design for light weight; Meets ANSI Z87+ standard.",,,"Bifocal +1.75, Hard Coat",Zenon Z12R Glasses
164|25635,Safety Glasses|Safety Glasses,250-27-0025,Zenon Z12R Glasses,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-27-0020-Zenon-Z12R.jpg,Protective Industrial Products,Protective Industrial Products 250-27-0025 Zenon Z12R Glasses,"Zenon Z12R bi-focal safety eyewear, rimless front, frame with rubber tip ends. Lens Material: Polycarbonate Lens Color: Clear Frame Design: Rimless Front, Rubber Tip End Frame Color: Clear Temples 28mm wide reading magnifier provides wearer with enough lens to view work; Molded bridge design fits most wearers; Thin, flexible temples provide secure fit without pinching; Rimless design for light weight; Meets ANSI Z87+ standard.",,,"Bifocal +2.50, Hard Coat",Zenon Z12R Glasses
26141,High Visibility & Cooling Vests,303-0500,Class 3 Surveyor's Vest,,E:\IMAGES\ITEMS\product\3\0\Protective-Industrial-Products-303-0500-Class-3-Surveyors.jpg,Protective Industrial Products,,"Hi-visibility surveyor's vest, ANSI 107 Class 3, solid front, mesh back, zipper closure, 6 pockets, two-tone contrast tape and mic tabs, available in orange or yellow. Material: 100% Polyester Color: Yellow or Orange Polyester mesh and solid fabric; Zipper closure; 4 external pockets (2 upper, 2 lower), 2 internal lower pockets, pen pockets on front left chest; 2-inch two-tone reflective tape.",,,Protective Industrial Products 303-0500 Class 3 Surveyor's Vest,Class 3 Surveyor's Vest
26141,High Visibility & Cooling Vests,302-0500,Class 2 Surveyor's Vest,,E:\IMAGES\ITEMS\product\3\0\Protective-Industrial-Products-302-0500-Class-2-Surveyors.jpg,Protective Industrial Products,,"Hi-visibility surveyor’s vest, ANSI 107 Class 2, solid front, mesh back, zipper closure, 6 pockets, two-tone contrast tape and mic tabs, available in orange or yellow. Material: 100% Polyester Color: Yellow or Orange Polyester mesh and solid fabric; Zipper closure; 4 external pockets (2 upper, 2 lower), 2 internal lower pockets; 2-inch two-tone reflective tape.",,,Protective Industrial Products 302-0500 Class 2 Surveyor's Vest,Class 2 Surveyor's Vest
2595|20918,Safety T - Shirts|Shirts,312-1200,Class 2 Crew Neck T-Shirt,,E:\IMAGES\ITEMS\product\3\1\Protective-Industrial-Products-312-1200-Class-2-Crew-Neck-T.jpg,Protective Industrial Products,,"Hi-visibility short sleeve T-shirt, ANSI 107 Class 2, crew neck, gray collar, wicking polyester, lime yellow or orange, chest pocket, 2-inch silver tape. Material: 100% Polyester Color: Yellow or Orange Polyester sports knit with moisture wicking fabric; Left upper chest pocket; Gray collar helps hide dirt; 2-inch silver reflective tape.",,,Protective Industrial Products 312-1200 Class 2 Crew Neck T-Shirt,Class 2 Crew Neck T-Shirt
2594|25943,Safety Jackets|Rain Jackets and Coats,333-1762,Class 3 Bomber Jacket,,E:\IMAGES\ITEMS\product\3\3\Protective-Industrial-Products-333-1762-Class-3-Bomber.jpg,Protective Industrial Products,,"Hi-Visibility bomber jacket, ANSI 107 Class 3, waterproof, zip-out fleece lining, yellow with black bottom and trim, adjustable hood, 2-inch silver reflective tape Material: 100% Polyester Color: Yellow with Black Trim PU Coated waterproof polyester shell and polyester fleece lining; Zipper closure with storm flap and snaps to secure in place; 2 external hand warmer pockets, 2 internal pockets, 1 radio pocket; Black knit cuffs and waist; 2-inch silver reflective tape.",,,Protective Industrial Products 333-1762 Class 3 Bomber Jacket,Class 3 Bomber Jacket
2604|20918,Protective Windbreakers|Shirts,333-1752,Class 3 Bomber Style Windbreaker,,E:\IMAGES\ITEMS\product\3\3\Protective-Industrial-Products-333-1752-Class-3-Bomber.jpg,Protective Industrial Products,,"Hi-visibility uninsulated bomber jacket, ANSI 107 Class 3, PU-coated polyester, taped seams, water resistant, nylon fabric lining, zipper closure, yellow or orange, detachable hood, 2-inch silver reflective tape. Material: 100% Polyester Color: Yellow or Orange PU-coated polyester with taped seams, water resistant; Zipper closure with storm flap and snaps to secure in place; High self collar with detachable hood; 4 pockets and pen pockets; 2-inch silver reflective tape.",,,Protective Industrial Products 333-1752 Class 3 Bomber Style Windbreaker,Class 3 Bomber Style Windbreaker
2602|25944,Protective Pants|Rain Pants and Overalls,318-1757,Class E Two-Tone Pants,,E:\IMAGES\ITEMS\product\3\1\Protective-Industrial-Products-318-1757-Class-E-Two-Tone.jpg,Protective Industrial Products,,"Hi-visibility uninsulated bomber jacket, ANSI 107 Class 3, PU-coated polyester, taped seams, water resistant, nylon fabric lining, zipper closure, yellow or orange, detachable hood, 2-inch silver reflective tape. Material: 100% Polyester Color: Yellow or Orange with Black Trim 100% polyester with PU coating; Wide leg opening with snap closure; Elastic waist; 2 side access pockets; Fully taped seams; 2-inch silver reflective tape.",,,Protective Industrial Products 318-1757 Class E Two-Tone Pants,Class E Two-Tone Pants
2597|25945,Protective Suits|Rainsuits,201-100,3-Piece Rainsuits,,E:\IMAGES\ITEMS\product\2\0\Protective-Industrial-Products-201-100-3-Piece.jpg,Protective Industrial Products,,"3-piece rainsuit, single ply PVC, .10mm thick, jacket with detachable hood, self collar, elastic waist pant, yellow. Material: PVC Color: Yellow 100% waterproof; Detachable hood with drawstring; Jacket, plain front with two flap pockets; Underarm vent (no cape back) Elastic waist pant; Adjustable snaps at wrist & ankle for better fit; Silicone-free.",,,Protective Industrial Products 201-100 3-Piece Rainsuits,3-Piece Rainsuits
159|25842,Hard Hats|Hard Hats,396-405,Cooling Hard Hat Liner,,E:\IMAGES\ITEMS\product\3\9\Protective-Industrial-Products-396-405-Cooling-Hard-Hat.jpg,Protective Industrial Products,,"EZ-Cool™ evaporative cooling hard hat pad with neck shade, blue. Material: 100% Cotton Poplin Color: Blue Polycotton material with cooling crystals at crown; Combines cooling comfort with neck protection from the sun; Securely attaches into hard hats; Soak in water for 10-20 minutes, squeeze out excess to activate; Cooling effects last for hours.",,,Protective Industrial Products 396-405 Cooling Hard Hat Liner,Cooling Hard Hat Liner
160|25618,Knee Pads|Protective Elbow and Knee Pads,291-130,Clear Flat Cap Knee Pads,,E:\IMAGES\ITEMS\product\2\9\Protective-Industrial-Products-291-130-Clear-Flat-Cap-Knee.jpg,Protective Industrial Products,,"Flat cap gel knee pads, clear on black, anti-slip, hook & loop closure strap, pair-packed.  Material: PVC (polyvinyl chloride), fixed with nylon thread patterns (for antislip). Color: Clear Cap on Black Air-injected gel pads are ideal for work on hard surfaces; Clear PVC cap features slip-resistant ridges to prevent sliding; Flat kneeling surface prevents rocking to minimize fatigue; Adjustable hook & loop closure strap ensures a secure fit.",,,Protective Industrial Products 291-130 Clear Flat Cap Knee Pads,Clear Flat Cap Knee Pads
1758|25826,Safety Leather Gloves|Leather Palm Gloves,68-162,Top Grain Cowihide Gloves,,E:\IMAGES\ITEMS\product\6\8\Protective-Industrial-Products-68-162-Top-Grain-Cowihide.jpg,Protective Industrial Products,,"All leather top grain cowhide construction Wide range of styles, patterns and grades for use in a broad range of applications Styles with keystone thumb patterns provide extra comfort and wear Pull strap closures on styles 68-153 and 68-158 Style 68-101G is launderable and ideal for use at utilities and foundries Cotton color binding denotes sizes, except style 68-163SB and 68-168 which have a rolled leather cuff for use in light duty welding Used in construction, machine operation, light duty welding, utility work, farming, ropingand many other general applications",,,Protective Industrial Products 68-162 Top Grain Cowihide Gloves,Top Grain Cowihide Gloves
164|25635,Safety Glasses|Safety Glasses,250-7850-000,OTG Spectacle Glasses,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-250-7850-000-OTG-Spectacle.jpg,Protective Industrial Products,,Polycarbonate unilens Over-The-Glass (OTG) design fits comfortably over most prescription eyewear Molded nose bridge design to fit the vast majority of users Vented temples for reduced fogging,,,Protective Industrial Products 250-7850-000 OTG Spectacle Glasses,OTG Spectacle Glasses
164|25635,Safety Glasses|Safety Glasses,252-FX-0001,Flex Sideshields,,E:\IMAGES\ITEMS\product\2\5\Protective-Industrial-Products-252-FX-0001-Flex.jpg,Protective Industrial Products,,Molded to a bendable softness Temple will still fold correctly No parts or tools required Individually bagged pairs Conforms to ANSI Z87.1 standard,,,Protective Industrial Products 252-FX-0001 Flex Sideshields,Flex Sideshields
26141,High Visibility & Cooling Vests,302-WCENG LY,Value Solid Vest,,E:\IMAGES\ITEMS\product\3\0\Protective-Industrial-Products-302-WCENG-LY-Value-Solid.jpg,Protective Industrial Products,,ANSI/ISEA 107 Class 2 Durable solid polyester vest 2” silver reflective tape Hook and loop closure M-5X,,,Protective Industrial Products 302-WCENG LY Value Solid Vest,Value Solid Vest
