store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,19599,Film Tape,639763,100742,,VP 410 Line Set Tape - 75mm x 33m - Green - 1 Case (18 Rolls),VP 410,VP 410 Line Set Tape - 75mm x 33m - Green - 1 Case (18 Rolls),,/\1\0\shurtape-100742-vp-410-line-set-tape-75mm-x-33m-green-1-case-18-rolls.jpg,/\1\0\shurtape-100742-vp-410-line-set-tape-75mm-x-33m-green-1-case-18-rolls.jpg,http://www.48ws.com/images/product/1/0/shurtape-100742-vp-410-line-set-tape-75mm-x-33m-green-1-case-18-rolls.jpg,shurtape-100742-vp-410-line-set-tape-75mm-x-33m-green-1-case-18-rolls,shurtape-100742-vp-410-line-set-tape-75mm-x-33m-green-1-case-18-rolls,,No layout updates.,Block after Info Column,,VP 410 Line Set Tape - 75mm x 33m - Green - 1 Case (18 Rolls),VP 410 Line Set Tape - 75mm x 33m - Green - 1 Case (18 Rolls),Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"UV-resistant SPVC line set tape, available in a variety of colors, used for general purpose floor, lane and aisle marking, color-coding and identification applications, as well as in the HVAC industry to wrap line sets, seam Rubatex and Armaflex, and insulate air ducts and underground pipes. VP 410 is engineered with a non-corrosive adhesive and flexible backing; can be used in extensive temperature, moisture and humid conditions; and meets OSHA color-coding requirements.",,,75mm x 33m / Green / 1 Case (18 Rolls),VP 410 Line Set Tape - 75mm x 33m - Green - 1 Case (18 Rolls),,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,19599,Film Tape,639764,100744,,VP 410 Line Set Tape - 75mm x 33m - Orange - 1 Case (18 Rolls),VP 410,VP 410 Line Set Tape - 75mm x 33m - Orange - 1 Case (18 Rolls),,/\1\0\shurtape-100744-vp-410-line-set-tape-75mm-x-33m-orange-1-case-18-rolls.jpg,/\1\0\shurtape-100744-vp-410-line-set-tape-75mm-x-33m-orange-1-case-18-rolls.jpg,http://www.48ws.com/images/product/1/0/shurtape-100744-vp-410-line-set-tape-75mm-x-33m-orange-1-case-18-rolls.jpg,shurtape-100744-vp-410-line-set-tape-75mm-x-33m-orange-1-case-18-rolls,shurtape-100744-vp-410-line-set-tape-75mm-x-33m-orange-1-case-18-rolls,,No layout updates.,Block after Info Column,,VP 410 Line Set Tape - 75mm x 33m - Orange - 1 Case (18 Rolls),VP 410 Line Set Tape - 75mm x 33m - Orange - 1 Case (18 Rolls),Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"UV-resistant SPVC line set tape, available in a variety of colors, used for general purpose floor, lane and aisle marking, color-coding and identification applications, as well as in the HVAC industry to wrap line sets, seam Rubatex and Armaflex, and insulate air ducts and underground pipes. VP 410 is engineered with a non-corrosive adhesive and flexible backing; can be used in extensive temperature, moisture and humid conditions; and meets OSHA color-coding requirements.",,,75mm x 33m / Orange / 1 Case (18 Rolls),VP 410 Line Set Tape - 75mm x 33m - Orange - 1 Case (18 Rolls),,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,19599,Film Tape,639765,100759,,VP 410 Line Set Tape - 75mm x 33m - Dark Blue - 1 Case (18 Rolls),VP 410,VP 410 Line Set Tape - 75mm x 33m - Dark Blue - 1 Case (18 Rolls),,/\1\0\shurtape-100759-vp-410-line-set-tape-75mm-x-33m-dark-blue-1-case-18-rolls.jpg,/\1\0\shurtape-100759-vp-410-line-set-tape-75mm-x-33m-dark-blue-1-case-18-rolls.jpg,http://www.48ws.com/images/product/1/0/shurtape-100759-vp-410-line-set-tape-75mm-x-33m-dark-blue-1-case-18-rolls.jpg,shurtape-100759-vp-410-line-set-tape-75mm-x-33m-dark-blue-1-case-18-rolls,shurtape-100759-vp-410-line-set-tape-75mm-x-33m-dark-blue-1-case-18-rolls,,No layout updates.,Block after Info Column,,VP 410 Line Set Tape - 75mm x 33m - Dark Blue - 1 Case (18 Rolls),VP 410 Line Set Tape - 75mm x 33m - Dark Blue - 1 Case (18 Rolls),Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"UV-resistant SPVC line set tape, available in a variety of colors, used for general purpose floor, lane and aisle marking, color-coding and identification applications, as well as in the HVAC industry to wrap line sets, seam Rubatex and Armaflex, and insulate air ducts and underground pipes. VP 410 is engineered with a non-corrosive adhesive and flexible backing; can be used in extensive temperature, moisture and humid conditions; and meets OSHA color-coding requirements.",,,75mm x 33m / Dark Blue / 1 Case (18 Rolls),VP 410 Line Set Tape - 75mm x 33m - Dark Blue - 1 Case (18 Rolls),,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,19603,Packaging Tapes,639766,101072,,FP 97 General Purpose Grade Flatback Kraft Paper Tape - 48mm x 55m - Kraft - 1 Case (24 Rolls),FP 097,FP 97 General Purpose Grade Flatback Kraft Paper Tape - 48mm x 55m - Kraft - 1 Case (24 Rolls),,/\1\0\shurtape-101072-fp-97-general-purpose-grade-flatback-kraft-paper-tape-48mm-x-55m-kraft-1-case-24-rolls.jpg,/\1\0\shurtape-101072-fp-97-general-purpose-grade-flatback-kraft-paper-tape-48mm-x-55m-kraft-1-case-24-rolls.jpg,http://www.48ws.com/images/product/1/0/shurtape-101072-fp-97-general-purpose-grade-flatback-kraft-paper-tape-48mm-x-55m-kraft-1-case-24-rolls.jpg,shurtape-101072-fp-97-general-purpose-grade-flatback-kraft-paper-tape-48mm-x-55m-kraft-1-case-24-rol,shurtape-101072-fp-97-general-purpose-grade-flatback-kraft-paper-tape-48mm-x-55m-kraft-1-case-24-rol,,No layout updates.,Block after Info Column,,FP 97 General Purpose Grade Flatback Kraft Paper Tape - 48mm x 55m - Kraft - 1 Case (24 Rolls),FP 97 General Purpose Grade Flatback Kraft Paper Tape - 48mm x 55m - Kraft - 1 Case (24 Rolls),Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"General purpose grade flatback paper tape used for hand and machine carton sealing, as well as splicing and general purpose packaging, binding, holding, tabbing, reinforcing, banding and patching applications. Constructed with an aggressive adhesive that offers excellent holding power and a strong, flexible kraft backing, FP 97 meets FDA specifications for indirect food contact.",,,48mm x 55m / Kraft / 1 Case (24 Rolls),FP 97 General Purpose Grade Flatback Kraft Paper Tape - 48mm x 55m - Kraft - 1 Case (24 Rolls),,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,19603,Packaging Tapes,639767,101073,,FP 97 General Purpose Grade Flatback Kraft Paper Tape - 72mm x 55m - Kraft - 1 Case (16 Rolls),FP 097,FP 97 General Purpose Grade Flatback Kraft Paper Tape - 72mm x 55m - Kraft - 1 Case (16 Rolls),,/\1\0\shurtape-101073-fp-97-general-purpose-grade-flatback-kraft-paper-tape-72mm-x-55m-kraft-1-case-16-rolls.jpg,/\1\0\shurtape-101073-fp-97-general-purpose-grade-flatback-kraft-paper-tape-72mm-x-55m-kraft-1-case-16-rolls.jpg,http://www.48ws.com/images/product/1/0/shurtape-101073-fp-97-general-purpose-grade-flatback-kraft-paper-tape-72mm-x-55m-kraft-1-case-16-rolls.jpg,shurtape-101073-fp-97-general-purpose-grade-flatback-kraft-paper-tape-72mm-x-55m-kraft-1-case-16-rol,shurtape-101073-fp-97-general-purpose-grade-flatback-kraft-paper-tape-72mm-x-55m-kraft-1-case-16-rol,,No layout updates.,Block after Info Column,,FP 97 General Purpose Grade Flatback Kraft Paper Tape - 72mm x 55m - Kraft - 1 Case (16 Rolls),FP 97 General Purpose Grade Flatback Kraft Paper Tape - 72mm x 55m - Kraft - 1 Case (16 Rolls),Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"General purpose grade flatback paper tape used for hand and machine carton sealing, as well as splicing and general purpose packaging, binding, holding, tabbing, reinforcing, banding and patching applications. Constructed with an aggressive adhesive that offers excellent holding power and a strong, flexible kraft backing, FP 97 meets FDA specifications for indirect food contact.",,,72mm x 55m / Kraft / 1 Case (16 Rolls),FP 97 General Purpose Grade Flatback Kraft Paper Tape - 72mm x 55m - Kraft - 1 Case (16 Rolls),,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,19599,Film Tape,639768,102744,,BT 100 Non-Adhesive Barricade Tape - 3in x 300ft - Yellow - 1 Roll,BT 100,BT 100 Non-Adhesive Barricade Tape - 3in x 300ft - Yellow - 1 Roll,,/\1\0\shurtape-102744-bt-100-non-adhesive-barricade-tape-3in-x-300ft-yellow-1-roll.jpg,/\1\0\shurtape-102744-bt-100-non-adhesive-barricade-tape-3in-x-300ft-yellow-1-roll.jpg,http://www.48ws.com/images/product/1/0/shurtape-102744-bt-100-non-adhesive-barricade-tape-3in-x-300ft-yellow-1-roll.jpg,shurtape-102744-bt-100-non-adhesive-barricade-tape-3in-x-300ft-yellow-1-roll,shurtape-102744-bt-100-non-adhesive-barricade-tape-3in-x-300ft-yellow-1-roll,,No layout updates.,Block after Info Column,,BT 100 Non-Adhesive Barricade Tape - 3in x 300ft - Yellow - 1 Roll,BT 100 Non-Adhesive Barricade Tape - 3in x 300ft - Yellow - 1 Roll,Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Non-adhesive barricade tape for marking restricted areas and managing access to work sites by professionals in the safety, construction, utilities, hardware and other industries. BT 100 features 2-inch letters that are easy to read, is resistant to moisture and humidity and resists sagging for long-term use, even when stretched over long distances.",,,3in x 300ft / Yellow / 1 Roll,BT 100 Non-Adhesive Barricade Tape - 3in x 300ft - Yellow - 1 Roll,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,19599,Film Tape,639769,104067,,PE 333 Non-UV-Resistant Polyethylene Tape - 48mm x 55m - Red - 1 Case (24 Rolls),PE 333,PE 333 Non-UV-Resistant Polyethylene Tape - 48mm x 55m - Red - 1 Case (24 Rolls),,/\1\0\shurtape-104067-pe-333-non-uv-resistant-polyethylene-tape-48mm-x-55m-red-1-case-24-rolls.jpg,/\1\0\shurtape-104067-pe-333-non-uv-resistant-polyethylene-tape-48mm-x-55m-red-1-case-24-rolls.jpg,http://www.48ws.com/images/product/1/0/shurtape-104067-pe-333-non-uv-resistant-polyethylene-tape-48mm-x-55m-red-1-case-24-rolls.jpg,shurtape-104067-pe-333-non-uv-resistant-polyethylene-tape-48mm-x-55m-red-1-case-24-rolls,shurtape-104067-pe-333-non-uv-resistant-polyethylene-tape-48mm-x-55m-red-1-case-24-rolls,,No layout updates.,Block after Info Column,,PE 333 Non-UV-Resistant Polyethylene Tape - 48mm x 55m - Red - 1 Case (24 Rolls),PE 333 Non-UV-Resistant Polyethylene Tape - 48mm x 55m - Red - 1 Case (24 Rolls),Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Non-UV-resistant polyethylene film tape used to mask surfaces, such as windows and doors, during stucco application and painting, as well as for seaming underslab vapor barriers and holding poly-sheeting when building containments. Designed with a special, high-tack synthetic adhesive, PE 333 maintains a watertight seal, even in severe environments and weather conditions, and removes cleanly when the job is done.",,,48mm x 55m / Red / 1 Case (24 Rolls),PE 333 Non-UV-Resistant Polyethylene Tape - 48mm x 55m - Red - 1 Case (24 Rolls),,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,19599,Film Tape,639770,104068,,PE 333 Non-UV-Resistant Polyethylene Tape - 72mm x 55m - Red - 1 Case (16 Rolls),PE 333,PE 333 Non-UV-Resistant Polyethylene Tape - 72mm x 55m - Red - 1 Case (16 Rolls),,/\1\0\shurtape-104068-pe-333-non-uv-resistant-polyethylene-tape-72mm-x-55m-red-1-case-16-rolls.jpg,/\1\0\shurtape-104068-pe-333-non-uv-resistant-polyethylene-tape-72mm-x-55m-red-1-case-16-rolls.jpg,http://www.48ws.com/images/product/1/0/shurtape-104068-pe-333-non-uv-resistant-polyethylene-tape-72mm-x-55m-red-1-case-16-rolls.jpg,shurtape-104068-pe-333-non-uv-resistant-polyethylene-tape-72mm-x-55m-red-1-case-16-rolls,shurtape-104068-pe-333-non-uv-resistant-polyethylene-tape-72mm-x-55m-red-1-case-16-rolls,,No layout updates.,Block after Info Column,,PE 333 Non-UV-Resistant Polyethylene Tape - 72mm x 55m - Red - 1 Case (16 Rolls),PE 333 Non-UV-Resistant Polyethylene Tape - 72mm x 55m - Red - 1 Case (16 Rolls),Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Non-UV-resistant polyethylene film tape used to mask surfaces, such as windows and doors, during stucco application and painting, as well as for seaming underslab vapor barriers and holding poly-sheeting when building containments. Designed with a special, high-tack synthetic adhesive, PE 333 maintains a watertight seal, even in severe environments and weather conditions, and removes cleanly when the job is done.",,,72mm x 55m / Red / 1 Case (16 Rolls),PE 333 Non-UV-Resistant Polyethylene Tape - 72mm x 55m - Red - 1 Case (16 Rolls),,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,19596,Duct and Cloth Tapes,639771,104187,,PC 9 Contractor Grade Co-Extruded Duct Tape - 72mm x 55m - Silver - 1 Roll,PC 009,PC 9 Contractor Grade Co-Extruded Duct Tape - 72mm x 55m - Silver - 1 Roll,,/\1\0\shurtape-104187-pc-9-contractor-grade-co-extruded-duct-tape-72mm-x-55m-silver-1-roll.jpg,/\1\0\shurtape-104187-pc-9-contractor-grade-co-extruded-duct-tape-72mm-x-55m-silver-1-roll.jpg,http://www.48ws.com/images/product/1/0/shurtape-104187-pc-9-contractor-grade-co-extruded-duct-tape-72mm-x-55m-silver-1-roll.jpg,shurtape-104187-pc-9-contractor-grade-co-extruded-duct-tape-72mm-x-55m-silver-1-roll,shurtape-104187-pc-9-contractor-grade-co-extruded-duct-tape-72mm-x-55m-silver-1-roll,,No layout updates.,Block after Info Column,,PC 9 Contractor Grade Co-Extruded Duct Tape - 72mm x 55m - Silver - 1 Roll,PC 9 Contractor Grade Co-Extruded Duct Tape - 72mm x 55m - Silver - 1 Roll,Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,,"Contractor grade cloth duct tape featuring aggressive adhesive and cold temperature performance for sealing, seaming, repairing, holding and waterproofing applications, as well as for tasks in the restoration industry, such as holding poly-sheeting. A co-extruded, repair duct tape, PC 9 provides superior adhesion with quick stick; excellent holding power for indoor and outdoor use; and easy tearability to finish jobs with speed and ease.",,,72mm x 55m / Silver / 1 Roll,PC 9 Contractor Grade Co-Extruded Duct Tape - 72mm x 55m - Silver - 1 Roll,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,19594,Double-Sided Tapes,639772,104333,,"DS 154 Professional Grade, Double-Sided Containment Tape - 48mm x 25yd - Natural - 1 Roll",,"DS 154 Professional Grade, Double-Sided Containment Tape - 48mm x 25yd - Natural - 1 Roll",,/\1\0\shurtape-104333-ds-154-professional-grade-double-sided-containment-tape-48mm-x-25yd-natural-1-roll.jpg,/\1\0\shurtape-104333-ds-154-professional-grade-double-sided-containment-tape-48mm-x-25yd-natural-1-roll.jpg,http://www.48ws.com/images/product/1/0/shurtape-104333-ds-154-professional-grade-double-sided-containment-tape-48mm-x-25yd-natural-1-roll.jpg,shurtape-104333-ds-154-professional-grade-double-sided-containment-tape-48mm-x-25yd-natural-1-roll,shurtape-104333-ds-154-professional-grade-double-sided-containment-tape-48mm-x-25yd-natural-1-roll,,No layout updates.,Block after Info Column,,"DS 154 Professional Grade, Double-Sided Containment Tape - 48mm x 25yd - Natural - 1 Roll","DS 154 Professional Grade, Double-Sided Containment Tape - 48mm x 25yd - Natural - 1 Roll",Use config,https://www.shurtape.com/,0,,,0,Shurtape,1707,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional grade, double-sided containment tape used for creating high-performance containment systems for restoration, abatement and remodeling tasks such as painting, cleaning, sanding, mold remediation, asbestos removal and more. Offering a premium g",,48mm x 25yd / Natural / 1 Roll,,,"DS 154 Professional Grade, Double-Sided Containment Tape - 48mm x 25yd - Natural - 1 Roll",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
