store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,125|19913,Extension Cords|Extension Cords,37813,04-00103,,GFCI In-line Single Tap 12/3 Gauge 15 Amp 3',,GFCI In-line Single Tap 12/3 Gauge 15 Amp 3',Voltec 04-00103 GFCI In-line Single Tap 12/3 Gauge 15 Amp 3',/\0\4\Voltec-04-00103-GFCI-In-line-Single-Tap-123-Gauge-15-Amp.jpg,/\0\4\Voltec-04-00103-GFCI-In-line-Single-Tap-123-Gauge-15-Amp.jpg,http://www.48ws.com/images/product/0/4/Voltec-04-00103-GFCI-In-line-Single-Tap-123-Gauge-15-Amp.jpg,voltec-industries-04-00103-,voltec-industries-04-00103-,,No layout updates.,Block after Info Column,,GFCI In-line Single Tap 12/3 Gauge 15 Amp 3',GFCI In-line Single Tap 12/3 Gauge 15 Amp 3',Use config,http://www.toolup.com/voltec_04-00103_123-grci-u-g-15-amp-3.aspx,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Voltec 04-00103 GFCI In-line Single Tap 12/3 Gauge 15 Amp 3',"Cord Length: 3'
 Gauge: 12/3
 Wire Type: STW
 Wire Color: Blue/Yellow
 Outlets: 1
 Plug Type: 5-15P
 Receptacle Type: 5-15R
 Amps: 15
 Watts: 1875",GFCIs protect the user from an electrical shock resulting from an unequal flow of electricity caused by current leakage.,,Voltec 04-00103 GFCI In-line Single Tap 12/3 Gauge 15 Amp 3',GFCI In-line Single Tap 12/3 Gauge 15 Amp 3',,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,125|19913,Extension Cords|Extension Cords,37815,04-00105,,GFCI In-line Triple Tap 3',,GFCI In-line Triple Tap 3',Voltec 04-00105 GFCI In-line Triple Tap 3',/\0\4\Voltec-04-00105-GFCI-In-line-Triple-Tap.jpg,/\0\4\Voltec-04-00105-GFCI-In-line-Triple-Tap.jpg,http://www.48ws.com/images/product/0/4/Voltec-04-00105-GFCI-In-line-Triple-Tap.jpg,voltec-industries-04-00105-,voltec-industries-04-00105-,,No layout updates.,Block after Info Column,,GFCI In-line Triple Tap 3',GFCI In-line Triple Tap 3',Use config,,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,Voltec 04-00105 GFCI In-line Triple Tap 3',Extension Cord,,,Voltec 04-00105 GFCI In-line Triple Tap 3',GFCI In-line Triple Tap 3',,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,622|27716,Adapters|Adapters,136317,04-00200,,15 Amp Generator “W” Adapter with Lighted Ends,15 Amp Generator “W” Adapter with Lighted Ends,15 Amp Generator “W” Adapter with Lighted Ends,15 Amp Generator “W” Adapter with Lighted Ends,/\0\4\15-Amp-Generator-W-Adapter-with-Lighted.png,/\0\4\15-Amp-Generator-W-Adapter-with-Lighted.png,http://www.48ws.com/images/product/0/4/15-Amp-Generator-W-Adapter-with-Lighted.png,voltec-industries-04-00200-,voltec-industries-04-00200-,,No layout updates.,Block after Info Column,,15 Amp Generator “W” Adapter with Lighted Ends,15 Amp Generator “W” Adapter with Lighted Ends,Use config,http://www.voltec-industries.com/,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,15 Amp Generator “W” Adapter with Lighted Ends,,"15 Amp Generator “W” Adapter with Lighted Ends


ITEM PNCORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSPLUG TYPERECEPTACLE TYPEPOWER RATINGPACK QTY
AMPSWATTS
04-002002ft12/3STWYellow3L5-20P5-15R15187512
04-002012ft12/3STWYellow3L5-30P5-15R15187512

",,L5-20P,15 Amp Generator “W” Adapter with Lighted Ends,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,622|27716,Adapters|Adapters,136320,04-00201,,15 Amp Generator “W” Adapter with Lighted Ends,15 Amp Generator “W” Adapter with Lighted Ends,15 Amp Generator “W” Adapter with Lighted Ends,15 Amp Generator “W” Adapter with Lighted Ends,/\0\4\15-Amp-Generator-W-Adapter-with-Lighted.png,/\0\4\15-Amp-Generator-W-Adapter-with-Lighted.png,http://www.48ws.com/images/product/0/4/15-Amp-Generator-W-Adapter-with-Lighted.png,voltec-industries-04-00201-,voltec-industries-04-00201-,,No layout updates.,Block after Info Column,,15 Amp Generator “W” Adapter with Lighted Ends,15 Amp Generator “W” Adapter with Lighted Ends,Use config,http://www.voltec-industries.com/,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,15 Amp Generator “W” Adapter with Lighted Ends,,"15 Amp Generator “W” Adapter with Lighted Ends


ITEM PNCORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSPLUG TYPERECEPTACLE TYPEPOWER RATINGPACK QTY
04-002002ft12/3STWYellow3L5-20P5-15R15187512
04-002012ft12/3STWYellow3L5-30P5-15R15187512

",,L5-30P,15 Amp Generator “W” Adapter with Lighted Ends,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,125|19913,Extension Cords|Extension Cords,136323,05-00138,,3-Conductor 300V SJEOW Extension Cordswith E-ZEELOCK and Lighted End,,3-Conductor 300V SJEOW Extension Cordswith E-ZEELOCK and Lighted End,"All Weather Outdoor 300V SJEOW Extension Cords -58°F to 228°
",/\0\5\3-Conductor-300V-SJEOW-Extension-Cordswith-E-ZEELOCK-and.png,/\0\5\3-Conductor-300V-SJEOW-Extension-Cordswith-E-ZEELOCK-and.png,http://www.48ws.com/images/product/0/5/3-Conductor-300V-SJEOW-Extension-Cordswith-E-ZEELOCK-and.png,voltec-industries-05-00138-,voltec-industries-05-00138-,,No layout updates.,Block after Info Column,,3-Conductor 300V SJEOW Extension Cordswith E-ZEELOCK and Lighted End,3-Conductor 300V SJEOW Extension Cordswith E-ZEELOCK and Lighted End,Use config,http://www.voltec-industries.com/,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"All Weather Outdoor 300V SJEOW Extension Cords -58°F to 228°
","CORD LENGTH :25ft
WIRE GAUGE :14/3
WIRE TYPE :SJEOW
WIRE COLOR :Blue
PLUG TYPE :5-15P
PACK QTY :12
","3-Conductor 300V SJEOW Extension Cords with E-ZEELOCK and Lighted End


ITEM PNCORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSPLUG TYPERECEPTACLE TYPEPOWER RATINGPACK QTY
AMPSWATTS
05-0013825ft14/3SJEOWBlue15-15P5-15R15187512
05-0013950ft14/3SJEOWBlue15-15P5-15R1518756
05-00140100ft14/3SJEOWBlue15-15P5-15R1316253
05-0014125ft12/3SJEOWBlue15-15P5-15R15187512
05-0014250ft12/3SJEOWBlue15-15P5-15R1518754
05-00143100ft12/3SJEOWBlue15-15P5-15R1518752
",,25ft,3-Conductor 300V SJEOW Extension Cordswith E-ZEELOCK and Lighted End,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,622|27716,Adapters|Adapters,136347,04-00093,,U-Ground Plug to Locking Connector,,U-Ground Plug to Locking Connector,ITEM PN 04-00093 U-Ground Plug to Locking Connector,/\0\4\U-Ground-Plug-to-Locking.png,/\0\4\U-Ground-Plug-to-Locking.png,http://www.48ws.com/images/product/0/4/U-Ground-Plug-to-Locking.png,voltec-industries-04-00093-,voltec-industries-04-00093-,,No layout updates.,Block after Info Column,,U-Ground Plug to Locking Connector,U-Ground Plug to Locking Connector,Use config,http://www.voltec-industries.com/,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,ITEM PN 04-00093 U-Ground Plug to Locking Connector,"CORD LENGTH:1ft
WIRE GAUGE:12/3
WIRE TYPE:STW
PLUG TYPE:5-15P
PACK QTY:10
","U-Ground Plug to Locking Connector


ITEM PNCORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSPLUG TYPERECEPTACLE TYPEPOWER RATINGPACK QTY
AMPSWATTS
04-000931ft12/3STWYellow15-15PL5-20R15187510
",,5-15P,U-Ground Plug to Locking Connector,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,125|19913,Extension Cords|Extension Cords,136355,05-00108,,3-Conductor 300V SJTW Extension Cords,,3-Conductor 300V SJTW Extension Cords,"Outdoor 300V SJTW Extension Cords -40°F TO 14O°F
",/\0\5\3-Conductor-300V-SJTW-Extension.png,/\0\5\3-Conductor-300V-SJTW-Extension.png,http://www.48ws.com/images/product/0/5/3-Conductor-300V-SJTW-Extension.png,voltec-industries-05-00108-,voltec-industries-05-00108-,,No layout updates.,Block after Info Column,,3-Conductor 300V SJTW Extension Cords,3-Conductor 300V SJTW Extension Cords,Use config,http://www.voltec-industries.com/,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Outdoor 300V SJTW Extension Cords -40°F TO 14O°F
","CORD LENGTH:25ft
WIRE GAUGE:16/3
WIRE TYPE:SJTW
PLUG TYPE:5-15P
PACK QTY:12
","3-Conductor 300V SJTW Extension Cords


ITEM PNCORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSPLUG TYPERECEPTACLE TYPEPOWER RATINGPACK QTY
AMPSWATTS
05-0010825ft16/3SJTWYellow15-15P5-15R13162512
05-0010950ft16/3SJTWYellow15-15P5-15R13162512
05-00110100ft16/3SJTWYellow15-15P5-15R1012506

",,3-Conductor 300V SJTW Extension Cords,3-Conductor 300V SJTW Extension Cords,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,125|19913,Extension Cords|Extension Cords,136358,05-00341,,3-Conductor 300V SJTW Extension Cords with Lighted End,3-Conductor 300V SJTW Extension Cords with Lighted End,3-Conductor 300V SJTW Extension Cords with Lighted End,"Outdoor 300V SJTW Extension Cords -40°F TO 14O°F
",/\0\5\3-Conductor-300V-SJTW-Extension-Cords-with-Lighted.png,/\0\5\3-Conductor-300V-SJTW-Extension-Cords-with-Lighted.png,http://www.48ws.com/images/product/0/5/3-Conductor-300V-SJTW-Extension-Cords-with-Lighted.png,voltec-industries-05-00341-,voltec-industries-05-00341-,,No layout updates.,Block after Info Column,,3-Conductor 300V SJTW Extension Cords with Lighted End,3-Conductor 300V SJTW Extension Cords with Lighted End,Use config,http://www.voltec-industries.com/,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Outdoor 300V SJTW Extension Cords -40°F TO 14O°F
","WIRE GAUGE:14/3
WIRE TYPE:SJTW
PLUG TYPE:5-15P
PACK QTY:12","3-Conductor 300V SJTW Extension Cords with Lighted End


ITEM PNCORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSPLUG TYPERECEPTACLE TYPEPOWER RATINGPACK QTY
AMPSWATTS
05-0034125ft14/3SJTWOrange/Black15-15P5-15R15187512
05-0034250ft14/3SJTWOrange/Black15-15P5-15R1518756
05-00343100ft14/3SJTWOrange/Black15-15P5-15R1316253


",,"Length: 25ft, Gauge: 14/3, Color: Orange/Black",3-Conductor 300V SJTW Extension Cords with Lighted End,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,125|19913,Extension Cords|Extension Cords,136360,05-00364,,3-Conductor 300V SJTW Extension Cords with Lighted End,3-Conductor 300V SJTW Extension Cords with Lighted End,3-Conductor 300V SJTW Extension Cords with Lighted End,"Outdoor 300V SJTW Extension Cords -40°F TO 14O°F
",/\0\5\3-Conductor-300V-SJTW-Extension-Cords-with-Lighted- 1.png,/\0\5\3-Conductor-300V-SJTW-Extension-Cords-with-Lighted- 1.png,http://www.48ws.com/images/product/0/5/3-Conductor-300V-SJTW-Extension-Cords-with-Lighted- 1.png,voltec-industries-05-00364-,voltec-industries-05-00364-,,No layout updates.,Block after Info Column,,3-Conductor 300V SJTW Extension Cords with Lighted End,3-Conductor 300V SJTW Extension Cords with Lighted End,Use config,http://www.voltec-industries.com/,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Outdoor 300V SJTW Extension Cords -40°F TO 14O°F
","CORD LENGTH:25ft
WIRE GAUGE:12/3
WIRE TYPE:SJTW
PLUG TYPE:5-15P
PACK QTY:12
","3-Conductor 300V SJTW Extension Cords with Lighted End


ITEM PNCORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSPLUG TYPERECEPTACLE TYPEPOWER RATINGPACK QTY
AMPSWATTS
05-0036425ft12/3SJTWYellow/Blue15-15P5-15R15187512
05-0036550ft12/3SJTWYellow/Blue15-15P5-15R1518754
05-00366100ft12/3SJTWYellow/Blue15-15P5-15R1518752
05-0035050ft10/3SJTWYellow/Black15-15P5-15R1518751
05-00351100ft10/3SJTWYellow/Black15-15P5-15R1518751
",,"Length: 25ft, Gauge: 12/3, Color: Yellow/Blue",3-Conductor 300V SJTW Extension Cords with Lighted End,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,125|19913,Extension Cords|Extension Cords,136371,05-00113,,3-Conductor 300V SJTW Extension Cords product with E-ZEELOCK and Lighted End,3-Conductor 300V SJTW Extension Cords with E-ZEELOCK™ and Lighted End,3-Conductor 300V SJTW Extension Cords product with E-ZEELOCK and Lighted End,"Outdoor 300V SJTW Extension Cords -40°F TO 14O°F
",/\0\5\3-Conductor-300V-SJTW-Extension-Cords-product-with-E.png,/\0\5\3-Conductor-300V-SJTW-Extension-Cords-product-with-E.png,http://www.48ws.com/images/product/0/5/3-Conductor-300V-SJTW-Extension-Cords-product-with-E.png,05-00113-Voltec-Industries-3-Conductor-300V-SJTW-Extension-Cords-product-with-E-ZEELOCK-and-Lighted-,05-00113-Voltec-Industries-3-Conductor-300V-SJTW-Extension-Cords-product-with-E-ZEELOCK-and-Lighted-,,No layout updates.,Block after Info Column,,3-Conductor 300V SJTW Extension Cords product with E-ZEELOCK and Lighted End,3-Conductor 300V SJTW Extension Cords product with E-ZEELOCK and Lighted End,Use config,http://www.voltec-industries.com/,0,,,0,Voltec Industries,364,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Outdoor 300V SJTW Extension Cords -40°F TO 14O°F
","WIRE TYPE:SJTW
PLUG TYPE:5-15P
PACK QTY:3
","3-Conductor 300V SJTW Extension Cords product with E-ZEELOCK and Lighted End/


ITEM PNCORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSPLUG TYPERECEPTACLE TYPEPOWER RATINGPACK QTY
 AMPSWATTS
05-0011125ft14/3SJTWOrange/Black15-15P5-15R15187512
05-0011250ft14/3SJTWOrange/Black15-15P5-15R1518756
05-00113100ft14/3SJTWOrange/Black15-15P5-15R1518753
05-0010525ft12/3SJTWYellow/Blue15-15P5-15R15187512
05-0010650ft12/3SJTWYellow/Blue15-15P5-15R1518754
05-00107100ft12/3SJTWYellow/Blue15-15P5-15R1518752
05-0011850ft10/3SJTWYellow/Black15-15P5-15R1518751
05-00119100ft10/3SJTWYellow/Black15-15P5-15R1518751

",,"Length: 100ft, Gauge: 14/3, Color: Orange/Black",3-Conductor 300V SJTW Extension Cords product with E-ZEELOCK and Lighted End,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
