,Category,SKU #,Product Name,Image,Manufacturer_URL,Description,Details,Info/Size/Color,Unnamed: 8
0,,9013,9013 Behind The Web Bracket,,https://safewaze.com/,"The Safewaze 9013 dual leg bracket is designed for use with dual leg retractables. The bracket is simple to install behind the webbing of dorsal ring, and allows easy attachment of your retractables.
","Zinc-Plated Steel 
Forged Steel 	
Bracket rating - 5,000 lbs (2267.96 kg) Tensile Strength","Materials : Forged Steel / Aluminum Alloy; 
Zinc Plated / Anodized Clear
Weight : .30 lbs (.14 kg)
Weight Capacity/Max Working Load : 310 lbs (140.61 kg)
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.14 - ANSI A10.32
",
1,,018-4000,Chain Anchor,,https://safewaze.com/,"Designed for flat or sloped wood roof applications, the 018-4000 reusable chain anchor can be installed on the roof peak or in the roof field.  The anchor can be used as a single anchor point or as part of a horizontal lifeline system.
"," 
O-ring connection point 
Durable steel chain 
Reinforced synthetic strap 
Easily installs with 6 -5/16 in x 3 in lag bolts (Included) or 12 - 16D nails (Not Included) 
Single user 
310 lb. Weight Capacity 
Meets: ANSI Z359.1- OSHA 1926.502","Materials : Steel and Reinforced Synthetic
Weight : 4.90 lbs (2.22 kg)
Weight Capacity/Max Working Load : 310 lbs (140.61 kg)
Length : 24.75 in (62.87 cm)
Applicable Standards: Meets OSHA 1926.502 - ANSI Z359.1 - ANSI A10.32
",
2,,018-4001,Beam Trolley Anchor,,https://safewaze.com/,"The 018-4001 beam trolley anchor can be quickly and easily positioned anywhere along an overhead horizontal I-beam. The durable nylon wheels glide smoothly over the beam surface while the steel d-ring provides an easily accessible tie-off point. The anchor is ideal for use in steel and specialty/food processing applications.
"," Lightweight Aluminum Body 
Coated Steel D-Ring Attachment Point 
Abrasion, Heat & Chemical Resistant Nylon Wheels 
Adjusts From 3.5”-14” 
Fits Beam Flange up to 1.75” Thick 
310 lb. Weight Capacity","Materials : Aluminum, Stainless Steel, Ertalon® nylon wheels
Weight : 7.1 lbs (3.22 kg)
Weight Capacity : 310 lbs (140 kg)
Beam Flange Width Range : 3.5 in - 14 in
Beam Flange Thickness : Up to 1.75 in
Applicable Standards : Meets OSHA 1926.502 CE 0321 / EN 795:1996 (+A1:2000) Class B
ANSI Z359.1 - ANSI Z359.7
",
3,,018-5007,7' Web Retractable with Aluminum Rebar Hook,,https://safewaze.com/,"The Safewaze 018-5007 single leg unit with aluminum rebar hook is lightweight and has a durable translucent housing that not only looks unique, but protects the internal components from debris and contamination. The housing also makes for easy viewing and inspection of the webbing, reserve line, and pawl assembly. This unit comes with a steel carabiner.
"," 
7' web 	High strength clear plastic housing 
Revolutionary braking system that alleviates the need for an external shock pack 
Aluminum rebar hook 
Product data label incorporated into webbing and protected by cover 
Swivel top indicator 
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing 
Includes steel carabiner","Material : High-strength clear plastic housing, .77 in (19.5 mm) Ultrahigh Molecular Weight Webbing, Aluminum rebar hook, Steel carabiner included
Weight : 3.3 lbs (1.50 kg)
Weight Capacity/Max Working Load : 310 lbs (140.61 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength, 3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.14 - ANSI A10.32
",
4,,018-5009,7' Web Retractable with Aluminum Snap Hook,,https://safewaze.com/,"The Safewaze 018-5009 single leg unit with an aluminum snap hook is lightweight and has a durable translucent housing that not only looks unique, but protects the internal components from debris and contamination. The housing also makes for easy viewing and inspection of the webbing, reserve line, and pawl assembly.  This unit comes with a steel carabiner.
"," 
7' Web retractable 
Aluminum snap hook 
High-strength transparent plastic housing for enhanced unit inspection 
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing 
Swivel top for enhanced mobility 
Product data label incorporated into webbing and protected by cover 
Revolutionary breaking system that alleviates the need for an external shock pack 
Includes carabiner","Material : High-strength clear plastic housing, .77 in (19.5 mm) Ultrahigh Molecular Weight Webbing, Aluminum snap hook, Steel triple-lock carabiner included
Weight : 2.4 lbs (1.08 kg)
Weight Capacity/Max Working Load : 310 lbs (140.61 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength, 3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.14 - ANSI A10.32
",
5,,018-5010,7' Web Retractable with Steel Rebar Hook,,https://safewaze.com/,"The Safewaze 018-5010 single leg unit with a steel rebar hook is lightweight and has a  durable translucent housing that not only looks unique, but protects the internal components from debris and contamination. The housing also makes for easy viewing and inspection of the webbing, reserve line, and pawl assembly.  This unit comes with a steel triple lock carabiner.
"," 
7' web 	Steel rebar hook 	High strength clear plastic housing 
Revolutionary braking system that alleviates the need for an external shock pack 
Product data label incorporated into webbing and protected by cover 
Swivel top indicator 
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing 
Includes steel triple-lock carabiner","Materials : High-strength clear plastic housing, .77 in (19.5 mm) Ultrahigh Molecular Weight Webbing, Forged steel rebar hook, Steel carabiner included
Weight : 3.8 lbs (1.72 kg)
Weight Capacity/Max Working Load : 310 lbs (140.61 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength, 3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.14 - ANSI A10.32
",
6,,018-5025,7' Dual Leg Web Retractable with Aluminum Snap Hooks,,https://safewaze.com/,"The Safewaze 018-5025 unit is lightweight with a durable translucent housing that not only looks unique, but protects the internal components from debris and contamination. The housing also makes for easy viewing and inspection of the webbing, reserve line, and pawl assembly.
"," 
7' web 	Aluminum snap hooks 
High strength clear plastic housing 
Revolutionary braking system that alleviates the need for an external shock pack 
Product data label incorporated into webbing and protected by cover 
Swivel top indicator 
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing 
9013 behind the web bracket included","Materials : High-strength clear plastic housings, .77 in (19.5 mm) Ultrahigh Molecular Weight Webbing, Aluminum snap hooks, Aluminum and Forged steel Behind the Web Bracket
Weight : 4.2 lbs (1.91 kg)
Weight Capacity/Max Working Load : 310 lbs (140.61 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength, 3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.14 - ANSI A10.32
",
7,,018-5026,7' Dual Leg Web Retractable with Steel Rebar Hooks,,https://safewaze.com/,"The Safewaze 018-5026 unit is lightweight with a durable translucent housing that not only looks unique, but protects the internal components from debris and contamination. The housing also makes for easy viewing and inspection of the webbing, reserve line, and pawl assembly.
"," 
7' web 	Steel rebar hooks 
High strength clear plastic housing 
Revolutionary braking system that alleviates the need for an external shock pack 
Product data label incorporated into webbing and protected by cover 
Swivel top indicator 
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing 
9013 behind the web bracket included","Materials : High-strength clear plastic housings, .77 in (19.5 mm) Ultrahigh Molecular Weight Webbing, Aluminum rebar hooks, Aluminum and Forged steel Behind the Web Bracket
Weight : 6.6 lbs (2.99 kg)
Weight Capacity/Max Working Load : 310 lbs (140.61 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength, 3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.14 - ANSI A10.32

",
8,,018-5027,7' Dual Leg Web Retractable with Aluminum Rebar Hooks,,https://safewaze.com/,"The Safewaze 018-5027 unit is lightweight with a durable translucent housing that not only looks unique, but protects the internal components from debris and contamination. The housing also makes for easy viewing and inspection of the webbing, reserve line, and pawl assembly.
"," 
7′ Web retractable 
Aluminum rebar hooks 
High-strength transparent plastic housing for enhanced unit inspection 
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing 
Swivel top for enhanced mobility 
Product data label incorporated into webbing and protected by cover 
Revolutionary breaking system that alleviates the need for an external shock pack 
9013 behind the web bracket included","Materials : High-strength clear plastic housings, .77 in (19.5 mm) Ultrahigh Molecular Weight Webbing, 
Aluminum rebar hooks, Aluminum and Forged steel Behind the Web Bracket
Weight : 5.8 lbs (2.63 kg)
Weight Capacity/Max Working Load : 310 lbs (140.61 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength, 3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI Z359.14 - ANSI A10.32
",
9,,018-5028,"7' Web 40"" Tie Back Retractable",,https://safewaze.com/,"The Safewaze 018-5028 tie back SRL comes with our 3/4"" steel tie back snap hook. It has all the same lightweight and durable features offered in our standard 7' series with a new wear pad protected tie back leg allowing for anchorage connection from 9.5"" to 36"".
"," 
7′ length 
Steel tie back snap hook 	High strength clear plastic housing 
40"" of wear pad protected webbing 
36"" max. circumference tie back connection 
Steel tie back snap hooks with 5,000 lb. gate 
.77 in (19.5 mm) Ultrahigh molecular weight webbing 
10’ non tie back when used in overhead applications 
Compliance: OSHA 1929-502 
User Capacity: ANSI 130-310 lbs. and OSHA 420 lbs. (max) 
Available in single and dual leg configuration with a variety of attachment options","Materials : High-strength clear plastic housing,
.77 in (19.5 mm) Ultrahigh Molecular Weight Webbing,
Steel Tie Back snap hook
Weight : 2.5 lbs.
Weight Capacity/Max Working Load : ANSI 130-310 lbs (58.97-140.61 kg)
OSHA up to 420 lbs (190.51 kg)
Length : 7 ft (2.13 m)
Hook Ratings : 5,000 lbs (2267.96 kg) Tensile Strength
3,600 lbs (1632 kg) Gate Rated
Applicable Standards : Meets OSHA 1926.502 - ANSI A10.32
",
